Date (WET),BELGIUM (BE),FRANCE (FR),GREAT BRITAIN (GB),GREAT BRITAIN (GB - NORDPOOL),ISEM (ISEM),NETHERLANDS (NL),NORWAY (NO2 - SDAC AUCTION),NORWAY (NO2 - NSL AUCTION)
,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh
[22/10/2018 05:00],53.15,53.05,58.95,58.95,60.40,52.44,36.80,
[22/10/2018 05:30],53.15,53.05,58.95,58.95,60.40,52.44,36.80,
[22/10/2018 06:00],67.07,66.74,68.29,68.29,68.00,66.27,38.36,
[22/10/2018 06:30],67.07,66.74,68.29,68.29,68.00,66.27,38.36,
[22/10/2018 07:00],68.11,67.82,69.40,69.40,72.70,67.34,38.79,
[22/10/2018 07:30],68.11,67.82,69.40,69.40,72.70,67.34,38.79,
[22/10/2018 08:00],66.39,64.38,79.96,79.96,91.30,61.80,38.62,
[22/10/2018 08:30],66.39,64.38,79.96,79.96,91.30,61.80,38.62,
[22/10/2018 09:00],67.78,62.90,78.99,78.99,89.30,54.81,38.25,
[22/10/2018 09:30],67.78,62.90,78.99,78.99,89.30,54.81,38.25,
[22/10/2018 10:00],70.20,62.04,68.00,68.00,79.50,52.96,37.57,
[22/10/2018 10:30],70.20,62.04,68.00,68.00,79.50,52.96,37.57,
[22/10/2018 11:00],62.23,60.45,61.85,61.85,72.70,47.74,37.20,
[22/10/2018 11:30],62.23,60.45,61.85,61.85,72.70,47.74,37.20,
[22/10/2018 12:00],58.53,54.96,56.24,56.24,59.00,46.86,36.86,
[22/10/2018 12:30],58.53,54.96,56.24,56.24,59.00,46.86,36.86,
[22/10/2018 13:00],60.91,51.98,53.50,53.50,56.10,45.09,36.50,
[22/10/2018 13:30],60.91,51.98,53.50,53.50,56.10,45.09,36.50,
[22/10/2018 14:00],58.92,51.28,53.09,53.09,55.70,45.09,36.75,
[22/10/2018 14:30],58.92,51.28,53.09,53.09,55.70,45.09,36.75,
[22/10/2018 15:00],51.45,51.17,54.54,54.54,57.20,51.45,37.26,
[22/10/2018 15:30],51.45,51.17,54.54,54.54,57.20,51.45,37.26,
[22/10/2018 16:00],59.76,58.83,62.96,62.96,64.50,60.39,38.12,
[22/10/2018 16:30],59.76,58.83,62.96,62.96,64.50,60.39,38.12,
[22/10/2018 17:00],69.76,69.76,80.28,80.28,82.20,69.76,38.56,
[22/10/2018 17:30],69.76,69.76,80.28,80.28,82.20,69.76,38.56,
[22/10/2018 18:00],77.14,74.18,101.00,101.00,103.40,72.50,38.45,
[22/10/2018 18:30],77.14,74.18,101.00,101.00,103.40,72.50,38.45,
[22/10/2018 19:00],70.73,64.82,83.97,83.97,88.10,58.95,37.77,
[22/10/2018 19:30],70.73,64.82,83.97,83.97,88.10,58.95,37.77,
[22/10/2018 20:00],74.42,59.72,61.11,61.11,62.60,48.63,36.78,
[22/10/2018 20:30],74.42,59.72,61.11,61.11,62.60,48.63,36.78,
[22/10/2018 21:00],61.62,52.80,54.02,54.02,55.30,45.27,34.86,
[22/10/2018 21:30],61.62,52.80,54.02,54.02,55.30,45.27,34.86,
[22/10/2018 22:00],65.83,51.00,49.80,49.80,51.30,45.27,30.95,
[22/10/2018 22:30],65.83,51.00,49.80,49.80,51.30,45.27,30.95,
[22/10/2018 23:00],54.01,47.94,50.00,50.00,47.66,48.59,26.84,
[22/10/2018 23:30],54.01,47.94,50.00,50.00,47.66,48.59,26.84,
[23/10/2018 00:00],65.05,46.77,47.79,47.79,45.55,36.78,15.37,
[23/10/2018 00:30],65.05,46.77,47.79,47.79,45.55,36.78,15.37,
[23/10/2018 01:00],61.55,44.28,45.29,45.29,43.17,36.74,10.69,
[23/10/2018 01:30],61.55,44.28,45.29,45.29,43.17,36.74,10.69,
[23/10/2018 02:00],48.75,39.94,40.86,40.86,38.95,37.53,11.44,
[23/10/2018 02:30],48.75,39.94,40.86,40.86,38.95,37.53,11.44,
[23/10/2018 03:00],46.80,34.95,35.75,35.75,34.91,34.71,19.25,
[23/10/2018 03:30],46.80,34.95,35.75,35.75,34.91,34.71,19.25,
[23/10/2018 04:00],61.55,43.43,44.28,44.28,41.38,35.94,30.84,
[23/10/2018 04:30],61.55,43.43,44.28,44.28,41.38,35.94,30.84,
[23/10/2018 05:00],59.75,48.04,49.14,49.14,41.50,38.11,36.39,
[23/10/2018 05:30],59.75,48.04,49.14,49.14,41.50,38.11,36.39,
[23/10/2018 06:00],89.02,64.93,65.30,65.30,57.37,41.33,38.45,
[23/10/2018 06:30],89.02,64.93,65.30,65.30,57.37,41.33,38.45,
[23/10/2018 07:00],89.02,71.02,69.33,69.33,64.41,67.30,38.56,
[23/10/2018 07:30],89.02,71.02,69.33,69.33,64.41,67.30,38.56,
[23/10/2018 08:00],88.40,70.38,72.00,72.00,70.30,69.89,38.06,
[23/10/2018 08:30],88.40,70.38,72.00,72.00,70.30,69.89,38.06,
[23/10/2018 09:00],77.96,64.14,65.61,65.61,67.05,63.69,37.82,
[23/10/2018 09:30],77.96,64.14,65.61,65.61,67.05,63.69,37.82,
[23/10/2018 10:00],79.39,61.83,63.24,63.24,64.77,61.39,37.08,
[23/10/2018 10:30],79.39,61.83,63.24,63.24,64.77,61.39,37.08,
[23/10/2018 11:00],75.99,60.84,59.39,59.39,60.82,46.86,36.27,
[23/10/2018 11:30],75.99,60.84,59.39,59.39,60.82,46.86,36.27,
[23/10/2018 12:00],68.44,57.37,58.27,58.27,59.68,47.61,35.67,
[23/10/2018 12:30],68.44,57.37,58.27,58.27,59.68,47.61,35.67,
[23/10/2018 13:00],64.34,53.74,53.51,53.51,55.88,44.52,35.78,
[23/10/2018 13:30],64.34,53.74,53.51,53.51,55.88,44.52,35.78,
[23/10/2018 14:00],70.03,50.83,52.00,52.00,54.55,47.69,35.33,
[23/10/2018 14:30],70.03,50.83,52.00,52.00,54.55,47.69,35.33,
[23/10/2018 15:00],79.66,52.32,53.52,53.52,56.15,51.95,34.97,
[23/10/2018 15:30],79.66,52.32,53.52,53.52,56.15,51.95,34.97,
[23/10/2018 16:00],79.73,56.70,58.01,58.01,59.41,56.31,35.74,
[23/10/2018 16:30],79.73,56.70,58.01,58.01,59.41,56.31,35.74,
[23/10/2018 17:00],94.24,62.69,73.80,73.80,75.58,61.73,36.40,
[23/10/2018 17:30],94.24,62.69,73.80,73.80,75.58,61.73,36.40,
[23/10/2018 18:00],113.92,74.69,95.10,95.10,97.40,72.41,36.15,
[23/10/2018 18:30],113.92,74.69,95.10,95.10,97.40,72.41,36.15,
[23/10/2018 19:00],103.08,66.63,80.00,80.00,83.93,53.07,35.47,
[23/10/2018 19:30],103.08,66.63,80.00,80.00,83.93,53.07,35.47,
[23/10/2018 20:00],89.02,59.92,61.29,61.29,64.30,56.90,34.05,
[23/10/2018 20:30],89.02,59.92,61.29,61.29,64.30,56.90,34.05,
[23/10/2018 21:00],96.07,59.73,61.10,61.10,62.58,52.99,31.99,
[23/10/2018 21:30],96.07,59.73,61.10,61.10,62.58,52.99,31.99,
[23/10/2018 22:00],93.63,52.79,54.00,54.00,56.65,41.42,26.56,
[23/10/2018 22:30],93.63,52.79,54.00,54.00,56.65,41.42,26.56,
[23/10/2018 23:00],78.33,49.37,50.52,50.52,51.70,33.03,30.27,
[23/10/2018 23:30],78.33,49.37,50.52,50.52,51.70,33.03,30.27,
[24/10/2018 00:00],49.01,45.29,46.34,46.34,47.50,35.32,29.03,
[24/10/2018 00:30],49.01,45.29,46.34,46.34,47.50,35.32,29.03,
[24/10/2018 01:00],50.86,43.47,44.50,44.50,45.60,37.96,28.78,
[24/10/2018 01:30],50.86,43.47,44.50,44.50,45.60,37.96,28.78,
[24/10/2018 02:00],47.84,38.60,39.51,39.51,41.40,34.43,28.86,
[24/10/2018 02:30],47.84,38.60,39.51,39.51,41.40,34.43,28.86,
[24/10/2018 03:00],47.84,39.05,39.97,39.97,41.40,30.81,26.44,
[24/10/2018 03:30],47.84,39.05,39.97,39.97,41.40,30.81,26.44,
[24/10/2018 04:00],46.61,44.66,45.71,45.71,46.80,39.28,33.91,
[24/10/2018 04:30],46.61,44.66,45.71,45.71,46.80,39.28,33.91,
[24/10/2018 05:00],60.18,51.20,54.60,54.60,55.90,41.58,37.58,
[24/10/2018 05:30],60.18,51.20,54.60,54.60,55.90,41.58,37.58,
[24/10/2018 06:00],89.51,68.78,70.40,70.40,58.50,60.46,39.47,
[24/10/2018 06:30],89.51,68.78,70.40,70.40,58.50,60.46,39.47,
[24/10/2018 07:00],88.18,68.29,66.71,66.71,74.10,48.46,40.18,
[24/10/2018 07:30],88.18,68.29,66.71,66.71,74.10,48.46,40.18,
[24/10/2018 08:00],89.19,69.20,70.84,70.84,79.20,57.29,40.54,
[24/10/2018 08:30],89.19,69.20,70.84,70.84,79.20,57.29,40.54,
[24/10/2018 09:00],89.65,68.81,68.57,68.57,71.90,48.02,40.60,
[24/10/2018 09:30],89.65,68.81,68.57,68.57,71.90,48.02,40.60,
[24/10/2018 10:00],88.18,68.01,66.43,66.43,69.70,50.13,40.45,
[24/10/2018 10:30],88.18,68.01,66.43,66.43,69.70,50.13,40.45,
[24/10/2018 11:00],86.22,65.94,64.41,64.41,67.60,48.55,40.16,
[24/10/2018 11:30],86.22,65.94,64.41,64.41,67.60,48.55,40.16,
[24/10/2018 12:00],76.19,61.79,61.42,61.42,64.40,49.43,40.00,
[24/10/2018 12:30],76.19,61.79,61.42,61.42,64.40,49.43,40.00,
[24/10/2018 13:00],70.06,59.14,57.77,57.77,60.60,49.30,39.78,
[24/10/2018 13:30],70.06,59.14,57.77,57.77,60.60,49.30,39.78,
[24/10/2018 14:00],58.52,56.67,56.70,56.70,59.50,55.00,39.40,
[24/10/2018 14:30],58.52,56.67,56.70,56.70,59.50,55.00,39.40,
[24/10/2018 15:00],57.56,57.31,58.66,58.66,61.50,56.91,39.72,
[24/10/2018 15:30],57.56,57.31,58.66,58.66,61.50,56.91,39.72,
[24/10/2018 16:00],61.88,59.89,61.30,61.30,70.60,59.47,40.11,
[24/10/2018 16:30],61.88,59.89,61.30,61.30,70.60,59.47,40.11,
[24/10/2018 17:00],83.73,73.38,75.11,75.11,88.90,66.29,40.39,
[24/10/2018 17:30],83.73,73.38,75.11,75.11,88.90,66.29,40.39,
[24/10/2018 18:00],92.88,79.25,93.60,93.60,113.90,66.20,40.41,
[24/10/2018 18:30],92.88,79.25,93.60,93.60,113.90,66.20,40.41,
[24/10/2018 19:00],88.90,72.20,79.70,79.70,119.20,53.84,40.07,
[24/10/2018 19:30],88.90,72.20,79.70,79.70,119.20,53.84,40.07,
[24/10/2018 20:00],79.18,64.75,66.28,66.28,84.70,52.96,39.09,
[24/10/2018 20:30],79.18,64.75,66.28,66.28,84.70,52.96,39.09,
[24/10/2018 21:00],75.78,60.57,62.00,62.00,65.00,47.67,37.84,
[24/10/2018 21:30],75.78,60.57,62.00,62.00,65.00,47.67,37.84,
[24/10/2018 22:00],77.80,59.05,60.44,60.44,63.40,58.64,36.36,
[24/10/2018 22:30],77.80,59.05,60.44,60.44,63.40,58.64,36.36,
[24/10/2018 23:00],80.19,57.40,58.79,58.79,61.70,40.96,36.12,
[24/10/2018 23:30],80.19,57.40,58.79,58.79,61.70,40.96,36.12,
[25/10/2018 00:00],62.87,50.29,51.50,51.50,55.80,40.87,34.01,
[25/10/2018 00:30],62.87,50.29,51.50,51.50,55.80,40.87,34.01,
[25/10/2018 01:00],62.07,44.68,51.16,51.16,53.70,35.96,33.46,
[25/10/2018 01:30],62.07,44.68,51.16,51.16,53.70,35.96,33.46,
[25/10/2018 02:00],61.17,41.79,51.14,51.14,53.60,35.96,33.76,
