Date (WET),Dynamic FFR Biomass,Dynamic FFR CCGT,Dynamic FFR Coal,Dynamic FFR Distributed Generation,Dynamic FFR Hybrid,Dynamic FFR Hydro,Dynamic FFR Load Response,Dynamic FFR Pumped,Dynamic FFR Storage,Dynamic FFR Unknown,DLH Storage,Dynamic Containment Storage,EFR Storage
,GBP/MW/h,GBP/MW/h,GBP/MW/h,GBP/MW/h,GBP/MW/h,GBP/MW/h,GBP/MW/h,GBP/MW/h,GBP/MW/h,GBP/MW/h,GBP/MW/h,GBP/MW/h,GBP/MW/h
[19/10/2018 11:30],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[19/10/2018 12:00],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[19/10/2018 12:30],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[19/10/2018 13:00],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[19/10/2018 13:30],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[19/10/2018 14:00],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[19/10/2018 14:30],,,,,16.77,,7.16,14.71,13.55,17.20,13.88,13.88,9.78
[19/10/2018 15:00],,,,,16.77,,7.32,14.71,13.55,17.20,13.91,13.91,9.78
[19/10/2018 15:30],,,,,16.77,,7.32,14.71,13.55,17.20,13.91,13.91,9.78
[19/10/2018 16:00],,,,,16.77,,7.32,14.71,13.55,17.20,13.91,13.91,9.78
[19/10/2018 16:30],,,,,16.77,,7.32,14.71,13.55,17.20,13.91,13.91,9.78
[19/10/2018 17:00],,,,,16.77,,7.32,14.71,13.55,17.20,13.91,13.91,9.78
[19/10/2018 17:30],,,,,16.77,,7.32,14.71,13.55,17.20,13.91,13.91,9.78
[19/10/2018 18:00],,,,,16.77,,7.32,14.71,13.55,17.20,13.91,13.91,9.78
[19/10/2018 18:30],,,,,16.77,,7.32,14.71,13.55,17.20,13.91,13.91,9.78
[19/10/2018 19:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[19/10/2018 19:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[19/10/2018 20:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[19/10/2018 20:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[19/10/2018 21:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[19/10/2018 21:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[19/10/2018 22:00],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[19/10/2018 22:30],,,,,16.77,,7.22,14.71,13.55,17.20,13.89,13.89,9.78
[19/10/2018 23:00],,,,,16.77,,7.40,,12.88,17.20,13.45,13.45,9.78
[19/10/2018 23:30],,,,,16.77,,7.40,,12.88,17.20,13.45,13.45,9.78
[20/10/2018 00:00],,,,,16.77,,7.12,,12.88,17.20,13.41,13.41,9.78
[20/10/2018 00:30],,,,,16.77,,7.12,,12.88,17.20,13.41,13.41,9.78
[20/10/2018 01:00],,,,,16.77,,7.12,,12.88,17.20,13.41,13.41,9.78
[20/10/2018 01:30],,,,,16.77,,7.12,,12.88,17.20,13.41,13.41,9.78
