Date (WET),Dynamic FFR Biomass,Dynamic FFR CCGT,Dynamic FFR Coal,Dynamic FFR Distributed Generation,Dynamic FFR Hybrid,Dynamic FFR Hydro,Dynamic FFR Load Response,Dynamic FFR Pumped,Dynamic FFR Storage,Dynamic FFR Unknown,DLH Storage,Dynamic Containment Storage,EFR Storage
,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW
[19/10/2018 06:00],0.0,0.0,0.0,0.0,59.0,0.0,55.0,0.0,171.0,53.0,0.0,,201.0
[19/10/2018 06:30],0.0,0.0,0.0,0.0,59.0,0.0,55.0,170.0,161.0,53.0,0.0,,201.0
[19/10/2018 07:00],0.0,0.0,0.0,0.0,59.0,0.0,54.0,170.0,99.0,53.0,0.0,,201.0
[19/10/2018 07:30],0.0,0.0,0.0,0.0,59.0,0.0,54.0,170.0,99.0,53.0,0.0,,201.0
[19/10/2018 08:00],0.0,0.0,0.0,0.0,59.0,0.0,54.0,170.0,99.0,53.0,0.0,,201.0
[19/10/2018 08:30],0.0,0.0,0.0,0.0,59.0,0.0,54.0,170.0,99.0,53.0,0.0,,201.0
[19/10/2018 09:00],0.0,0.0,0.0,0.0,59.0,0.0,54.0,170.0,99.0,53.0,0.0,,201.0
[19/10/2018 09:30],0.0,0.0,0.0,0.0,59.0,0.0,54.0,170.0,99.0,53.0,0.0,,201.0
[19/10/2018 10:00],0.0,0.0,0.0,0.0,59.0,0.0,54.0,170.0,99.0,53.0,0.0,,201.0
[19/10/2018 10:30],0.0,0.0,0.0,0.0,59.0,0.0,54.0,170.0,99.0,53.0,0.0,,201.0
[19/10/2018 11:00],0.0,0.0,0.0,0.0,59.0,0.0,54.0,170.0,99.0,53.0,0.0,,201.0
[19/10/2018 11:30],0.0,0.0,0.0,0.0,59.0,0.0,54.0,170.0,99.0,53.0,0.0,,201.0
[19/10/2018 12:00],0.0,0.0,0.0,0.0,59.0,0.0,54.0,170.0,99.0,53.0,0.0,,201.0
[19/10/2018 12:30],0.0,0.0,0.0,0.0,59.0,0.0,54.0,170.0,99.0,53.0,0.0,,201.0
[19/10/2018 13:00],0.0,0.0,0.0,0.0,59.0,0.0,54.0,170.0,99.0,53.0,0.0,,201.0
