Date (WET),Day Ahead Price EPEX,Day Ahead Price Nordpool,4H Intraday Price AVG,2H Intraday Price AVG,HH Intraday Price AVG,System Buy Price,System Sell Price
,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh
[13/02/2019 13:30],42.00,42.00,42.99,41.85,40.01,25.00,25.00
[13/02/2019 14:00],42.36,42.36,42.99,41.85,39.91,39.15,39.15
[13/02/2019 14:30],42.36,42.36,42.99,41.85,41.40,39.55,39.55
[13/02/2019 15:00],45.00,45.00,54.28,43.33,40.02,25.00,25.00
[13/02/2019 15:30],45.00,45.00,54.28,43.33,40.72,39.50,39.50
[13/02/2019 16:00],48.80,48.80,54.28,43.33,42.38,39.50,39.50
[13/02/2019 16:30],48.80,48.80,54.28,43.33,46.45,39.55,39.55
[13/02/2019 17:00],68.00,68.00,54.28,65.88,58.02,72.00,72.00
[13/02/2019 17:30],68.00,68.00,54.28,65.88,70.18,75.00,75.00
[13/02/2019 18:00],69.00,69.00,54.28,65.88,72.18,73.25,73.25
[13/02/2019 18:30],69.00,69.00,54.28,65.88,73.21,72.00,72.00
[13/02/2019 19:00],66.91,66.91,48.75,56.25,64.36,42.00,42.00
[13/02/2019 19:30],66.91,66.91,48.75,56.25,59.65,42.50,42.50
[13/02/2019 20:00],57.42,57.42,48.75,56.25,44.14,38.10,38.10
[13/02/2019 20:30],57.42,57.42,48.75,56.25,41.21,25.00,25.00
[13/02/2019 21:00],44.64,44.64,48.75,42.83,41.66,25.00,25.00
[13/02/2019 21:30],44.64,44.64,48.75,42.83,38.24,25.00,25.00
[13/02/2019 22:00],40.07,40.07,48.75,42.83,39.74,25.00,25.00
[13/02/2019 22:30],40.07,40.07,48.75,42.83,39.91,58.00,58.00
[13/02/2019 23:00],40.03,40.03,38.82,39.17,38.99,59.00,59.00
[13/02/2019 23:30],40.03,40.03,38.82,39.17,39.39,39.00,39.00
[14/02/2019 00:00],40.06,40.06,,,41.19,39.00,39.00
[14/02/2019 00:30],40.06,40.06,,,42.22,39.36,39.36
[14/02/2019 01:00],41.49,41.49,,43.45,42.18,42.31,42.31
[14/02/2019 01:30],41.49,41.49,,43.45,40.03,39.00,39.00
[14/02/2019 02:00],40.26,40.26,,43.45,40.56,39.00,39.00
[14/02/2019 02:30],40.26,40.26,,43.45,40.53,37.80,37.80
[14/02/2019 03:00],40.92,40.92,44.54,40.75,38.42,27.00,27.00
[14/02/2019 03:30],40.92,40.92,44.54,40.75,39.23,31.28,31.28
[14/02/2019 04:00],40.96,40.96,44.54,40.75,39.00,32.47,32.47
[14/02/2019 04:30],40.96,40.96,44.54,40.75,38.52,34.97,34.97
[14/02/2019 05:00],51.27,51.27,44.54,44.07,39.96,59.00,59.00
[14/02/2019 05:30],51.27,51.27,44.54,44.07,41.06,59.00,59.00
[14/02/2019 06:00],55.01,55.01,44.54,44.07,54.61,59.00,59.00
[14/02/2019 06:30],55.01,55.01,44.54,44.07,50.90,82.00,82.00
[14/02/2019 07:00],60.28,60.28,55.03,59.33,54.29,32.60,32.60
[14/02/2019 07:30],60.28,60.28,55.03,59.33,68.24,100.00,100.00
[14/02/2019 08:00],60.32,60.32,55.03,59.33,66.12,100.00,100.00
[14/02/2019 08:30],60.32,60.32,55.03,59.33,69.21,92.00,92.00
[14/02/2019 09:00],52.54,52.54,55.03,59.58,82.57,98.00,98.00
[14/02/2019 09:30],52.54,52.54,55.03,59.58,62.94,84.00,84.00
[14/02/2019 10:00],48.26,48.26,55.03,59.58,66.24,84.00,84.00
[14/02/2019 10:30],48.26,48.26,55.03,59.58,54.67,84.00,84.00
[14/02/2019 11:00],45.34,45.34,46.24,48.44,62.16,84.00,84.00
[14/02/2019 11:30],45.34,45.34,46.24,48.44,57.31,39.69,39.69
[14/02/2019 12:00],41.94,41.94,46.24,48.44,50.74,39.55,39.55
[14/02/2019 12:30],41.94,41.94,46.24,48.44,46.55,39.60,39.60
[14/02/2019 13:00],40.42,40.42,46.24,45.31,44.94,39.60,39.60
[14/02/2019 13:30],40.42,40.42,46.24,45.31,43.76,39.65,39.65
[14/02/2019 14:00],42.68,42.68,46.24,45.31,50.67,39.75,39.75
[14/02/2019 14:30],42.68,42.68,46.24,45.31,49.00,39.55,39.55
[14/02/2019 15:00],47.26,47.26,59.83,50.02,42.85,39.77,39.77
[14/02/2019 15:30],47.26,47.26,59.83,50.02,46.75,56.34,56.34
[14/02/2019 16:00],50.38,50.38,59.83,50.02,59.24,73.21,73.21
[14/02/2019 16:30],50.38,50.38,59.83,50.02,70.99,75.00,75.00
[14/02/2019 17:00],64.93,64.93,59.83,74.29,72.71,78.00,78.00
[14/02/2019 17:30],64.93,64.93,59.83,74.29,80.16,87.70,87.70
[14/02/2019 18:00],70.00,70.00,59.83,74.29,80.66,87.70,87.70
[14/02/2019 18:30],70.00,70.00,59.83,74.29,79.14,85.00,85.00
[14/02/2019 19:00],65.33,65.33,53.72,62.81,71.64,79.98,79.98
[14/02/2019 19:30],65.33,65.33,53.72,62.81,67.59,72.90,72.90
[14/02/2019 20:00],55.30,55.30,53.72,62.81,63.45,66.95,66.95
[14/02/2019 20:30],55.30,55.30,53.72,62.81,52.35,66.95,66.95
[14/02/2019 21:00],42.92,42.92,53.72,47.41,59.41,64.10,64.10
[14/02/2019 21:30],42.92,42.92,53.72,47.41,55.72,61.75,61.75
[14/02/2019 22:00],39.97,39.97,53.72,47.41,52.21,60.00,60.00
[14/02/2019 22:30],39.97,39.97,53.72,47.41,45.79,39.70,39.70
[14/02/2019 23:00],41.04,41.04,45.06,49.63,43.14,39.70,39.70
[14/02/2019 23:30],41.04,41.04,45.06,49.63,42.31,39.77,39.77
[15/02/2019 00:00],42.00,42.00,,,41.18,39.70,39.70
[15/02/2019 00:30],42.00,42.00,,,46.95,39.77,39.77
[15/02/2019 01:00],43.90,43.90,,45.37,47.87,39.79,39.79
[15/02/2019 01:30],43.90,43.90,,45.37,42.85,59.50,59.50
[15/02/2019 02:00],40.56,40.56,,45.37,45.18,59.50,59.50
[15/02/2019 02:30],40.56,40.56,,45.37,44.12,59.50,59.50
[15/02/2019 03:00],39.94,39.94,45.98,43.83,49.58,58.40,58.40
[15/02/2019 03:30],39.94,39.94,45.98,43.83,47.62,59.50,59.50
[15/02/2019 04:00],39.55,39.55,45.98,43.83,48.39,59.50,59.50
[15/02/2019 04:30],39.55,39.55,45.98,43.83,47.27,59.50,59.50
[15/02/2019 05:00],47.77,47.77,45.98,55.64,50.70,62.25,62.25
[15/02/2019 05:30],47.77,47.77,45.98,55.64,54.50,43.68,43.68
[15/02/2019 06:00],54.31,54.31,45.98,55.64,61.88,64.85,64.85
[15/02/2019 06:30],54.31,54.31,45.98,55.64,53.49,70.85,70.85
[15/02/2019 07:00],62.66,62.66,61.58,61.66,61.35,78.00,78.00
[15/02/2019 07:30],62.66,62.66,61.58,61.66,63.36,78.00,78.00
[15/02/2019 08:00],64.92,64.92,61.58,61.66,63.72,78.00,78.00
[15/02/2019 08:30],64.92,64.92,61.58,61.66,56.18,69.40,69.40
[15/02/2019 09:00],55.93,55.93,61.58,49.05,55.69,59.23,59.23
[15/02/2019 09:30],55.93,55.93,61.58,49.05,39.87,39.40,39.40
[15/02/2019 10:00],46.00,46.00,61.58,49.05,39.23,39.01,39.01
[15/02/2019 10:30],46.00,46.00,61.58,49.05,43.67,64.95,64.95
[15/02/2019 11:00],41.21,41.21,40.65,42.70,45.22,40.00,40.00
[15/02/2019 11:30],41.21,41.21,40.65,42.70,41.25,39.78,39.78
[15/02/2019 12:00],40.19,40.19,40.65,42.70,40.44,39.99,39.99
[15/02/2019 12:30],40.19,40.19,40.65,42.70,39.18,42.44,42.44
[15/02/2019 13:00],38.50,38.50,40.65,39.25,39.39,37.60,37.60
[15/02/2019 13:30],38.50,38.50,40.65,39.25,38.22,25.00,25.00
[15/02/2019 14:00],40.17,40.17,40.65,39.25,39.82,25.00,25.00
[15/02/2019 14:30],40.17,40.17,40.65,39.25,37.33,38.50,38.50
[15/02/2019 15:00],43.32,43.32,52.28,40.34,37.09,39.01,39.01
[15/02/2019 15:30],43.32,43.32,52.28,40.34,41.99,39.15,39.15
[15/02/2019 16:00],48.34,48.34,52.28,40.34,43.11,40.00,40.00
[15/02/2019 16:30],48.34,48.34,52.28,40.34,47.83,40.00,40.00
[15/02/2019 17:00],64.00,64.00,52.28,62.57,53.18,40.00,40.00
[15/02/2019 17:30],64.00,64.00,52.28,62.57,69.87,72.00,72.00
[15/02/2019 18:00],67.51,67.51,52.28,62.57,71.79,73.50,73.50
[15/02/2019 18:30],67.51,67.51,52.28,62.57,67.83,72.00,72.00
[15/02/2019 19:00],60.00,60.00,47.06,48.70,55.15,72.00,72.00
[15/02/2019 19:30],60.00,60.00,47.06,48.70,50.08,40.20,40.20
[15/02/2019 20:00],57.00,57.00,47.06,48.70,48.82,40.00,40.00
[15/02/2019 20:30],57.00,57.00,47.06,48.70,46.83,39.40,39.40
[15/02/2019 21:00],45.41,45.41,47.06,43.86,38.37,39.00,39.00
[15/02/2019 21:30],45.41,45.41,47.06,43.86,37.89,23.00,23.00
[15/02/2019 22:00],41.74,41.74,47.06,43.86,42.39,37.70,37.70
[15/02/2019 22:30],41.74,41.74,47.06,43.86,41.15,10.50,10.50
[15/02/2019 23:00],45.17,45.17,40.67,41.53,44.16,23.00,23.00
[15/02/2019 23:30],45.17,45.17,40.67,41.53,40.17,31.12,31.12
[16/02/2019 00:00],42.18,42.18,40.67,41.53,30.82,23.00,23.00
[16/02/2019 00:30],42.18,42.18,40.67,41.53,34.80,37.50,37.50
[16/02/2019 01:00],42.95,42.95,40.67,38.01,42.08,56.00,56.00
[16/02/2019 01:30],42.95,42.95,40.67,38.01,41.22,56.00,56.00
[16/02/2019 02:00],38.99,38.99,40.67,38.01,47.32,56.00,56.00
[16/02/2019 02:30],38.99,38.99,40.67,38.01,55.22,38.32,38.32
[16/02/2019 03:00],38.99,38.99,41.07,42.15,47.95,30.49,30.49
[16/02/2019 03:30],38.99,38.99,41.07,42.15,42.24,37.50,37.50
[16/02/2019 04:00],40.00,40.00,41.07,42.15,41.59,56.00,56.00
[16/02/2019 04:30],40.00,40.00,41.07,42.15,43.10,56.00,56.00
[16/02/2019 05:00],41.93,41.93,41.07,50.02,45.21,59.25,59.25
[16/02/2019 05:30],41.93,41.93,41.07,50.02,60.20,59.25,59.25
[16/02/2019 06:00],47.79,47.79,41.07,50.02,51.05,59.25,59.25
[16/02/2019 06:30],47.79,47.79,41.07,50.02,46.10,59.25,59.25
[16/02/2019 07:00],45.70,45.70,50.78,48.11,49.76,39.60,39.60
[16/02/2019 07:30],45.70,45.70,50.78,48.11,40.25,38.35,38.35
[16/02/2019 08:00],50.00,50.00,50.78,48.11,37.15,38.10,38.10
[16/02/2019 08:30],50.00,50.00,50.78,48.11,46.85,38.10,38.10
[16/02/2019 09:00],62.00,62.00,50.78,46.02,42.23,40.00,40.00
[16/02/2019 09:30],62.00,62.00,50.78,46.02,42.96,39.60,39.60
[16/02/2019 10:00],62.00,62.00,50.78,46.02,42.51,37.50,37.50
[16/02/2019 10:30],62.00,62.00,50.78,46.02,41.91,37.50,37.50
[16/02/2019 11:00],56.20,56.20,41.80,39.98,38.22,39.60,39.60
[16/02/2019 11:30],56.20,56.20,41.80,39.98,39.22,37.60,37.60
[16/02/2019 12:00],50.00,50.00,41.80,39.98,41.68,37.65,37.65
[16/02/2019 12:30],50.00,50.00,41.80,39.98,45.24,37.65,37.65
[16/02/2019 13:00],41.40,41.40,41.80,41.12,40.99,14.00,14.00
[16/02/2019 13:30],41.40,41.40,41.80,41.12,35.82,14.00,14.00
[16/02/2019 14:00],40.48,40.48,41.80,41.12,33.42,14.00,14.00
[16/02/2019 14:30],40.48,40.48,41.80,41.12,33.96,37.35,37.35
[16/02/2019 15:00],40.00,40.00,52.58,40.39,35.23,37.55,37.55
[16/02/2019 15:30],40.00,40.00,52.58,40.39,40.28,39.30,39.30
[16/02/2019 16:00],45.50,45.50,52.58,40.39,47.76,59.95,59.95
[16/02/2019 16:30],45.50,45.50,52.58,40.39,66.45,37.65,37.65
[16/02/2019 17:00],75.52,75.52,52.58,69.05,62.69,39.30,39.30
[16/02/2019 17:30],75.52,75.52,52.58,69.05,79.33,71.99,71.99
[16/02/2019 18:00],78.00,78.00,52.58,69.05,74.54,71.00,71.00
[16/02/2019 18:30],78.00,78.00,52.58,69.05,66.30,39.30,39.30
[16/02/2019 19:00],56.96,56.96,48.45,51.61,60.18,39.25,39.25
[16/02/2019 19:30],56.96,56.96,48.45,51.61,42.74,37.50,37.50
[16/02/2019 20:00],48.48,48.48,48.45,51.61,42.84,37.50,37.50
[16/02/2019 20:30],48.48,48.48,48.45,51.61,41.57,37.35,37.35
[16/02/2019 21:00],46.34,46.34,48.45,45.04,46.18,61.50,61.50
[16/02/2019 21:30],46.34,46.34,48.45,45.04,51.53,61.95,61.95
[16/02/2019 22:00],41.42,41.42,48.45,45.04,46.65,39.30,39.30
[16/02/2019 22:30],41.42,41.42,48.45,45.04,46.47,37.50,37.50
[16/02/2019 23:00],53.98,53.98,49.53,54.83,55.09,58.00,58.00
[16/02/2019 23:30],53.98,53.98,49.53,54.83,54.40,39.30,39.30
[17/02/2019 00:00],55.50,55.50,,,55.09,39.30,39.30
[17/02/2019 00:30],55.50,55.50,,,56.07,60.50,60.50
[17/02/2019 01:00],54.00,54.00,,48.07,51.51,40.00,40.00
[17/02/2019 01:30],54.00,54.00,,48.07,49.26,58.00,58.00
[17/02/2019 02:00],38.98,38.98,,48.07,49.14,30.44,30.44
[17/02/2019 02:30],38.98,38.98,,48.07,46.37,30.44,30.44
[17/02/2019 03:00],32.63,32.63,41.18,40.78,45.05,58.00,58.00
[17/02/2019 03:30],32.63,32.63,41.18,40.78,41.43,58.00,58.00
[17/02/2019 04:00],33.18,33.18,41.18,40.78,47.62,59.50,59.50
[17/02/2019 04:30],33.18,33.18,41.18,40.78,46.76,58.66,58.66
[17/02/2019 05:00],32.84,32.84,41.18,51.48,60.71,58.45,58.45
[17/02/2019 05:30],32.84,32.84,41.18,51.48,59.64,58.00,58.00
[17/02/2019 06:00],35.06,35.06,41.18,51.48,53.87,58.00,58.00
[17/02/2019 06:30],35.06,35.06,41.18,51.48,49.04,40.00,40.00
[17/02/2019 07:00],40.00,40.00,49.36,47.04,51.24,31.71,31.71
[17/02/2019 07:30],40.00,40.00,49.36,47.04,51.07,59.50,59.50
[17/02/2019 08:00],40.00,40.00,49.36,47.04,48.95,60.00,60.00
[17/02/2019 08:30],40.00,40.00,49.36,47.04,52.14,59.50,59.50
[17/02/2019 09:00],48.00,48.00,49.36,50.31,52.70,39.24,39.24
[17/02/2019 09:30],48.00,48.00,49.36,50.31,50.00,39.25,39.25
[17/02/2019 10:00],55.10,55.10,49.36,50.31,41.97,37.65,37.65
[17/02/2019 10:30],55.10,55.10,49.36,50.31,44.22,37.65,37.65
[17/02/2019 11:00],40.00,40.00,40.76,42.15,34.18,32.00,32.00
[17/02/2019 11:30],40.00,40.00,40.76,42.15,37.31,39.89,39.89
[17/02/2019 12:00],46.00,46.00,40.76,42.15,43.48,58.00,58.00
[17/02/2019 12:30],46.00,46.00,40.76,42.15,48.15,27.36,27.36
[17/02/2019 13:00],46.00,46.00,40.76,43.93,41.48,36.30,36.30
[17/02/2019 13:30],46.00,46.00,40.76,43.93,37.88,36.30,36.30
[17/02/2019 14:00],51.00,51.00,40.76,43.93,37.62,36.30,36.30
[17/02/2019 14:30],51.00,51.00,40.76,43.93,38.07,36.50,36.50
[17/02/2019 15:00],50.90,50.90,57.87,40.67,40.26,23.00,23.00
[17/02/2019 15:30],50.90,50.90,57.87,40.67,42.31,23.00,23.00
[17/02/2019 16:00],42.58,42.58,57.87,40.67,41.05,23.00,23.00
[17/02/2019 16:30],42.58,42.58,57.87,40.67,47.15,38.10,38.10
[17/02/2019 17:00],68.40,68.40,57.87,68.12,58.94,39.18,39.18
[17/02/2019 17:30],68.40,68.40,57.87,68.12,75.34,74.00,74.00
[17/02/2019 18:00],76.59,76.59,57.87,68.12,76.33,70.00,70.00
[17/02/2019 18:30],76.59,76.59,57.87,68.12,68.99,65.00,65.00
[17/02/2019 19:00],60.23,60.23,43.59,49.19,65.78,65.00,65.00
[17/02/2019 19:30],60.23,60.23,43.59,49.19,51.98,65.00,65.00
[17/02/2019 20:00],43.80,43.80,43.59,49.19,35.68,37.99,37.99
[17/02/2019 20:30],43.80,43.80,43.59,49.19,35.56,37.50,37.50
[17/02/2019 21:00],45.00,45.00,43.59,44.61,49.64,62.00,62.00
[17/02/2019 21:30],45.00,45.00,43.59,44.61,54.31,38.05,38.05
[17/02/2019 22:00],34.99,34.99,43.59,44.61,50.24,37.35,37.35
[17/02/2019 22:30],34.99,34.99,43.59,44.61,41.70,36.30,36.30
[17/02/2019 23:00],40.17,40.17,39.49,39.03,34.63,31.66,31.66
[17/02/2019 23:30],40.17,40.17,39.49,39.03,30.48,25.00,25.00
[18/02/2019 00:00],42.98,42.98,,,31.27,30.66,30.66
[18/02/2019 00:30],42.98,42.98,,,34.81,30.66,30.66
[18/02/2019 01:00],44.50,44.50,,38.36,34.99,32.08,32.08
[18/02/2019 01:30],44.50,44.50,,38.36,33.80,32.08,32.08
[18/02/2019 02:00],37.91,37.91,,38.36,31.05,37.86,37.86
[18/02/2019 02:30],37.91,37.91,,38.36,30.91,38.51,38.51
[18/02/2019 03:00],35.91,35.91,38.18,36.40,34.44,36.96,36.96
[18/02/2019 03:30],35.91,35.91,38.18,36.40,33.24,36.68,36.68
[18/02/2019 04:00],36.13,36.13,38.18,36.40,40.31,36.63,36.63
[18/02/2019 04:30],36.13,36.13,38.18,36.40,40.50,33.51,33.51
[18/02/2019 05:00],46.52,46.52,38.18,48.38,45.93,42.48,42.48
[18/02/2019 05:30],46.52,46.52,38.18,48.38,49.89,42.51,42.51
[18/02/2019 06:00],51.81,51.81,38.18,48.38,47.53,23.00,23.00
[18/02/2019 06:30],51.81,51.81,38.18,48.38,41.06,23.00,23.00
[18/02/2019 07:00],50.38,50.38,44.38,46.61,28.00,37.99,37.99
[18/02/2019 07:30],50.38,50.38,44.38,46.61,38.21,38.10,38.10
[18/02/2019 08:00],52.48,52.48,44.38,46.61,34.89,23.00,23.00
[18/02/2019 08:30],52.48,52.48,44.38,46.61,33.82,23.00,23.00
[18/02/2019 09:00],59.97,59.97,44.38,42.51,38.65,42.51,42.51
[18/02/2019 09:30],59.97,59.97,44.38,42.51,39.83,42.35,42.35
[18/02/2019 10:00],47.00,47.00,44.38,42.51,42.91,42.28,42.28
[18/02/2019 10:30],47.00,47.00,44.38,42.51,43.75,38.15,38.15
[18/02/2019 11:00],43.00,43.00,41.99,42.90,49.03,45.00,45.00
[18/02/2019 11:30],43.00,43.00,41.99,42.90,36.96,42.30,42.30
[18/02/2019 12:00],42.80,42.80,41.99,42.90,41.03,57.00,57.00
[18/02/2019 12:30],42.80,42.80,41.99,42.90,45.33,57.50,57.50
[18/02/2019 13:00],42.65,42.65,41.99,43.16,44.29,55.00,55.00
[18/02/2019 13:30],42.65,42.65,41.99,43.16,42.52,23.00,23.00
[18/02/2019 14:00],42.76,42.76,41.99,43.16,46.50,55.00,55.00
[18/02/2019 14:30],42.76,42.76,41.99,43.16,39.65,41.91,41.91
[18/02/2019 15:00],45.64,45.64,54.29,43.68,43.00,47.22,47.22
[18/02/2019 15:30],45.64,45.64,54.29,43.68,47.08,46.90,46.90
[18/02/2019 16:00],47.81,47.81,54.29,43.68,39.80,38.12,38.12
[18/02/2019 16:30],47.81,47.81,54.29,43.68,43.43,38.15,38.15
[18/02/2019 17:00],61.07,61.07,54.29,61.46,46.05,39.25,39.25
[18/02/2019 17:30],61.07,61.07,54.29,61.46,61.33,45.00,45.00
[18/02/2019 18:00],69.78,69.78,54.29,61.46,64.22,41.00,41.00
[18/02/2019 18:30],69.78,69.78,54.29,61.46,60.78,39.85,39.85
[18/02/2019 19:00],67.68,67.68,51.86,57.29,64.04,56.00,56.00
[18/02/2019 19:30],67.68,67.68,51.86,57.29,59.48,73.50,73.50
[18/02/2019 20:00],54.20,54.20,51.86,57.29,47.22,39.25,39.25
[18/02/2019 20:30],54.20,54.20,51.86,57.29,42.85,25.00,25.00
[18/02/2019 21:00],46.96,46.96,51.86,41.52,41.22,23.00,23.00
[18/02/2019 21:30],46.96,46.96,51.86,41.52,40.91,60.49,60.49
[18/02/2019 22:00],42.94,42.94,51.86,41.52,39.76,57.00,57.00
[18/02/2019 22:30],42.94,42.94,51.86,41.52,38.96,57.00,57.00
[18/02/2019 23:00],40.91,40.91,41.97,47.00,51.18,39.55,39.55
[18/02/2019 23:30],40.91,40.91,41.97,47.00,45.52,37.75,37.75
[19/02/2019 00:00],41.00,41.00,41.97,47.00,39.81,37.00,37.00
[19/02/2019 00:30],41.00,41.00,41.97,47.00,38.39,30.00,30.00
[19/02/2019 01:00],42.96,42.96,41.97,39.41,38.96,28.83,28.83
[19/02/2019 01:30],42.96,42.96,41.97,39.41,41.32,30.00,30.00
[19/02/2019 02:00],41.94,41.94,41.97,39.41,39.71,27.87,27.87
[19/02/2019 02:30],41.94,41.94,41.97,39.41,37.18,25.00,25.00
[19/02/2019 03:00],42.88,42.88,39.72,37.79,35.59,37.15,37.15
[19/02/2019 03:30],42.88,42.88,39.72,37.79,37.04,37.15,37.15
[19/02/2019 04:00],42.05,42.05,39.72,37.79,36.88,28.00,28.00
[19/02/2019 04:30],42.05,42.05,39.72,37.79,35.81,37.15,37.15
[19/02/2019 05:00],45.45,45.45,39.72,41.49,36.09,25.00,25.00
[19/02/2019 05:30],45.45,45.45,39.72,41.49,38.97,37.75,37.75
[19/02/2019 06:00],54.00,54.00,39.72,41.49,46.71,25.00,25.00
[19/02/2019 06:30],54.00,54.00,39.72,41.49,44.43,25.00,25.00
[19/02/2019 07:00],53.87,53.87,49.52,47.26,39.70,23.00,23.00
[19/02/2019 07:30],53.87,53.87,49.52,47.26,36.23,25.00,25.00
[19/02/2019 08:00],64.00,64.00,49.52,47.26,41.63,25.00,25.00
[19/02/2019 08:30],64.00,64.00,49.52,47.26,40.20,39.25,39.25
[19/02/2019 09:00],63.30,63.30,49.52,44.63,47.33,39.00,39.00
[19/02/2019 09:30],63.30,63.30,49.52,44.63,44.36,38.26,38.26
[19/02/2019 10:00],54.24,54.24,49.52,44.63,42.54,35.65,35.65
[19/02/2019 10:30],54.24,54.24,49.52,44.63,40.94,35.65,35.65
[19/02/2019 11:00],49.69,49.69,42.89,39.77,38.47,35.65,35.65
[19/02/2019 11:30],49.69,49.69,42.89,39.77,39.35,38.26,38.26
[19/02/2019 12:00],46.00,46.00,42.89,39.77,39.16,39.26,39.26
[19/02/2019 12:30],46.00,46.00,42.89,39.77,43.41,58.00,58.00
[19/02/2019 13:00],44.00,44.00,42.89,41.35,46.39,58.00,58.00
[19/02/2019 13:30],44.00,44.00,42.89,41.35,47.53,39.26,39.26
[19/02/2019 14:00],44.13,44.13,42.89,41.35,42.38,39.26,39.26
[19/02/2019 14:30],44.13,44.13,42.89,41.35,42.32,39.26,39.26
[19/02/2019 15:00],48.40,48.40,52.43,42.99,37.70,39.01,39.01
[19/02/2019 15:30],48.40,48.40,52.43,42.99,39.17,39.10,39.10
[19/02/2019 16:00],51.39,51.39,52.43,42.99,45.14,56.00,56.00
[19/02/2019 16:30],51.39,51.39,52.43,42.99,57.70,55.00,55.00
[19/02/2019 17:00],62.40,62.40,52.43,63.83,63.62,100.00,100.00
[19/02/2019 17:30],62.40,62.40,52.43,63.83,70.93,77.55,77.55
[19/02/2019 18:00],63.00,63.00,52.43,63.83,75.28,40.25,40.25
[19/02/2019 18:30],63.00,63.00,52.43,63.83,68.90,40.25,40.25
[19/02/2019 19:00],62.37,62.37,47.31,50.68,56.17,41.00,41.00
[19/02/2019 19:30],62.37,62.37,47.31,50.68,48.72,38.16,38.16
[19/02/2019 20:00],48.73,48.73,47.31,50.68,46.07,39.01,39.01
[19/02/2019 20:30],48.73,48.73,47.31,50.68,45.35,25.00,25.00
[19/02/2019 21:00],45.00,45.00,47.31,45.58,45.23,25.00,25.00
[19/02/2019 21:30],45.00,45.00,47.31,45.58,45.24,25.00,25.00
[19/02/2019 22:00],41.97,41.97,47.31,45.58,46.07,38.26,38.26
[19/02/2019 22:30],41.97,41.97,47.31,45.58,43.11,23.00,23.00
[19/02/2019 23:00],44.40,44.40,38.00,40.61,38.78,25.00,25.00
[19/02/2019 23:30],44.40,44.40,38.00,40.61,39.98,55.50,55.50
[20/02/2019 00:00],46.20,46.20,,,34.48,55.50,55.50
[20/02/2019 00:30],46.20,46.20,,,42.80,55.50,55.50
[20/02/2019 01:00],44.93,44.93,,40.65,47.16,55.50,55.50
[20/02/2019 01:30],44.93,44.93,,40.65,37.89,40.33,40.33
[20/02/2019 02:00],37.80,37.80,,40.65,43.08,55.50,55.50
[20/02/2019 02:30],37.80,37.80,,40.65,41.40,50.00,50.00
[20/02/2019 03:00],32.53,32.53,44.00,37.04,41.00,36.09,36.09
[20/02/2019 03:30],32.53,32.53,44.00,37.04,37.65,37.86,37.86
[20/02/2019 04:00],34.33,34.33,44.00,37.04,35.02,31.80,31.80
[20/02/2019 04:30],34.33,34.33,44.00,37.04,33.22,25.00,25.00
[20/02/2019 05:00],44.11,44.11,44.00,43.72,41.54,26.00,26.00
[20/02/2019 05:30],44.11,44.11,44.00,43.72,41.71,26.00,26.00
[20/02/2019 06:00],49.20,49.20,44.00,43.72,36.70,44.03,44.03
[20/02/2019 06:30],49.20,49.20,44.00,43.72,39.50,23.00,23.00
[20/02/2019 07:00],49.34,49.34,49.97,47.80,57.25,56.03,56.03
[20/02/2019 07:30],49.34,49.34,49.97,47.80,58.57,53.00,53.00
[20/02/2019 08:00],47.95,47.95,49.97,47.80,46.77,39.01,39.01
[20/02/2019 08:30],47.95,47.95,49.97,47.80,39.46,60.95,60.95
[20/02/2019 09:00],49.42,49.42,49.97,44.14,48.52,60.95,60.95
[20/02/2019 09:30],49.42,49.42,49.97,44.14,42.57,25.00,25.00
[20/02/2019 10:00],45.68,45.68,49.97,44.14,45.61,25.00,25.00
[20/02/2019 10:30],45.68,45.68,49.97,44.14,41.24,25.00,25.00
[20/02/2019 11:00],45.74,45.74,45.16,42.96,37.69,23.00,23.00
[20/02/2019 11:30],45.74,45.74,45.16,42.96,43.48,52.50,52.50
[20/02/2019 12:00],43.49,43.49,45.16,42.96,45.29,54.98,54.98
[20/02/2019 12:30],43.49,43.49,45.16,42.96,47.30,54.99,54.99
[20/02/2019 13:00],44.37,44.37,45.16,48.09,47.03,54.99,54.99
[20/02/2019 13:30],44.37,44.37,45.16,48.09,51.79,54.98,54.98
[20/02/2019 14:00],45.65,45.65,45.16,48.09,50.63,52.50,52.50
[20/02/2019 14:30],45.65,45.65,45.16,48.09,49.57,52.50,52.50
[20/02/2019 15:00],47.00,47.00,53.71,41.94,29.87,38.50,38.50
[20/02/2019 15:30],47.00,47.00,53.71,41.94,40.47,39.05,39.05
[20/02/2019 16:00],48.01,48.01,53.71,41.94,40.93,23.00,23.00
[20/02/2019 16:30],48.01,48.01,53.71,41.94,41.94,30.00,30.00
[20/02/2019 17:00],63.00,63.00,53.71,62.62,48.21,38.25,38.25
[20/02/2019 17:30],63.00,63.00,53.71,62.62,56.70,39.01,39.01
[20/02/2019 18:00],73.57,73.57,53.71,62.62,56.56,77.00,77.00
[20/02/2019 18:30],73.57,73.57,53.71,62.62,61.68,77.00,77.00
[20/02/2019 19:00],62.91,62.91,48.17,51.28,62.10,76.00,76.00
[20/02/2019 19:30],62.91,62.91,48.17,51.28,53.01,63.00,63.00
