Date (WET),Static FFR Accepted Volume,Static FFR Max of average Accepted Price,Static FFR Min of average Accepted  Price,Static FFR Average Accepted  Price,LFS Accepted Volume,LFS Max of average Accepted Price,LFS Min of average Accepted  Price,LFS Average Accepted  Price
,MW,GBP/MW/h,GBP/MW/h,GBP/MW/h,MW,GBP/MW/h,GBP/MW/h,GBP/MW/h
[23/12/2018 09:30],147.0,1.92,1.92,1.92,0.0,,,
[23/12/2018 10:00],147.0,1.92,1.92,1.92,0.0,,,
[23/12/2018 10:30],137.0,1.94,1.94,1.94,0.0,,,
[23/12/2018 11:00],137.0,1.94,1.94,1.94,0.0,,,
[23/12/2018 11:30],137.0,1.94,1.94,1.94,0.0,,,
[23/12/2018 12:00],137.0,1.94,1.94,1.94,0.0,,,
[23/12/2018 12:30],137.0,1.94,1.94,1.94,0.0,,,
[23/12/2018 13:00],137.0,1.94,1.94,1.94,0.0,,,
[23/12/2018 13:30],137.0,1.94,1.94,1.94,0.0,,,
[23/12/2018 14:00],137.0,1.94,1.94,1.94,0.0,,,
[23/12/2018 14:30],137.0,1.94,1.94,1.94,0.0,,,
[23/12/2018 15:00],28.0,2.15,2.15,2.15,0.0,,,
[23/12/2018 15:30],28.0,2.15,2.15,2.15,0.0,,,
[23/12/2018 16:00],28.0,2.15,2.15,2.15,0.0,,,
[23/12/2018 16:30],28.0,2.15,2.15,2.15,0.0,,,
[23/12/2018 17:00],28.0,2.15,2.15,2.15,0.0,,,
[23/12/2018 17:30],28.0,2.15,2.15,2.15,0.0,,,
[23/12/2018 18:00],28.0,2.15,2.15,2.15,0.0,,,
[23/12/2018 18:30],28.0,2.15,2.15,2.15,0.0,,,
[23/12/2018 19:00],100.0,1.95,1.95,1.95,0.0,,,
[23/12/2018 19:30],110.0,1.93,1.93,1.93,0.0,,,
[23/12/2018 20:00],110.0,1.93,1.93,1.93,0.0,,,
[23/12/2018 20:30],110.0,1.93,1.93,1.93,0.0,,,
[23/12/2018 21:00],110.0,1.93,1.93,1.93,0.0,,,
[23/12/2018 21:30],110.0,1.93,1.93,1.93,0.0,,,
[23/12/2018 22:00],110.0,1.93,1.93,1.93,0.0,,,
[23/12/2018 22:30],110.0,1.93,1.93,1.93,0.0,,,
[23/12/2018 23:00],53.0,1.28,1.28,1.28,0.0,,,
[23/12/2018 23:30],53.0,1.28,1.28,1.28,0.0,,,
[24/12/2018 00:00],53.0,1.28,1.28,1.28,0.0,,,
[24/12/2018 00:30],53.0,1.28,1.28,1.28,0.0,,,
[24/12/2018 01:00],53.0,1.28,1.28,1.28,0.0,,,
[24/12/2018 01:30],53.0,1.28,1.28,1.28,0.0,,,
[24/12/2018 02:00],53.0,1.28,1.28,1.28,0.0,,,
[24/12/2018 02:30],53.0,1.28,1.28,1.28,0.0,,,
[24/12/2018 03:00],35.0,1.35,1.35,1.35,0.0,,,
[24/12/2018 03:30],35.0,1.35,1.35,1.35,0.0,,,
[24/12/2018 04:00],35.0,1.35,1.35,1.35,0.0,,,
[24/12/2018 04:30],35.0,1.35,1.35,1.35,0.0,,,
[24/12/2018 05:00],35.0,1.35,1.35,1.35,0.0,,,
[24/12/2018 05:30],35.0,1.35,1.35,1.35,0.0,,,
[24/12/2018 06:00],25.0,1.28,1.28,1.28,0.0,,,
[24/12/2018 06:30],25.0,1.28,1.28,1.28,0.0,,,
[24/12/2018 07:00],137.0,1.94,1.94,1.94,0.0,,,
[24/12/2018 07:30],137.0,1.94,1.94,1.94,0.0,,,
[24/12/2018 08:00],137.0,1.94,1.94,1.94,0.0,,,
[24/12/2018 08:30],137.0,1.94,1.94,1.94,0.0,,,
[24/12/2018 09:00],137.0,1.94,1.94,1.94,0.0,,,
[24/12/2018 09:30],137.0,1.94,1.94,1.94,0.0,,,
[24/12/2018 10:00],137.0,1.94,1.94,1.94,0.0,,,
[24/12/2018 10:30],137.0,1.94,1.94,1.94,0.0,,,
[24/12/2018 11:00],137.0,1.94,1.94,1.94,0.0,,,
[24/12/2018 11:30],137.0,1.94,1.94,1.94,0.0,,,
[24/12/2018 12:00],137.0,1.94,1.94,1.94,0.0,,,
[24/12/2018 12:30],137.0,1.94,1.94,1.94,0.0,,,
[24/12/2018 13:00],137.0,1.94,1.94,1.94,0.0,,,
[24/12/2018 13:30],137.0,1.94,1.94,1.94,0.0,,,
[24/12/2018 14:00],137.0,1.94,1.94,1.94,0.0,,,
[24/12/2018 14:30],137.0,1.94,1.94,1.94,0.0,,,
[24/12/2018 15:00],5.0,1.00,1.00,1.00,0.0,,,
[24/12/2018 15:30],5.0,1.00,1.00,1.00,0.0,,,
[24/12/2018 16:00],5.0,1.00,1.00,1.00,0.0,,,
[24/12/2018 16:30],5.0,1.00,1.00,1.00,0.0,,,
[24/12/2018 17:00],5.0,1.00,1.00,1.00,0.0,,,
[24/12/2018 17:30],5.0,1.00,1.00,1.00,0.0,,,
[24/12/2018 18:00],5.0,1.00,1.00,1.00,0.0,,,
[24/12/2018 18:30],5.0,1.00,1.00,1.00,0.0,,,
[24/12/2018 19:00],100.0,1.95,1.95,1.95,0.0,,,
[24/12/2018 19:30],100.0,1.95,1.95,1.95,0.0,,,
[24/12/2018 20:00],100.0,1.95,1.95,1.95,0.0,,,
[24/12/2018 20:30],110.0,1.93,1.93,1.93,0.0,,,
[24/12/2018 21:00],110.0,1.93,1.93,1.93,0.0,,,
[24/12/2018 21:30],110.0,1.93,1.93,1.93,0.0,,,
[24/12/2018 22:00],110.0,1.93,1.93,1.93,0.0,,,
[24/12/2018 22:30],110.0,1.93,1.93,1.93,0.0,,,
[24/12/2018 23:00],53.0,1.28,1.28,1.28,0.0,,,
[24/12/2018 23:30],53.0,1.28,1.28,1.28,0.0,,,
[25/12/2018 00:00],53.0,1.28,1.28,1.28,0.0,,,
[25/12/2018 00:30],53.0,1.28,1.28,1.28,0.0,,,
[25/12/2018 01:00],53.0,1.28,1.28,1.28,0.0,,,
[25/12/2018 01:30],53.0,1.28,1.28,1.28,0.0,,,
[25/12/2018 02:00],53.0,1.28,1.28,1.28,0.0,,,
[25/12/2018 02:30],53.0,1.28,1.28,1.28,0.0,,,
[25/12/2018 03:00],35.0,1.35,1.35,1.35,0.0,,,
[25/12/2018 03:30],35.0,1.35,1.35,1.35,0.0,,,
[25/12/2018 04:00],35.0,1.35,1.35,1.35,0.0,,,
[25/12/2018 04:30],35.0,1.35,1.35,1.35,0.0,,,
[25/12/2018 05:00],35.0,1.35,1.35,1.35,0.0,,,
[25/12/2018 05:30],35.0,1.35,1.35,1.35,0.0,,,
[25/12/2018 06:00],35.0,1.35,1.35,1.35,0.0,,,
[25/12/2018 06:30],35.0,1.35,1.35,1.35,0.0,,,
[25/12/2018 07:00],147.0,1.92,1.92,1.92,0.0,,,
[25/12/2018 07:30],147.0,1.92,1.92,1.92,0.0,,,
[25/12/2018 08:00],147.0,1.92,1.92,1.92,0.0,,,
[25/12/2018 08:30],147.0,1.92,1.92,1.92,0.0,,,
[25/12/2018 09:00],147.0,1.92,1.92,1.92,0.0,,,
[25/12/2018 09:30],147.0,1.92,1.92,1.92,0.0,,,
[25/12/2018 10:00],147.0,1.92,1.92,1.92,0.0,,,
[25/12/2018 10:30],137.0,1.94,1.94,1.94,0.0,,,
[25/12/2018 11:00],137.0,1.94,1.94,1.94,0.0,,,
[25/12/2018 11:30],137.0,1.94,1.94,1.94,0.0,,,
[25/12/2018 12:00],137.0,1.94,1.94,1.94,0.0,,,
[25/12/2018 12:30],137.0,1.94,1.94,1.94,0.0,,,
[25/12/2018 13:00],137.0,1.94,1.94,1.94,0.0,,,
[25/12/2018 13:30],137.0,1.94,1.94,1.94,0.0,,,
[25/12/2018 14:00],137.0,1.94,1.94,1.94,0.0,,,
[25/12/2018 14:30],137.0,1.94,1.94,1.94,0.0,,,
[25/12/2018 15:00],28.0,2.15,2.15,2.15,0.0,,,
[25/12/2018 15:30],28.0,2.15,2.15,2.15,0.0,,,
[25/12/2018 16:00],28.0,2.15,2.15,2.15,0.0,,,
[25/12/2018 16:30],28.0,2.15,2.15,2.15,0.0,,,
[25/12/2018 17:00],28.0,2.15,2.15,2.15,0.0,,,
[25/12/2018 17:30],28.0,2.15,2.15,2.15,0.0,,,
[25/12/2018 18:00],28.0,2.15,2.15,2.15,0.0,,,
[25/12/2018 18:30],28.0,2.15,2.15,2.15,0.0,,,
[25/12/2018 19:00],100.0,1.95,1.95,1.95,0.0,,,
[25/12/2018 19:30],110.0,1.93,1.93,1.93,0.0,,,
[25/12/2018 20:00],110.0,1.93,1.93,1.93,0.0,,,
[25/12/2018 20:30],110.0,1.93,1.93,1.93,0.0,,,
[25/12/2018 21:00],110.0,1.93,1.93,1.93,0.0,,,
[25/12/2018 21:30],110.0,1.93,1.93,1.93,0.0,,,
[25/12/2018 22:00],110.0,1.93,1.93,1.93,0.0,,,
[25/12/2018 22:30],110.0,1.93,1.93,1.93,0.0,,,
[25/12/2018 23:00],53.0,1.28,1.28,1.28,0.0,,,
[25/12/2018 23:30],53.0,1.28,1.28,1.28,0.0,,,
[26/12/2018 00:00],53.0,1.28,1.28,1.28,0.0,,,
[26/12/2018 00:30],53.0,1.28,1.28,1.28,0.0,,,
[26/12/2018 01:00],53.0,1.28,1.28,1.28,0.0,,,
[26/12/2018 01:30],53.0,1.28,1.28,1.28,0.0,,,
[26/12/2018 02:00],53.0,1.28,1.28,1.28,0.0,,,
[26/12/2018 02:30],53.0,1.28,1.28,1.28,0.0,,,
[26/12/2018 03:00],35.0,1.35,1.35,1.35,0.0,,,
[26/12/2018 03:30],35.0,1.35,1.35,1.35,0.0,,,
[26/12/2018 04:00],35.0,1.35,1.35,1.35,0.0,,,
[26/12/2018 04:30],35.0,1.35,1.35,1.35,0.0,,,
[26/12/2018 05:00],35.0,1.35,1.35,1.35,0.0,,,
[26/12/2018 05:30],35.0,1.35,1.35,1.35,0.0,,,
[26/12/2018 06:00],35.0,1.35,1.35,1.35,0.0,,,
[26/12/2018 06:30],35.0,1.35,1.35,1.35,0.0,,,
[26/12/2018 07:00],147.0,1.92,1.92,1.92,0.0,,,
[26/12/2018 07:30],147.0,1.92,1.92,1.92,0.0,,,
[26/12/2018 08:00],147.0,1.92,1.92,1.92,0.0,,,
[26/12/2018 08:30],147.0,1.92,1.92,1.92,0.0,,,
[26/12/2018 09:00],147.0,1.92,1.92,1.92,0.0,,,
[26/12/2018 09:30],147.0,1.92,1.92,1.92,0.0,,,
[26/12/2018 10:00],147.0,1.92,1.92,1.92,0.0,,,
[26/12/2018 10:30],137.0,1.94,1.94,1.94,0.0,,,
[26/12/2018 11:00],137.0,1.94,1.94,1.94,0.0,,,
[26/12/2018 11:30],137.0,1.94,1.94,1.94,0.0,,,
[26/12/2018 12:00],137.0,1.94,1.94,1.94,0.0,,,
[26/12/2018 12:30],137.0,1.94,1.94,1.94,0.0,,,
[26/12/2018 13:00],137.0,1.94,1.94,1.94,0.0,,,
[26/12/2018 13:30],137.0,1.94,1.94,1.94,0.0,,,
[26/12/2018 14:00],137.0,1.94,1.94,1.94,0.0,,,
[26/12/2018 14:30],137.0,1.94,1.94,1.94,0.0,,,
[26/12/2018 15:00],28.0,2.15,2.15,2.15,0.0,,,
[26/12/2018 15:30],28.0,2.15,2.15,2.15,0.0,,,
[26/12/2018 16:00],28.0,2.15,2.15,2.15,0.0,,,
[26/12/2018 16:30],28.0,2.15,2.15,2.15,0.0,,,
[26/12/2018 17:00],28.0,2.15,2.15,2.15,0.0,,,
[26/12/2018 17:30],28.0,2.15,2.15,2.15,0.0,,,
[26/12/2018 18:00],28.0,2.15,2.15,2.15,0.0,,,
[26/12/2018 18:30],28.0,2.15,2.15,2.15,0.0,,,
[26/12/2018 19:00],100.0,1.95,1.95,1.95,0.0,,,
[26/12/2018 19:30],110.0,1.93,1.93,1.93,0.0,,,
[26/12/2018 20:00],110.0,1.93,1.93,1.93,0.0,,,
[26/12/2018 20:30],110.0,1.93,1.93,1.93,0.0,,,
[26/12/2018 21:00],110.0,1.93,1.93,1.93,0.0,,,
[26/12/2018 21:30],110.0,1.93,1.93,1.93,0.0,,,
[26/12/2018 22:00],110.0,1.93,1.93,1.93,0.0,,,
[26/12/2018 22:30],110.0,1.93,1.93,1.93,0.0,,,
[26/12/2018 23:00],53.0,1.28,1.28,1.28,0.0,,,
[26/12/2018 23:30],53.0,1.28,1.28,1.28,0.0,,,
[27/12/2018 00:00],53.0,1.28,1.28,1.28,0.0,,,
[27/12/2018 00:30],53.0,1.28,1.28,1.28,0.0,,,
[27/12/2018 01:00],53.0,1.28,1.28,1.28,0.0,,,
[27/12/2018 01:30],53.0,1.28,1.28,1.28,0.0,,,
[27/12/2018 02:00],53.0,1.28,1.28,1.28,0.0,,,
[27/12/2018 02:30],53.0,1.28,1.28,1.28,0.0,,,
[27/12/2018 03:00],35.0,1.35,1.35,1.35,0.0,,,
[27/12/2018 03:30],35.0,1.35,1.35,1.35,0.0,,,
[27/12/2018 04:00],35.0,1.35,1.35,1.35,0.0,,,
[27/12/2018 04:30],35.0,1.35,1.35,1.35,0.0,,,
[27/12/2018 05:00],35.0,1.35,1.35,1.35,0.0,,,
[27/12/2018 05:30],35.0,1.35,1.35,1.35,0.0,,,
[27/12/2018 06:00],25.0,1.28,1.28,1.28,0.0,,,
[27/12/2018 06:30],25.0,1.28,1.28,1.28,0.0,,,
[27/12/2018 07:00],137.0,1.94,1.94,1.94,0.0,,,
[27/12/2018 07:30],137.0,1.94,1.94,1.94,0.0,,,
[27/12/2018 08:00],137.0,1.94,1.94,1.94,0.0,,,
[27/12/2018 08:30],137.0,1.94,1.94,1.94,0.0,,,
[27/12/2018 09:00],137.0,1.94,1.94,1.94,0.0,,,
[27/12/2018 09:30],137.0,1.94,1.94,1.94,0.0,,,
[27/12/2018 10:00],137.0,1.94,1.94,1.94,0.0,,,
[27/12/2018 10:30],137.0,1.94,1.94,1.94,0.0,,,
[27/12/2018 11:00],137.0,1.94,1.94,1.94,0.0,,,
[27/12/2018 11:30],137.0,1.94,1.94,1.94,0.0,,,
[27/12/2018 12:00],137.0,1.94,1.94,1.94,0.0,,,
[27/12/2018 12:30],137.0,1.94,1.94,1.94,0.0,,,
[27/12/2018 13:00],137.0,1.94,1.94,1.94,0.0,,,
[27/12/2018 13:30],137.0,1.94,1.94,1.94,0.0,,,
[27/12/2018 14:00],137.0,1.94,1.94,1.94,0.0,,,
[27/12/2018 14:30],137.0,1.94,1.94,1.94,0.0,,,
[27/12/2018 15:00],5.0,1.00,1.00,1.00,0.0,,,
[27/12/2018 15:30],5.0,1.00,1.00,1.00,0.0,,,
[27/12/2018 16:00],5.0,1.00,1.00,1.00,0.0,,,
[27/12/2018 16:30],5.0,1.00,1.00,1.00,0.0,,,
[27/12/2018 17:00],5.0,1.00,1.00,1.00,0.0,,,
[27/12/2018 17:30],5.0,1.00,1.00,1.00,0.0,,,
[27/12/2018 18:00],5.0,1.00,1.00,1.00,0.0,,,
[27/12/2018 18:30],5.0,1.00,1.00,1.00,0.0,,,
[27/12/2018 19:00],100.0,1.95,1.95,1.95,0.0,,,
[27/12/2018 19:30],100.0,1.95,1.95,1.95,0.0,,,
[27/12/2018 20:00],100.0,1.95,1.95,1.95,0.0,,,
[27/12/2018 20:30],110.0,1.93,1.93,1.93,0.0,,,
[27/12/2018 21:00],110.0,1.93,1.93,1.93,0.0,,,
[27/12/2018 21:30],110.0,1.93,1.93,1.93,0.0,,,
[27/12/2018 22:00],110.0,1.93,1.93,1.93,0.0,,,
[27/12/2018 22:30],110.0,1.93,1.93,1.93,0.0,,,
[27/12/2018 23:00],53.0,1.28,1.28,1.28,0.0,,,
[27/12/2018 23:30],53.0,1.28,1.28,1.28,0.0,,,
[28/12/2018 00:00],53.0,1.28,1.28,1.28,0.0,,,
[28/12/2018 00:30],53.0,1.28,1.28,1.28,0.0,,,
[28/12/2018 01:00],53.0,1.28,1.28,1.28,0.0,,,
[28/12/2018 01:30],53.0,1.28,1.28,1.28,0.0,,,
[28/12/2018 02:00],53.0,1.28,1.28,1.28,0.0,,,
[28/12/2018 02:30],53.0,1.28,1.28,1.28,0.0,,,
[28/12/2018 03:00],35.0,1.35,1.35,1.35,0.0,,,
[28/12/2018 03:30],35.0,1.35,1.35,1.35,0.0,,,
[28/12/2018 04:00],35.0,1.35,1.35,1.35,0.0,,,
[28/12/2018 04:30],35.0,1.35,1.35,1.35,0.0,,,
[28/12/2018 05:00],35.0,1.35,1.35,1.35,0.0,,,
[28/12/2018 05:30],35.0,1.35,1.35,1.35,0.0,,,
[28/12/2018 06:00],25.0,1.28,1.28,1.28,0.0,,,
[28/12/2018 06:30],25.0,1.28,1.28,1.28,0.0,,,
[28/12/2018 07:00],137.0,1.94,1.94,1.94,0.0,,,
[28/12/2018 07:30],137.0,1.94,1.94,1.94,0.0,,,
[28/12/2018 08:00],137.0,1.94,1.94,1.94,0.0,,,
[28/12/2018 08:30],137.0,1.94,1.94,1.94,0.0,,,
[28/12/2018 09:00],137.0,1.94,1.94,1.94,0.0,,,
[28/12/2018 09:30],137.0,1.94,1.94,1.94,0.0,,,
[28/12/2018 10:00],137.0,1.94,1.94,1.94,0.0,,,
[28/12/2018 10:30],137.0,1.94,1.94,1.94,0.0,,,
[28/12/2018 11:00],137.0,1.94,1.94,1.94,0.0,,,
[28/12/2018 11:30],137.0,1.94,1.94,1.94,0.0,,,
[28/12/2018 12:00],137.0,1.94,1.94,1.94,0.0,,,
[28/12/2018 12:30],137.0,1.94,1.94,1.94,0.0,,,
[28/12/2018 13:00],137.0,1.94,1.94,1.94,0.0,,,
[28/12/2018 13:30],137.0,1.94,1.94,1.94,0.0,,,
[28/12/2018 14:00],137.0,1.94,1.94,1.94,0.0,,,
[28/12/2018 14:30],137.0,1.94,1.94,1.94,0.0,,,
[28/12/2018 15:00],5.0,1.00,1.00,1.00,0.0,,,
[28/12/2018 15:30],5.0,1.00,1.00,1.00,0.0,,,
[28/12/2018 16:00],5.0,1.00,1.00,1.00,0.0,,,
[28/12/2018 16:30],5.0,1.00,1.00,1.00,0.0,,,
[28/12/2018 17:00],5.0,1.00,1.00,1.00,0.0,,,
[28/12/2018 17:30],5.0,1.00,1.00,1.00,0.0,,,
[28/12/2018 18:00],5.0,1.00,1.00,1.00,0.0,,,
[28/12/2018 18:30],5.0,1.00,1.00,1.00,0.0,,,
[28/12/2018 19:00],100.0,1.95,1.95,1.95,0.0,,,
[28/12/2018 19:30],100.0,1.95,1.95,1.95,0.0,,,
[28/12/2018 20:00],100.0,1.95,1.95,1.95,0.0,,,
[28/12/2018 20:30],110.0,1.93,1.93,1.93,0.0,,,
[28/12/2018 21:00],110.0,1.93,1.93,1.93,0.0,,,
[28/12/2018 21:30],110.0,1.93,1.93,1.93,0.0,,,
[28/12/2018 22:00],110.0,1.93,1.93,1.93,0.0,,,
[28/12/2018 22:30],110.0,1.93,1.93,1.93,0.0,,,
[28/12/2018 23:00],53.0,1.28,1.28,1.28,0.0,,,
[28/12/2018 23:30],53.0,1.28,1.28,1.28,0.0,,,
[29/12/2018 00:00],53.0,1.28,1.28,1.28,0.0,,,
[29/12/2018 00:30],53.0,1.28,1.28,1.28,0.0,,,
[29/12/2018 01:00],53.0,1.28,1.28,1.28,0.0,,,
[29/12/2018 01:30],53.0,1.28,1.28,1.28,0.0,,,
[29/12/2018 02:00],53.0,1.28,1.28,1.28,0.0,,,
[29/12/2018 02:30],53.0,1.28,1.28,1.28,0.0,,,
[29/12/2018 03:00],35.0,1.35,1.35,1.35,0.0,,,
[29/12/2018 03:30],35.0,1.35,1.35,1.35,0.0,,,
[29/12/2018 04:00],35.0,1.35,1.35,1.35,0.0,,,
[29/12/2018 04:30],35.0,1.35,1.35,1.35,0.0,,,
[29/12/2018 05:00],35.0,1.35,1.35,1.35,0.0,,,
[29/12/2018 05:30],35.0,1.35,1.35,1.35,0.0,,,
[29/12/2018 06:00],25.0,1.28,1.28,1.28,0.0,,,
[29/12/2018 06:30],25.0,1.28,1.28,1.28,0.0,,,
[29/12/2018 07:00],137.0,1.94,1.94,1.94,0.0,,,
[29/12/2018 07:30],137.0,1.94,1.94,1.94,0.0,,,
[29/12/2018 08:00],137.0,1.94,1.94,1.94,0.0,,,
[29/12/2018 08:30],137.0,1.94,1.94,1.94,0.0,,,
[29/12/2018 09:00],137.0,1.94,1.94,1.94,0.0,,,
[29/12/2018 09:30],137.0,1.94,1.94,1.94,0.0,,,
[29/12/2018 10:00],137.0,1.94,1.94,1.94,0.0,,,
[29/12/2018 10:30],137.0,1.94,1.94,1.94,0.0,,,
[29/12/2018 11:00],137.0,1.94,1.94,1.94,0.0,,,
[29/12/2018 11:30],137.0,1.94,1.94,1.94,0.0,,,
[29/12/2018 12:00],137.0,1.94,1.94,1.94,0.0,,,
[29/12/2018 12:30],137.0,1.94,1.94,1.94,0.0,,,
[29/12/2018 13:00],137.0,1.94,1.94,1.94,0.0,,,
[29/12/2018 13:30],137.0,1.94,1.94,1.94,0.0,,,
[29/12/2018 14:00],137.0,1.94,1.94,1.94,0.0,,,
[29/12/2018 14:30],137.0,1.94,1.94,1.94,0.0,,,
[29/12/2018 15:00],28.0,2.15,2.15,2.15,0.0,,,
[29/12/2018 15:30],28.0,2.15,2.15,2.15,0.0,,,
[29/12/2018 16:00],28.0,2.15,2.15,2.15,0.0,,,
[29/12/2018 16:30],28.0,2.15,2.15,2.15,0.0,,,
[29/12/2018 17:00],28.0,2.15,2.15,2.15,0.0,,,
[29/12/2018 17:30],28.0,2.15,2.15,2.15,0.0,,,
[29/12/2018 18:00],28.0,2.15,2.15,2.15,0.0,,,
[29/12/2018 18:30],28.0,2.15,2.15,2.15,0.0,,,
[29/12/2018 19:00],100.0,1.95,1.95,1.95,0.0,,,
[29/12/2018 19:30],100.0,1.95,1.95,1.95,0.0,,,
[29/12/2018 20:00],100.0,1.95,1.95,1.95,0.0,,,
[29/12/2018 20:30],110.0,1.93,1.93,1.93,0.0,,,
[29/12/2018 21:00],110.0,1.93,1.93,1.93,0.0,,,
[29/12/2018 21:30],110.0,1.93,1.93,1.93,0.0,,,
[29/12/2018 22:00],110.0,1.93,1.93,1.93,0.0,,,
[29/12/2018 22:30],110.0,1.93,1.93,1.93,0.0,,,
[29/12/2018 23:00],53.0,1.28,1.28,1.28,0.0,,,
[29/12/2018 23:30],53.0,1.28,1.28,1.28,0.0,,,
[30/12/2018 00:00],53.0,1.28,1.28,1.28,0.0,,,
[30/12/2018 00:30],53.0,1.28,1.28,1.28,0.0,,,
[30/12/2018 01:00],53.0,1.28,1.28,1.28,0.0,,,
[30/12/2018 01:30],53.0,1.28,1.28,1.28,0.0,,,
[30/12/2018 02:00],53.0,1.28,1.28,1.28,0.0,,,
[30/12/2018 02:30],53.0,1.28,1.28,1.28,0.0,,,
[30/12/2018 03:00],35.0,1.35,1.35,1.35,0.0,,,
[30/12/2018 03:30],35.0,1.35,1.35,1.35,0.0,,,
[30/12/2018 04:00],35.0,1.35,1.35,1.35,0.0,,,
[30/12/2018 04:30],35.0,1.35,1.35,1.35,0.0,,,
[30/12/2018 05:00],35.0,1.35,1.35,1.35,0.0,,,
[30/12/2018 05:30],35.0,1.35,1.35,1.35,0.0,,,
[30/12/2018 06:00],35.0,1.35,1.35,1.35,0.0,,,
[30/12/2018 06:30],35.0,1.35,1.35,1.35,0.0,,,
[30/12/2018 07:00],147.0,1.92,1.92,1.92,0.0,,,
[30/12/2018 07:30],147.0,1.92,1.92,1.92,0.0,,,
[30/12/2018 08:00],147.0,1.92,1.92,1.92,0.0,,,
[30/12/2018 08:30],147.0,1.92,1.92,1.92,0.0,,,
[30/12/2018 09:00],147.0,1.92,1.92,1.92,0.0,,,
[30/12/2018 09:30],147.0,1.92,1.92,1.92,0.0,,,
[30/12/2018 10:00],147.0,1.92,1.92,1.92,0.0,,,
[30/12/2018 10:30],137.0,1.94,1.94,1.94,0.0,,,
[30/12/2018 11:00],137.0,1.94,1.94,1.94,0.0,,,
[30/12/2018 11:30],137.0,1.94,1.94,1.94,0.0,,,
[30/12/2018 12:00],137.0,1.94,1.94,1.94,0.0,,,
[30/12/2018 12:30],137.0,1.94,1.94,1.94,0.0,,,
[30/12/2018 13:00],137.0,1.94,1.94,1.94,0.0,,,
[30/12/2018 13:30],137.0,1.94,1.94,1.94,0.0,,,
[30/12/2018 14:00],137.0,1.94,1.94,1.94,0.0,,,
[30/12/2018 14:30],137.0,1.94,1.94,1.94,0.0,,,
[30/12/2018 15:00],28.0,2.15,2.15,2.15,0.0,,,
[30/12/2018 15:30],28.0,2.15,2.15,2.15,0.0,,,
[30/12/2018 16:00],28.0,2.15,2.15,2.15,0.0,,,
[30/12/2018 16:30],28.0,2.15,2.15,2.15,0.0,,,
[30/12/2018 17:00],28.0,2.15,2.15,2.15,0.0,,,
[30/12/2018 17:30],28.0,2.15,2.15,2.15,0.0,,,
[30/12/2018 18:00],28.0,2.15,2.15,2.15,0.0,,,
[30/12/2018 18:30],28.0,2.15,2.15,2.15,0.0,,,
[30/12/2018 19:00],100.0,1.95,1.95,1.95,0.0,,,
[30/12/2018 19:30],110.0,1.93,1.93,1.93,0.0,,,
[30/12/2018 20:00],110.0,1.93,1.93,1.93,0.0,,,
[30/12/2018 20:30],110.0,1.93,1.93,1.93,0.0,,,
[30/12/2018 21:00],110.0,1.93,1.93,1.93,0.0,,,
[30/12/2018 21:30],110.0,1.93,1.93,1.93,0.0,,,
[30/12/2018 22:00],110.0,1.93,1.93,1.93,0.0,,,
[30/12/2018 22:30],110.0,1.93,1.93,1.93,0.0,,,
[30/12/2018 23:00],53.0,1.28,1.28,1.28,0.0,,,
[30/12/2018 23:30],53.0,1.28,1.28,1.28,0.0,,,
[31/12/2018 00:00],86.0,1.33,1.33,1.33,0.0,,,
[31/12/2018 00:30],86.0,1.33,1.33,1.33,0.0,,,
[31/12/2018 01:00],86.0,1.33,1.33,1.33,0.0,,,
[31/12/2018 01:30],86.0,1.33,1.33,1.33,0.0,,,
[31/12/2018 02:00],86.0,1.33,1.33,1.33,0.0,,,
[31/12/2018 02:30],86.0,1.33,1.33,1.33,0.0,,,
[31/12/2018 03:00],45.0,1.44,1.44,1.44,0.0,,,
[31/12/2018 03:30],45.0,1.44,1.44,1.44,0.0,,,
[31/12/2018 04:00],45.0,1.44,1.44,1.44,0.0,,,
[31/12/2018 04:30],45.0,1.44,1.44,1.44,0.0,,,
[31/12/2018 05:00],45.0,1.44,1.44,1.44,0.0,,,
[31/12/2018 05:30],45.0,1.44,1.44,1.44,0.0,,,
[31/12/2018 06:00],42.0,1.35,1.35,1.35,0.0,,,
[31/12/2018 06:30],42.0,1.35,1.35,1.35,0.0,,,
[31/12/2018 07:00],154.0,1.88,1.88,1.88,0.0,,,
[31/12/2018 07:30],154.0,1.88,1.88,1.88,0.0,,,
[31/12/2018 08:00],154.0,1.88,1.88,1.88,0.0,,,
[31/12/2018 08:30],154.0,1.88,1.88,1.88,0.0,,,
[31/12/2018 09:00],154.0,1.88,1.88,1.88,0.0,,,
[31/12/2018 09:30],154.0,1.88,1.88,1.88,0.0,,,
[31/12/2018 10:00],154.0,1.88,1.88,1.88,0.0,,,
[31/12/2018 10:30],154.0,1.88,1.88,1.88,0.0,,,
[31/12/2018 11:00],154.0,1.88,1.88,1.88,0.0,,,
[31/12/2018 11:30],154.0,1.88,1.88,1.88,0.0,,,
[31/12/2018 12:00],154.0,1.88,1.88,1.88,0.0,,,
[31/12/2018 12:30],154.0,1.88,1.88,1.88,0.0,,,
[31/12/2018 13:00],154.0,1.88,1.88,1.88,0.0,,,
[31/12/2018 13:30],154.0,1.88,1.88,1.88,0.0,,,
[31/12/2018 14:00],154.0,1.88,1.88,1.88,0.0,,,
