Date (WET),Static FFR Accepted Volume,Static FFR Max of average Accepted Price,Static FFR Min of average Accepted  Price,Static FFR Average Accepted  Price,LFS Accepted Volume,LFS Max of average Accepted Price,LFS Min of average Accepted  Price,LFS Average Accepted  Price
,MW,GBP/MW/h,GBP/MW/h,GBP/MW/h,MW,GBP/MW/h,GBP/MW/h,GBP/MW/h
[20/10/2018 18:30],302.0,2.43,2.43,2.43,0.0,,,
[20/10/2018 19:00],242.0,2.35,2.35,2.35,0.0,,,
[20/10/2018 19:30],242.0,2.35,2.35,2.35,0.0,,,
[20/10/2018 20:00],242.0,2.35,2.35,2.35,0.0,,,
[20/10/2018 20:30],252.0,2.31,2.31,2.31,0.0,,,
[20/10/2018 21:00],252.0,2.31,2.31,2.31,0.0,,,
[20/10/2018 21:30],252.0,2.31,2.31,2.31,0.0,,,
[20/10/2018 22:00],252.0,2.31,2.31,2.31,0.0,,,
[20/10/2018 22:30],252.0,2.31,2.31,2.31,0.0,,,
[20/10/2018 23:00],192.0,1.78,1.78,1.78,0.0,,,
[20/10/2018 23:30],192.0,1.78,1.78,1.78,0.0,,,
[21/10/2018 00:00],192.0,1.78,1.78,1.78,0.0,,,
[21/10/2018 00:30],192.0,1.78,1.78,1.78,0.0,,,
[21/10/2018 01:00],192.0,1.78,1.78,1.78,0.0,,,
[21/10/2018 01:30],192.0,1.78,1.78,1.78,0.0,,,
[21/10/2018 02:00],192.0,1.78,1.78,1.78,0.0,,,
[21/10/2018 02:30],192.0,1.78,1.78,1.78,0.0,,,
[21/10/2018 03:00],191.0,1.78,1.78,1.78,0.0,,,
[21/10/2018 03:30],191.0,1.78,1.78,1.78,0.0,,,
[21/10/2018 04:00],191.0,1.78,1.78,1.78,0.0,,,
[21/10/2018 04:30],191.0,1.78,1.78,1.78,0.0,,,
[21/10/2018 05:00],191.0,1.78,1.78,1.78,0.0,,,
[21/10/2018 05:30],191.0,1.78,1.78,1.78,0.0,,,
[21/10/2018 06:00],191.0,1.78,1.78,1.78,0.0,,,
[21/10/2018 06:30],191.0,1.78,1.78,1.78,0.0,,,
[21/10/2018 07:00],304.0,2.03,2.03,2.03,0.0,,,
[21/10/2018 07:30],304.0,2.03,2.03,2.03,0.0,,,
[21/10/2018 08:00],304.0,2.03,2.03,2.03,0.0,,,
[21/10/2018 08:30],304.0,2.03,2.03,2.03,0.0,,,
[21/10/2018 09:00],304.0,2.03,2.03,2.03,0.0,,,
[21/10/2018 09:30],304.0,2.03,2.03,2.03,0.0,,,
