Date (WET),Capacity,Capacity Inferred (EnAppSys),Sheffield Solar Outturn (Max),Sheffield Solar Outturn,National Grid Forecast (Max),Sheffield Solar Upper Bound,Sheffield Solar Lower Bound,National Grid Forecast,Solar Forecast (EnAppSys),Solar D-1 Forecast (EnAppSys),Solar P10 Forecast (EnAppSys),Solar P90 Forecast (EnAppSys)
,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW
[22/10/2018 15:00],12960.0,11620.6,4490.0,4490.0,4520.0,4530.0,4440.0,4520.0,,,,
[22/10/2018 15:30],12960.0,11620.6,3550.0,3550.0,3580.0,3600.0,3510.0,3580.0,,,,
[22/10/2018 16:00],12960.0,11620.6,2610.0,2610.0,2630.0,2650.0,2570.0,2630.0,,,,
[22/10/2018 16:30],12960.0,11620.6,1600.0,1600.0,1610.0,1630.0,1570.0,1610.0,,,,
[22/10/2018 17:00],12960.0,11620.6,578.0,578.0,583.0,591.0,565.0,583.0,,,,
[22/10/2018 17:30],12960.0,11620.6,55.2,55.2,56.0,57.2,53.2,56.0,,,,
[22/10/2018 18:00],12960.0,11620.6,0.6,0.6,1.0,0.7,0.5,1.0,,,,
[22/10/2018 18:30],12960.0,11620.6,0.1,0.1,0.0,0.1,0.0,0.0,,,,
[22/10/2018 19:00],12960.0,11620.6,0.0,0.0,0.0,0.1,0.0,0.0,,,,
[22/10/2018 19:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[22/10/2018 20:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[22/10/2018 20:30],12960.0,11620.6,0.0,0.0,0.0,0.1,0.0,0.0,,,,
[22/10/2018 21:00],12960.0,11620.6,0.0,0.0,0.0,0.1,0.0,0.0,,,,
[22/10/2018 21:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[22/10/2018 22:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[22/10/2018 22:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[22/10/2018 23:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[22/10/2018 23:30],12960.0,11620.6,0.0,0.0,0.0,0.1,0.0,0.0,,,,
[23/10/2018 00:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[23/10/2018 00:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[23/10/2018 01:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[23/10/2018 01:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[23/10/2018 02:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[23/10/2018 02:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[23/10/2018 03:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[23/10/2018 03:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[23/10/2018 04:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[23/10/2018 04:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[23/10/2018 05:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[23/10/2018 05:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[23/10/2018 06:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
