,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
[17-02],33671,42616,40764,42164,44034,38758,39869,41803,43835,42074,39436,34807,39520,38296,39134,35590,32255,27387,31462,30915
[18-02],39137,43099,40797,40633,40422,37727,45534,41841,44412,41341,35192,40122,39306,37541,37935,30712,32638,32482,32528,29745
[19-02],39824,43054,40695,36898,40154,43370,46333,41452,43069,38000,35908,40919,39008,38461,36207,30073,36635,33408,33849,29888
[20-02],39658,42561,41073,36776,45882,43470,46335,40680,39321,36947,41191,41492,37150,38584,31634,32410,34474,32401,32515,26009
[21-02],40769,40622,37184,42744,46971,42975,44352,35886,38417,42413,40209,42563,36784,34617,30073,33490,36942,32185,31907,27815
[22-02],38680,36161,36144,43641,48000,43459,42487,35022,43954,42209,39914,42970,32984,34668,35688,33139,37101,31604,27619,31612
[23-02],35092,34426,42260,44079,48376,42107,38084,40500,44386,41126,38502,39185,31925,37733,36963,34085,36419,28260,28385,28121
[24-02],34530,39588,43154,44441,46947,37912,36899,41006,43416,39469,37591,38113,36915,38109,38156,34570,31879,28459,33193,28070
[25-02],39631,39669,42556,43401,41797,37024,43008,40721,42738,38540,34474,42746,37262,39232,38715,30545,31700,32155,33689,29850
[26-02],39438,39517,43121,38592,40932,42320,42373,40618,41401,35289,34005,43134,37669,37653,38344,29160,38617,32172,34095,30448
[27-02],39966,39380,42773,37513,46798,43680,42883,39091,37685,35220,38892,42337,37883,37139,34408,35550,39830,32148,34279,27787
[28-02],39905,38879,38636,43377,47010,42910,43476,35777,36907,41880,38845,41748,38916,33019,33371,36221,39223,34192,34937,27909
[01-03],39253,34669,37250,43639,48003,43064,43363,34983,42101,42437,38579,40924,34837,31164,37401,36334,40131,33733,28126,32335
[02-03],35238,33007,42586,44026,48121,42754,37615,40092,42489,42415,38415,36995,33355,37103,35894,33940,39589,27637,27589,33149
[03-03],33508,39296,42676,43991,47428,37962,36045,41016,42571,43067,38370,36251,38600,37699,36688,36203,36583,27763,33273,34317
[04-03],38958,39594,42415,43283,42491,37955,43000,41824,42553,41753,34095,40226,38785,37742,37242,30966,35156,31444,34165,33735
[05-03],38847,39418,41150,38660,40887,42373,44250,42261,41576,37933,34612,40200,38457,38016,36403,30879,38120,32943,35841,33495
[06-03],39340,38810,40311,37226,46386,42072,44327,40982,37358,36300,39646,40033,37657,35170,33455,35174,37359,32997,36315,30629
[07-03],38142,39082,35767,43040,47437,42214,42918,35556,36791,41264,40278,39859,36035,30436,33425,35160,36767,32076,34033,29754
[08-03],37562,35252,34903,42674,46057,41959,41494,34653,42503,41101,39506,39380,31804,31279,37520,33925,36018,32997,28907,32607
[09-03],33710,32983,40495,42254,45022,40942,37903,40169,42648,40224,39636,36032,30827,37099,38899,32376,36501,27595,26543,30914
[10-03],32908,38326,41172,41742,44770,36773,36733,41126,42435,39609,38481,35368,36123,36482,38322,34155,31372,28237,31920,30556
[11-03],38313,38734,41861,40877,41213,35365,43405,40889,42338,39691,34210,42255,37340,36773,38287,30296,30922,31293,30712,28319
[12-03],38762,39466,42425,36726,41196,40758,42884,39803,41239,36112,32767,43235,37485,36133,36388,29512,36071,32909,30076,28282
[13-03],39495,39807,42461,35839,46913,41335,42907,39296,36350,35071,38094,42341,37335,36869,32275,32077,35623,31437,29999,26447
[14-03],40651,38546,36251,41085,47476,41361,43129,34180,34139,40349,39024,42031,35918,33773,30716,31930,33167,30840,32431,26638
[15-03],40280,34142,34969,41081,46175,41519,41904,33645,39190,40555,38975,40323,30932,33323,34573,32120,33736,30304,28401,30927
[16-03],33988,32747,39494,39722,47726,40693,37832,38469,40142,40571,39005,36700,29544,38855,36531,32347,32579,28858,27423,30259
[17-03],32333,37914,38562,38620,46938,36472,37302,38813,39207,40594,37942,35811,34885,38557,35732,31583,32029,27145,30727,31195
[18-03],38559,38655,38051,37310,42309,35767,42907,38828,38197,39760,34373,40663,35140,37825,35574,28766,33771,33681,30508,31493
[19-03],38746,38377,38796,32876,40252,43089,43773,38790,37654,35602,33340,41152,34701,38159,37050,26872,37092,33313,32215,30442
[20-03],38354,38436,38770,32179,45983,44373,43346,37776,34293,34087,37963,41807,35084,35995,33141,31760,37665,32095,33191,28205
[21-03],37395,37575,34402,37385,46881,44633,42857,33909,33195,38500,37693,41456,34684,32186,31641,31776,35111,32146,30883,27630
[22-03],36585,33118,32951,37872,46355,44582,38122,32304,37823,38283,37699,41242,32048,31460,35223,34869,34407,30980,26028,30176
[23-03],32353,31510,38820,36959,45515,43180,37798,37865,39541,37862,37169,38395,31693,36165,35726,33424,32468,28378,25973,29416
[24-03],31197,36619,39884,36559,44291,38962,37039,39161,38990,37434,36399,37537,36234,36823,36194,32713,32057,25413,28678,29122
[25-03],36770,36971,40042,32062,38498,34660,37939,38729,38922,36831,32255,42449,37741,36825,34712,27953,27178,30035,26768,27939
[26-03],36752,36612,40266,30851,34761,41219,42718,38729,37199,33730,27663,43281,38088,35418,28153,25438,33391,31674,26775,27158
[27-03],36431,36395,39210,28624,42013,41243,43302,37983,33433,28942,35593,42956,37755,35355,27996,32500,33657,32169,26854,24808
[28-03],35399,36083,34808,30577,42188,41103,42358,35173,28994,37523,35657,41778,36854,30564,23854,33019,35158,30863,25711,19868
[29-03],31071,31435,32069,36499,42460,41957,41692,32173,38883,38353,35322,37432,31438,25705,28361,32686,35071,29544,23591,25310
[30-03],29347,29096,37578,38315,42118,41668,37701,38685,39050,38164,34911,36076,26830,34137,33316,30255,31823,27197,20976,26683
[31-03],28107,35336,37471,39374,40535,35922,33726,38564,39739,37053,34469,32784,35366,33578,33732,29101,30403,24173,27974,26949
[01-04],28596,40335,36968,39997,35703,34325,40496,37925,38981,36050,31713,35181,35131,34660,33370,27498,30010,30290,28490,26906
[02-04],33447,37586,36794,34889,35136,39318,40153,37726,35082,31975,30729,38963,35099,35259,32224,26501,30474,32940,28510,25640
[03-04],34206,37187,35719,33986,40796,40832,40599,37120,33548,30967,36095,39832,35638,32509,29198,29534,32385,32973,25468,25592
[04-04],34270,35484,32102,39919,42166,40548,40187,32404,31338,36283,36833,40385,35137,30665,28624,31099,33079,32983,26476,22349
[05-04],33631,30946,30968,40668,42212,39017,38850,31605,31750,36549,37705,39234,30902,28880,33265,30224,31458,30812,23293,23221
[06-04],29885,30498,36864,40931,41845,34166,35810,36601,35612,35598,37226,35154,29077,28833,32060,30406,30036,28461,20561,28514
[07-04],29275,35992,37957,41481,41285,32450,36536,36153,37342,35669,33645,33925,34764,32152,31226,30105,29673,27660,22828,31493
[08-04],34931,37051,37905,41747,36901,30599,42241,35716,36562,34602,32059,38251,33628,32517,33161,25750,29461,30569,24049,28185
[09-04],36048,37711,37254,37736,36450,32049,42372,35810,35611,30352,30330,39189,34104,32145,33013,23588,33508,31167,24161,29478
[10-04],35886,38590,32389,35098,41938,36602,41801,32266,31334,29251,31623,38998,34232,31011,29572,28696,33329,30476,23444,27733
[11-04],36126,36768,31011,39846,42840,37405,41370,30993,30282,34224,34681,39082,33269,26634,27819,28398,33600,31122,21891,27067
