Date (WET),DEMAND (INDO),DEMAND (ITSDO),DEMAND (NATIONAL GRID),DEMAND (ENTSOE),DEMAND FORECAST (ENTSOE),DEMAND FORECAST (NDF),DEMAND FORECAST (TSDF)
,MW,MW,MW,MW,MW,MW,MW
[20/10/2018 08:30],29936,30448,,35147,31962,29800,30300
[20/10/2018 09:00],30331,30843,,37217,33545,30300,30800
[20/10/2018 09:30],29974,30485,,37217,33545,30180,30680
[20/10/2018 10:00],29526,30036,,36503,33912,29996,30496
[20/10/2018 10:30],28852,29362,,36503,33912,29500,30000
[20/10/2018 11:00],28360,28874,,36638,34211,28912,29412
[20/10/2018 11:30],27578,28093,,36638,34211,28574,29074
[20/10/2018 12:00],26923,27459,,35880,34020,28387,28905
[20/10/2018 12:30],26191,26767,,35880,34020,27210,27783
[20/10/2018 13:00],25609,26450,,34742,33128,26615,27441
[20/10/2018 13:30],25068,25899,,34742,33128,26000,26817
[20/10/2018 14:00],24785,25552,,33567,32566,26041,26797
[20/10/2018 14:30],24927,25685,,33567,32566,26317,27068
[20/10/2018 15:00],25352,26077,,33222,32327,26628,27345
[20/10/2018 15:30],26149,26892,,33222,32327,27294,28029
[20/10/2018 16:00],27467,28024,,33820,33395,28475,29020
[20/10/2018 16:30],29067,29608,,33820,33395,29964,30496
[20/10/2018 17:00],30850,31430,,35975,35191,31609,32175
[20/10/2018 17:30],32021,32612,,35975,35191,32900,33481
[20/10/2018 18:00],33544,34274,,37978,37038,34765,35488
[20/10/2018 18:30],34324,35066,,37978,37038,35000,35738
[20/10/2018 19:00],33586,34502,,37022,35194,34236,35149
[20/10/2018 19:30],32563,33475,,37022,35194,33099,33998
[20/10/2018 20:00],31487,32215,,35166,32837,32102,32812
[20/10/2018 20:30],30602,31274,,35166,32837,30585,31245
[20/10/2018 21:00],29611,30210,,33182,30325,29502,30091
[20/10/2018 21:30],28435,29142,,33182,30325,28350,29059
[20/10/2018 22:00],27190,28060,,30193,27635,27176,28033
[20/10/2018 22:30],25970,26878,,30193,27635,25921,26809
[20/10/2018 23:00],24520,25349,,27457,24554,24507,25309
[20/10/2018 23:30],23226,23918,,27457,24554,23100,23752
[21/10/2018 00:00],22135,22876,,25219,22498,21600,22317
[21/10/2018 00:30],21478,22407,,25219,22498,20981,21888
[21/10/2018 01:00],21246,22414,,24220,22547,20800,21956
[21/10/2018 01:30],21352,22523,,24220,22547,21200,22356
[21/10/2018 02:00],21153,22546,,23500,21981,21051,22503
[21/10/2018 02:30],20608,22338,,23500,21981,20706,22433
[21/10/2018 03:00],20159,21878,,22408,21244,20271,21997
[21/10/2018 03:30],19834,21548,,22408,21244,20109,21830
[21/10/2018 04:00],19546,21246,,22017,20739,19766,21483
[21/10/2018 04:30],19454,21190,,22017,20739,19550,21260
[21/10/2018 05:00],19646,21498,,22284,20909,19500,21358
[21/10/2018 05:30],19793,21641,,22284,20909,19515,21367
[21/10/2018 06:00],20647,22421,,23790,22631,20361,22136
[21/10/2018 06:30],21474,23092,,23790,22631,21119,22738
[21/10/2018 07:00],22689,23584,,26733,25189,22495,23345
[21/10/2018 07:30],23596,24112,,26733,25189,23455,23955
[21/10/2018 08:00],25081,25592,,30152,28342,24924,25424
[21/10/2018 08:30],25928,26439,,30152,28342,26100,26600
[21/10/2018 09:00],26518,27028,,33340,30552,26953,27453
[21/10/2018 09:30],26644,27159,,33340,30552,27438,27938
[21/10/2018 10:00],26597,27117,,34573,31893,27700,28200
[21/10/2018 10:30],26384,26901,,34573,31893,27700,28200
[21/10/2018 11:00],26155,26673,,35026,32550,27673,28173
[21/10/2018 11:30],25786,26305,,35026,32550,27443,27943
[21/10/2018 12:00],25677,26197,,35040,33131,26320,26820
[21/10/2018 12:30],25479,25991,,35040,33131,26164,26664
[21/10/2018 13:00],25145,25801,,34416,32862,26201,26851
[21/10/2018 13:30],24870,25530,,34416,32862,26000,26655
[21/10/2018 14:00],24969,25627,,34140,32186,26179,26834
[21/10/2018 14:30],25254,25913,,34140,32186,26185,26840
[21/10/2018 15:00],26273,26932,,34843,31793,26249,26904
[21/10/2018 15:30],27405,28069,,34843,31793,26887,27542
[21/10/2018 16:00],28843,29506,,36205,33025,28047,28550
[21/10/2018 16:30],30283,30943,,36205,33025,29479,29979
[21/10/2018 17:00],31468,32128,,37641,34787,30611,31111
[21/10/2018 17:30],32455,33119,,37641,34787,32000,32500
[21/10/2018 18:00],33661,34316,,39085,37038,34097,34597
[21/10/2018 18:30],33995,34650,,39085,37038,34800,35300
[21/10/2018 19:00],33229,34045,,37700,34784,33917,34582
[21/10/2018 19:30],32269,33252,,37700,34784,32433,33248
[21/10/2018 20:00],31430,32334,,35570,32416,31550,32283
[21/10/2018 20:30],30464,31439,,35570,32416,30381,31186
[21/10/2018 21:00],29275,30106,,32990,29744,28957,29668
[21/10/2018 21:30],27755,28555,,32990,29744,27586,28380
[21/10/2018 22:00],26270,27318,,29423,26748,26446,27487
[21/10/2018 22:30],24539,25712,,29423,26748,24951,26095
[21/10/2018 23:00],22902,24109,,25331,23416,23165,24342
[21/10/2018 23:30],21738,23297,,25331,23416,21700,23236
[22/10/2018 00:00],20788,22701,,22908,22015,20700,22505
[22/10/2018 00:30],20160,22214,,22908,22015,20100,22044
[22/10/2018 01:00],20130,22353,,22535,22036,20100,22173
[22/10/2018 01:30],20621,22680,,22535,22036,20300,22332
[22/10/2018 02:00],20494,22361,,22802,21765,20243,22085
[22/10/2018 02:30],20284,22075,,22802,21765,20028,21803
[22/10/2018 03:00],20087,21971,,22419,21426,19795,21554
[22/10/2018 03:30],19919,21894,,22419,21426,19709,21462
[22/10/2018 04:00],19895,21782,,22452,21539,19800,21422
[22/10/2018 04:30],19958,21897,,22452,21539,20074,21682
[22/10/2018 05:00],20898,22335,,24063,23880,20969,22361
[22/10/2018 05:30],22469,23801,,24063,23880,22168,23494
[22/10/2018 06:00],25662,26412,,29992,30191,24849,25696
[22/10/2018 06:30],28652,29292,,29992,30191,27889,28519
[22/10/2018 07:00],32187,33115,,36249,35518,31259,32180
[22/10/2018 07:30],34145,35231,,36249,35518,33277,34352
[22/10/2018 08:00],35326,36692,,39858,36748,34455,35807
[22/10/2018 08:30],35049,36507,,39858,36748,34800,36240
[22/10/2018 09:00],34537,35998,,40252,37596,34000,35440
[22/10/2018 09:30],33579,35045,,40252,37596,33024,34464
[22/10/2018 10:00],32632,34097,,40029,38058,32526,33966
[22/10/2018 10:30],31673,33133,,40029,38058,32000,33440
[22/10/2018 11:00],30947,32406,,39444,38664,31506,32946
[22/10/2018 11:30],30252,31709,,39444,38664,31268,32708
[22/10/2018 12:00],29997,31454,,39017,38797,30934,32374
[22/10/2018 12:30],29498,30931,,39017,38797,30321,31736
[22/10/2018 13:00],29174,30607,,38755,38042,29896,31316
[22/10/2018 13:30],28980,30371,,38755,38042,29701,31075
[22/10/2018 14:00],29197,30442,,38094,36994,29600,30826
[22/10/2018 14:30],29392,30560,,38094,36994,29739,30888
[22/10/2018 15:00],30079,31111,,37951,36566,30174,31176
[22/10/2018 15:30],31117,32027,,37951,36566,30804,31689
[22/10/2018 16:00],32538,33246,,39474,37965,31959,32655
[22/10/2018 16:30],34349,34975,,39474,37965,33320,33938
[22/10/2018 17:00],35970,36732,,41544,39413,34630,35384
[22/10/2018 17:30],37147,37877,,41544,39413,37200,37910
[22/10/2018 18:00],38637,39345,,43894,40863,38485,39184
[22/10/2018 18:30],39170,39873,,43894,40863,39400,40095
[22/10/2018 19:00],38494,39344,,42874,39302,38502,39354
[22/10/2018 19:30],37551,38413,,42874,39302,37345,38201
[22/10/2018 20:00],36216,36943,,40242,36504,35929,36628
[22/10/2018 20:30],34640,35284,,40242,36504,34235,34870
[22/10/2018 21:00],32903,33556,,36719,33091,32563,33197
[22/10/2018 21:30],30865,31519,,36719,33091,30554,31210
[22/10/2018 22:00],28785,29603,,31290,29079,28808,29620
[22/10/2018 22:30],26484,27392,,31290,29079,26780,27668
[22/10/2018 23:00],24444,25292,,27751,25341,24705,25531
[22/10/2018 23:30],22742,23510,,27751,25341,22900,23648
[23/10/2018 00:00],21484,22666,,24798,23394,21700,22798
[23/10/2018 00:30],20675,22106,,24798,23394,20973,22128
[23/10/2018 01:00],20557,22276,,23797,23649,20900,22116
[23/10/2018 01:30],20816,22661,,23797,23649,21300,22738
[23/10/2018 02:00],20648,22492,,23864,23105,21067,22503
[23/10/2018 02:30],20290,22127,,23864,23105,20669,22100
[23/10/2018 03:00],19926,21758,,22300,22525,20161,21632
[23/10/2018 03:30],19730,21554,,22300,22525,20053,21523
[23/10/2018 04:00],19820,21738,,22244,22887,20100,21590
[23/10/2018 04:30],19878,21785,,22244,22887,20318,21805
[23/10/2018 05:00],20697,22519,,24963,24952,21106,22520
[23/10/2018 05:30],21924,23574,,24963,24952,22175,23514
[23/10/2018 06:00],24899,25788,,31222,30365,24799,25593
[23/10/2018 06:30],27730,28240,,31222,30365,27715,28215
[23/10/2018 07:00],31236,31787,,36135,35306,30880,31380
[23/10/2018 07:30],32999,33541,,36135,35306,32752,33252
[23/10/2018 08:00],33951,34459,,38762,37231,33787,34287
[23/10/2018 08:30],34161,34670,,38762,37231,34000,34500
[23/10/2018 09:00],34223,34730,,40212,37189,33800,34300
[23/10/2018 09:30],33696,34204,,40212,37189,32826,33326
[23/10/2018 10:00],32928,33559,,38561,37306,32326,32916
[23/10/2018 10:30],32014,32648,,38561,37306,31800,32418
[23/10/2018 11:00],31322,32291,,37976,37847,31425,32374
[23/10/2018 11:30],30837,31806,,37976,37847,31303,32263
[23/10/2018 12:00],30763,31443,,38559,38082,31082,31877
[23/10/2018 12:30],30350,31068,,38559,38082,30825,31730
[23/10/2018 13:00],29978,30844,,37331,37708,29771,30629
[23/10/2018 13:30],29840,30712,,37331,37708,29479,30339
[23/10/2018 14:00],30061,31026,,37475,36826,29400,30358
[23/10/2018 14:30],30392,31444,,37475,36826,29565,30591
[23/10/2018 15:00],30974,31837,,37832,36285,30027,30875
[23/10/2018 15:30],32109,32956,,37832,36285,30683,31518
[23/10/2018 16:00],33232,34096,,39097,37000,31866,32715
[23/10/2018 16:30],34592,35456,,39097,37000,33254,34111
[23/10/2018 17:00],36013,36962,,42101,39431,34595,35528
[23/10/2018 17:30],37125,37984,,42101,39431,37200,38039
[23/10/2018 18:00],38251,39108,,43929,41056,38139,38981
[23/10/2018 18:30],38269,39176,,43929,41056,38700,39599
[23/10/2018 19:00],37688,38732,,42335,39250,37804,38841
[23/10/2018 19:30],36599,37766,,42335,39250,36654,37807
[23/10/2018 20:00],35172,36346,,38711,36283,35251,36413
[23/10/2018 20:30],33404,34528,,38711,36283,33577,34684
[23/10/2018 21:00],31689,32554,,35162,32911,32116,32969
[23/10/2018 21:30],29878,30710,,35162,32911,30191,31015
[23/10/2018 22:00],27875,28948,,30656,29165,28519,29580
[23/10/2018 22:30],25839,26886,,30656,29165,26561,27579
[23/10/2018 23:00],23974,25093,,27063,25530,24551,25647
[23/10/2018 23:30],22407,23941,,27063,25530,22800,24336
[24/10/2018 00:00],21396,23129,,23928,23959,21500,23327
[24/10/2018 00:30],20944,22779,,23928,23959,21000,22828
[24/10/2018 01:00],21008,22730,,24142,23425,21037,22754
[24/10/2018 01:30],21427,23115,,24142,23425,21200,22918
[24/10/2018 02:00],21382,23319,,23933,22855,21009,22936
[24/10/2018 02:30],21076,23008,,23933,22855,20652,22573
[24/10/2018 03:00],20575,22510,,22467,22284,20183,22007
[24/10/2018 03:30],20373,22482,,22467,22284,20113,21929
[24/10/2018 04:00],20356,22354,,22422,22606,20200,22060
[24/10/2018 04:30],20562,22498,,22422,22606,20441,22248
[24/10/2018 05:00],21439,23178,,24970,24640,21256,22763
[24/10/2018 05:30],22627,24225,,24970,24640,22400,23802
[24/10/2018 06:00],25666,26364,,29968,30081,25093,25773
[24/10/2018 06:30],28365,28885,,29968,30081,28091,28591
[24/10/2018 07:00],31951,32860,,35130,35098,31353,32241
[24/10/2018 07:30],33795,34931,,35130,35098,33311,34424
[24/10/2018 08:00],34810,35985,,37438,36938,34423,35581
[24/10/2018 08:30],34783,36043,,37438,36938,34700,35937
[24/10/2018 09:00],34842,36021,,38531,36973,34500,35661
[24/10/2018 09:30],34082,35344,,38531,36973,33588,34820
[24/10/2018 10:00],32956,34178,,37626,37625,33159,34357
[24/10/2018 10:30],32220,33526,,37626,37625,32700,33986
[24/10/2018 11:00],31622,33053,,37558,38274,32203,33609
[24/10/2018 11:30],31023,32472,,37558,38274,31968,33395
[24/10/2018 12:00],30836,32140,,37534,38196,31448,32719
[24/10/2018 12:30],30610,31973,,37534,38196,31148,32458
[24/10/2018 13:00],30374,32672,,35958,37433,30772,33040
[24/10/2018 13:30],30299,32607,,35958,37433,30631,32907
[24/10/2018 14:00],30517,32443,,36290,36466,30500,32403
[24/10/2018 14:30],30699,32598,,36290,36466,30606,32478
[24/10/2018 15:00],31102,32498,,36403,36165,31017,32400
[24/10/2018 15:30],31890,33268,,36403,36165,31624,33003
[24/10/2018 16:00],32898,34321,,37229,37098,32771,34154
[24/10/2018 16:30],34334,35741,,37229,37098,34123,35511
[24/10/2018 17:00],35921,37382,,40480,39637,35419,36859
[24/10/2018 17:30],37277,38743,,40480,39637,38000,39440
[24/10/2018 18:00],38819,40278,,43244,40535,38943,40383
[24/10/2018 18:30],39025,40488,,43244,40535,39200,40640
[24/10/2018 19:00],38191,39655,,42040,38949,38407,39847
[24/10/2018 19:30],37509,38967,,42040,38949,37350,38790
[24/10/2018 20:00],36250,37711,,39041,36226,36029,37469
[24/10/2018 20:30],34755,36215,,39041,36226,34421,35849
[24/10/2018 21:00],33364,34703,,34975,33040,33022,34338
[24/10/2018 21:30],31391,32687,,34975,33040,31136,32407
