Date (WET),DEMAND (INDO),DEMAND (ITSDO),DEMAND (NATIONAL GRID),DEMAND (ENTSOE),DEMAND FORECAST (ENTSOE),DEMAND FORECAST (NDF),DEMAND FORECAST (TSDF)
,MW,MW,MW,MW,MW,MW,MW
[18/12/2018 23:00],29316,29965,,33218,29155,28661,29291
[18/12/2018 23:30],27968,28670,,33218,29155,27200,27886
[19/12/2018 00:00],27519,28137,,31974,28500,26900,27500
[19/12/2018 00:30],27799,28422,,31974,28500,27100,27700
[19/12/2018 01:00],27542,28284,,31438,27477,26574,27300
[19/12/2018 01:30],26804,27878,,31438,27477,25872,27083
[19/12/2018 02:00],26299,27621,,30012,26574,25298,26780
[19/12/2018 02:30],26114,27638,,30012,26574,25003,26520
[19/12/2018 03:00],25662,27309,,29007,25726,24541,26186
[19/12/2018 03:30],25302,27103,,29007,25726,24114,25837
[19/12/2018 04:00],25181,27154,,28929,25935,24000,25830
[19/12/2018 04:30],25327,27026,,28929,25935,24288,26051
[19/12/2018 05:00],26139,27804,,30832,28454,25188,26848
[19/12/2018 05:30],27529,28828,,30832,28454,26509,27782
[19/12/2018 06:00],30781,31447,,36641,34921,30036,30636
[19/12/2018 06:30],33817,34431,,36641,34921,33274,33874
[19/12/2018 07:00],37155,37991,,42200,40484,37170,38019
[19/12/2018 07:30],39392,40241,,42200,40484,39205,40054
[19/12/2018 08:00],40148,40761,,44424,41514,40000,40601
[19/12/2018 08:30],40001,40615,,44424,41514,39718,40319
[19/12/2018 09:00],40364,40977,,45367,42174,39900,40500
[19/12/2018 09:30],40166,40785,,45367,42174,39598,40198
[19/12/2018 10:00],39640,40254,,45554,42623,38979,39579
[19/12/2018 10:30],39361,39972,,45554,42623,38574,39174
[19/12/2018 11:00],38929,39539,,45121,43241,38548,39148
[19/12/2018 11:30],38572,39181,,45121,43241,38457,39057
[19/12/2018 12:00],38332,38941,,44376,43085,38524,39124
[19/12/2018 12:30],38273,38882,,44376,43085,38600,39200
[19/12/2018 13:00],38308,38915,,44045,42344,38793,39393
[19/12/2018 13:30],38439,39047,,44045,42344,38500,39100
[19/12/2018 14:00],38942,39551,,44044,42311,39102,39702
[19/12/2018 14:30],39260,39869,,44044,42311,39596,40196
[19/12/2018 15:00],39894,40503,,45487,43728,40274,40874
[19/12/2018 15:30],41275,41883,,45487,43728,41556,42156
[19/12/2018 16:00],42997,43734,,48220,46027,43253,43981
[19/12/2018 16:30],43949,44765,,48220,46027,43882,44681
[19/12/2018 17:00],44423,45386,,48942,46249,44500,45448
[19/12/2018 17:30],44191,45258,,48942,46249,44174,45222
[19/12/2018 18:00],43699,44771,,48078,45317,43743,44793
[19/12/2018 18:30],43220,44230,,48078,45317,43347,44336
[19/12/2018 19:00],42511,43366,,46968,43881,42937,43777
[19/12/2018 19:30],41699,42402,,46968,43881,42081,42771
[19/12/2018 20:00],40375,40980,,44624,40730,40387,40987
[19/12/2018 20:30],38761,39369,,44624,40730,38600,39200
[19/12/2018 21:00],37073,37681,,40964,36499,36766,37366
[19/12/2018 21:30],35094,35738,,40964,36499,34689,35323
[19/12/2018 22:00],32934,33627,,36729,32201,32621,33302
[19/12/2018 22:30],30985,31594,,36729,32201,30705,31305
[19/12/2018 23:00],28912,29520,,32855,29039,28783,29383
[19/12/2018 23:30],27500,28146,,32855,29039,27600,28238
[20/12/2018 00:00],27192,27876,,32111,28763,27300,27973
[20/12/2018 00:30],27527,28213,,32111,28763,27600,28273
[20/12/2018 01:00],27103,28053,,31560,28014,27294,28249
[20/12/2018 01:30],26594,27597,,31560,28014,26814,27773
[20/12/2018 02:00],26021,27514,,29783,27205,26567,28017
[20/12/2018 02:30],25720,27450,,29783,27205,26435,28163
[20/12/2018 03:00],25216,26865,,28998,26475,24750,26357
[20/12/2018 03:30],24833,26450,,28998,26475,24874,26488
[20/12/2018 04:00],24596,26337,,28658,26518,25100,26851
[20/12/2018 04:30],24968,26747,,28658,26518,25291,27039
[20/12/2018 05:00],25706,27651,,30236,28579,26037,27987
[20/12/2018 05:30],27104,28659,,30236,28579,27366,28883
[20/12/2018 06:00],30291,30967,,36817,34176,30288,30888
[20/12/2018 06:30],33295,33907,,36817,34176,33137,33737
[20/12/2018 07:00],36769,37380,,42891,39552,36650,37250
[20/12/2018 07:30],38609,39220,,42891,39552,38763,39363
[20/12/2018 08:00],39678,40288,,45153,41524,39900,40500
[20/12/2018 08:30],39833,40446,,45153,41524,38957,39557
[20/12/2018 09:00],39824,40437,,45616,41955,39700,40300
[20/12/2018 09:30],39319,39932,,45616,41955,39551,40151
[20/12/2018 10:00],38962,39571,,45114,42410,39431,40031
[20/12/2018 10:30],38232,38841,,45114,42410,39200,39800
[20/12/2018 11:00],37834,38441,,45139,42768,38890,39490
[20/12/2018 11:30],37766,38375,,45139,42768,38827,39427
[20/12/2018 12:00],37702,38312,,44956,42570,37888,38488
[20/12/2018 12:30],37507,38123,,44956,42570,37808,38408
[20/12/2018 13:00],37672,38288,,43158,41939,37648,38248
[20/12/2018 13:30],37953,38568,,43158,41939,37600,38200
[20/12/2018 14:00],38575,39192,,43333,41611,38013,38613
[20/12/2018 14:30],38958,39574,,43333,41611,38245,38845
[20/12/2018 15:00],39410,40026,,44683,42773,38951,39551
[20/12/2018 15:30],40456,41072,,44683,42773,40113,40713
[20/12/2018 16:00],41579,42330,,46457,45468,41865,42604
[20/12/2018 16:30],42708,43682,,46457,45468,43285,44249
[20/12/2018 17:00],43089,44361,,46877,45748,44000,45264
[20/12/2018 17:30],42709,44186,,46877,45748,43782,45246
[20/12/2018 18:00],42206,43807,,45686,44770,43315,44889
[20/12/2018 18:30],41737,43346,,45686,44770,42630,44210
[20/12/2018 19:00],41040,42649,,44406,43137,42018,43598
[20/12/2018 19:30],40181,41782,,44406,43137,40985,42565
[20/12/2018 20:00],39268,40867,,42517,40355,40165,41744
[20/12/2018 20:30],37907,39425,,42517,40355,38300,39792
[20/12/2018 21:00],36297,37812,,39369,36691,36634,38126
[20/12/2018 21:30],34355,35871,,39369,36691,34738,36238
[20/12/2018 22:00],32273,33941,,35300,32649,32923,34573
[20/12/2018 22:30],30712,32401,,35300,32649,31198,32854
[20/12/2018 23:00],28401,30203,,31551,29087,29133,30952
[20/12/2018 23:30],27533,29340,,31551,29087,27800,29598
[21/12/2018 00:00],27041,28650,,30874,28307,27100,28699
[21/12/2018 00:30],27404,28872,,30874,28307,27300,28789
[21/12/2018 01:00],26962,28967,,29653,27189,26896,28945
[21/12/2018 01:30],26387,28469,,29653,27189,26100,28335
[21/12/2018 02:00],25836,28258,,28148,26093,25479,27922
[21/12/2018 02:30],25511,28132,,28148,26093,25166,27757
[21/12/2018 03:00],25069,27610,,27385,25334,24639,27192
[21/12/2018 03:30],24738,27369,,27385,25334,24122,26759
[21/12/2018 04:00],24605,27217,,27156,25276,23800,26423
[21/12/2018 04:30],24664,27266,,27156,25276,23922,26470
[21/12/2018 05:00],25343,27321,,29406,27246,24692,26657
[21/12/2018 05:30],26477,28013,,29406,27246,25934,27449
[21/12/2018 06:00],29041,29952,,35120,31997,28527,29386
[21/12/2018 06:30],31776,32540,,35120,31997,31031,31783
[21/12/2018 07:00],35078,35688,,40364,36615,33894,34494
[21/12/2018 07:30],36867,37522,,40364,36615,36001,36641
[21/12/2018 08:00],37587,38294,,42086,39129,37755,38446
[21/12/2018 08:30],37860,38584,,42086,39129,38600,39312
[21/12/2018 09:00],38164,38968,,42576,40179,39000,39794
[21/12/2018 09:30],38043,38830,,42576,40179,38935,39712
[21/12/2018 10:00],37792,38704,,41919,40240,38776,39677
[21/12/2018 10:30],37601,38596,,41919,40240,38500,39479
[21/12/2018 11:00],37393,38372,,42567,40214,38361,39323
[21/12/2018 11:30],36986,38020,,42567,40214,38246,39259
[21/12/2018 12:00],36878,37933,,42270,39778,38115,39153
[21/12/2018 12:30],36689,37802,,42270,39778,37145,38244
[21/12/2018 13:00],36504,37669,,41461,39055,36982,38134
[21/12/2018 13:30],36309,37636,,41461,39055,36700,38011
[21/12/2018 14:00],36466,37805,,40968,38540,36753,38072
[21/12/2018 14:30],36692,38032,,40968,38540,36725,38044
[21/12/2018 15:00],37132,38432,,41517,39171,36973,38253
[21/12/2018 15:30],37996,39152,,41517,39171,37529,38671
[21/12/2018 16:00],39176,40517,,43452,41902,38880,40201
[21/12/2018 16:30],40263,41600,,43452,41902,40379,41702
[21/12/2018 17:00],40852,42328,,44440,42670,41000,42465
[21/12/2018 17:30],40694,42175,,44440,42670,40932,42397
[21/12/2018 18:00],39889,41253,,43536,41327,40308,41647
[21/12/2018 18:30],39297,40666,,43536,41327,39468,40814
[21/12/2018 19:00],39081,40185,,42825,39521,38566,39648
[21/12/2018 19:30],38251,39166,,42825,39521,37536,38434
[21/12/2018 20:00],37092,37799,,40891,36902,36273,36963
[21/12/2018 20:30],35631,36244,,40891,36902,34800,35400
[21/12/2018 21:00],34105,34718,,37940,33801,33159,33759
[21/12/2018 21:30],32438,33047,,37940,33801,31480,32080
[21/12/2018 22:00],30716,31325,,34699,30803,30266,30866
[21/12/2018 22:30],29175,29787,,34699,30803,28579,29179
[21/12/2018 23:00],27423,28032,,31053,28111,26540,27140
[21/12/2018 23:30],26237,26849,,31053,28111,25200,25800
[22/12/2018 00:00],25786,26391,,30024,28009,25700,26300
[22/12/2018 00:30],25852,26460,,30024,28009,25800,26400
[22/12/2018 01:00],25196,25809,,28884,26474,25126,25726
[22/12/2018 01:30],24203,25093,,28884,26474,24115,25000
[22/12/2018 02:00],23389,24722,,26742,25109,23392,24747
[22/12/2018 02:30],23076,24603,,26742,25109,22902,24451
[22/12/2018 03:00],22447,24650,,24798,24199,22197,24388
[22/12/2018 03:30],22004,24280,,24798,24199,21572,23824
[22/12/2018 04:00],21676,23802,,24107,23977,21211,23314
[22/12/2018 04:30],21568,23844,,24107,23977,21000,23193
[22/12/2018 05:00],21878,24210,,24443,24601,21148,23472
[22/12/2018 05:30],22359,24510,,24443,24601,21579,23727
[22/12/2018 06:00],23835,25265,,28085,26641,22737,24152
[22/12/2018 06:30],25067,25881,,28085,26641,23628,24525
[22/12/2018 07:00],26731,27497,,32000,29320,25521,26276
[22/12/2018 07:30],28097,28865,,32000,29320,26612,27367
[22/12/2018 08:00],29500,30266,,35262,32361,27981,28736
[22/12/2018 08:30],30812,31580,,35262,32361,29300,30055
[22/12/2018 09:00],31833,32602,,38091,35006,30618,31373
[22/12/2018 09:30],32079,32701,,38091,35006,31448,32051
[22/12/2018 10:00],31909,32519,,38664,36513,31800,32400
[22/12/2018 10:30],31770,32380,,38664,36513,31500,32100
[22/12/2018 11:00],31587,32196,,38641,37242,31329,31929
[22/12/2018 11:30],31412,32052,,38641,37242,31369,31982
[22/12/2018 12:00],31330,32118,,38195,36933,31800,32576
[22/12/2018 12:30],31136,31929,,38195,36933,31628,32409
[22/12/2018 13:00],31290,32086,,37648,35856,31709,32494
[22/12/2018 13:30],31425,32217,,37648,35856,31600,32381
[22/12/2018 14:00],31801,32678,,37187,34858,31791,32657
[22/12/2018 14:30],32144,33070,,37187,34858,32092,33007
[22/12/2018 15:00],32993,34088,,37768,35498,32766,33854
[22/12/2018 15:30],34108,35345,,37768,35498,33828,35056
[22/12/2018 16:00],35995,37425,,40454,38806,35849,37254
[22/12/2018 16:30],37093,38500,,40454,38806,37922,39316
[22/12/2018 17:00],37763,39313,,41653,39681,39100,40637
[22/12/2018 17:30],37787,39384,,41653,39681,38408,39988
[22/12/2018 18:00],37632,39226,,41123,38497,37730,39310
[22/12/2018 18:30],37262,38861,,41123,38497,37167,38747
[22/12/2018 19:00],36565,38165,,39653,36675,36482,38062
[22/12/2018 19:30],35467,37067,,39653,36675,35342,36922
[22/12/2018 20:00],34597,36197,,37626,34469,34328,35908
[22/12/2018 20:30],33426,34974,,37626,34469,33200,34727
[22/12/2018 21:00],32209,33528,,35414,32385,32005,33304
[22/12/2018 21:30],31054,32302,,35414,32385,30950,32190
[22/12/2018 22:00],29602,31092,,32365,29977,29543,31025
[22/12/2018 22:30],28626,30061,,32365,29977,28340,29760
[22/12/2018 23:00],27234,28661,,30131,27761,26946,28363
[22/12/2018 23:30],26225,27810,,30131,27761,25800,27372
[23/12/2018 00:00],25831,27426,,29046,27464,26000,27571
[23/12/2018 00:30],25968,27493,,29046,27464,26200,27695
[23/12/2018 01:00],25570,27191,,27988,26147,25770,27577
[23/12/2018 01:30],24806,26866,,27988,26147,24860,26908
[23/12/2018 02:00],24153,26400,,26082,24680,23847,26154
[23/12/2018 02:30],23832,26042,,26082,24680,23419,25683
[23/12/2018 03:00],23341,25957,,24591,23403,23017,25750
[23/12/2018 03:30],22847,25722,,24591,23403,22341,25348
[23/12/2018 04:00],22514,25520,,23551,22840,21949,24943
[23/12/2018 04:30],22323,25396,,23551,22840,21731,24852
[23/12/2018 05:00],22480,25628,,23998,23077,21700,24831
[23/12/2018 05:30],22963,25533,,23998,23077,21908,24455
[23/12/2018 06:00],23983,25811,,26796,24700,22862,24688
[23/12/2018 06:30],24706,26413,,26796,24700,23727,25422
[23/12/2018 07:00],25942,26891,,30006,26989,25053,25997
[23/12/2018 07:30],26966,27675,,30006,26989,26153,26843
[23/12/2018 08:00],28667,29278,,33529,30375,28710,29310
[23/12/2018 08:30],30279,30891,,33529,30375,30600,31200
[23/12/2018 09:00],32020,32632,,36807,33730,32351,32951
[23/12/2018 09:30],33303,33910,,36807,33730,33416,34016
[23/12/2018 10:00],34140,34841,,38545,35035,34000,34690
[23/12/2018 10:30],34685,35523,,38545,35035,34217,35057
[23/12/2018 11:00],35039,36026,,38987,35494,34297,35361
[23/12/2018 11:30],35258,36506,,38987,35494,34420,35661
[23/12/2018 12:00],35455,36846,,39214,35890,35897,37285
[23/12/2018 12:30],35339,36842,,39214,35890,36300,37785
[23/12/2018 13:00],35383,36858,,38952,35563,36015,37471
[23/12/2018 13:30],35352,36853,,38952,35563,35503,36987
[23/12/2018 14:00],35457,36939,,38673,35310,35106,36565
[23/12/2018 14:30],35391,36853,,38673,35310,35000,36449
[23/12/2018 15:00],35825,37409,,39177,36399,35195,36764
[23/12/2018 15:30],36708,38306,,39177,36399,35958,37538
[23/12/2018 16:00],37826,39429,,41135,38830,37426,39006
[23/12/2018 16:30],38740,40336,,41135,38830,38556,40136
[23/12/2018 17:00],39278,40875,,42211,38793,38600,40180
[23/12/2018 17:30],39344,40947,,42211,38793,38355,39935
[23/12/2018 18:00],39014,40621,,41509,37475,37857,39437
[23/12/2018 18:30],38255,39864,,41509,37475,37092,38672
[23/12/2018 19:00],37603,39209,,39955,35689,36336,37916
[23/12/2018 19:30],36591,38196,,39955,35689,35316,36896
[23/12/2018 20:00],35800,37393,,38109,33662,34632,36198
[23/12/2018 20:30],34558,36020,,38109,33662,33400,34841
[23/12/2018 21:00],33479,34786,,35907,31247,32188,33479
[23/12/2018 21:30],32073,33310,,35907,31247,31001,32226
[23/12/2018 22:00],30584,31979,,32869,28904,29595,30978
[23/12/2018 22:30],29198,30624,,32869,28904,28654,30058
[23/12/2018 23:00],27577,29075,,29795,26810,27142,28625
[23/12/2018 23:30],26384,27985,,29795,26810,26800,28378
[24/12/2018 00:00],26046,27648,,28929,27092,26400,27979
[24/12/2018 00:30],26208,27729,,28929,27092,26700,28199
[24/12/2018 01:00],25851,27583,,28100,26246,26422,28117
[24/12/2018 01:30],24992,26625,,28100,26246,25738,27430
[24/12/2018 02:00],24405,26843,,25921,25223,25270,27800
[24/12/2018 02:30],24148,27055,,25921,25223,25097,27974
[24/12/2018 03:00],23757,27296,,24565,24460,24754,28477
[24/12/2018 03:30],23310,27167,,24565,24460,24148,27994
[24/12/2018 04:00],23031,26853,,23961,24450,23914,27731
[24/12/2018 04:30],23036,26842,,23961,24450,23800,27597
[24/12/2018 05:00],23711,26940,,25711,26023,24366,27613
[24/12/2018 05:30],24607,27099,,25711,26023,25409,27796
[24/12/2018 06:00],26591,27923,,30494,30036,27465,28548
[24/12/2018 06:30],28141,29086,,30494,30036,29485,30366
[24/12/2018 07:00],30121,31176,,34161,34449,31951,32973
[24/12/2018 07:30],31739,32699,,34161,34449,33941,34883
[24/12/2018 08:00],33494,34238,,37782,38297,36024,36739
[24/12/2018 08:30],35060,35787,,37782,38297,37700,38427
[24/12/2018 09:00],36094,36983,,40073,40365,37979,38856
[24/12/2018 09:30],36449,37464,,40073,40365,38000,39005
[24/12/2018 10:00],36435,37677,,40830,40169,36325,37553
[24/12/2018 10:30],36265,37518,,40830,40169,36404,37640
[24/12/2018 11:00],36054,37420,,40955,40295,36500,37850
[24/12/2018 11:30],35794,37162,,40955,40295,36448,37805
[24/12/2018 12:00],35611,37056,,40738,39649,36181,37612
[24/12/2018 12:30],35287,36731,,40738,39649,35962,37394
[24/12/2018 13:00],34950,36521,,39595,38750,35826,37387
[24/12/2018 13:30],34724,36321,,39595,38750,35657,37237
[24/12/2018 14:00],34824,36420,,38768,37828,35651,37231
[24/12/2018 14:30],35145,36731,,38768,37828,35500,37068
[24/12/2018 15:00],35770,37249,,39070,38175,35709,37170
[24/12/2018 15:30],36713,38198,,39070,38175,36392,37866
[24/12/2018 16:00],38370,39966,,41692,41492,38117,39694
[24/12/2018 16:30],39527,41130,,41692,41492,39398,40978
[24/12/2018 17:00],39999,41597,,42734,41873,39500,41080
[24/12/2018 17:30],39736,41338,,42734,41873,39500,41080
[24/12/2018 18:00],38978,40584,,41503,40338,39071,40651
[24/12/2018 18:30],38228,39825,,41503,40338,38651,40231
[24/12/2018 19:00],37269,38866,,39678,38295,37768,39348
[24/12/2018 19:30],36198,37730,,39678,38295,36636,38151
[24/12/2018 20:00],35323,36706,,37887,36153,35742,37109
[24/12/2018 20:30],34104,35410,,37887,36153,34800,36091
[24/12/2018 21:00],33015,34139,,35704,33269,33729,34840
[24/12/2018 21:30],31673,32793,,35704,33269,32205,33319
[24/12/2018 22:00],30098,31378,,32410,30759,30668,31941
[24/12/2018 22:30],28826,30167,,32410,30759,29545,30872
[24/12/2018 23:00],27287,28535,,29980,27878,27711,28938
[24/12/2018 23:30],26156,27205,,29980,27878,26500,27531
[25/12/2018 00:00],25763,26618,,29173,26215,26100,26927
[25/12/2018 00:30],25705,26451,,29173,26215,25800,26525
[25/12/2018 01:00],25358,26420,,27883,25108,25311,26614
[25/12/2018 01:30],24542,26055,,27883,25108,24384,26010
[25/12/2018 02:00],23844,26108,,25943,24338,23725,26012
[25/12/2018 02:30],23504,26088,,25943,24338,23438,26009
[25/12/2018 03:00],23000,25755,,24700,23673,22916,25660
[25/12/2018 03:30],22526,25337,,24700,23673,22257,25054
[25/12/2018 04:00],22126,24997,,23837,23460,21856,24706
[25/12/2018 04:30],21954,24812,,23837,23460,21700,24537
[25/12/2018 05:00],22095,24832,,24288,23801,21807,24545
[25/12/2018 05:30],22528,25148,,24288,23801,22058,24705
[25/12/2018 06:00],23546,26059,,26086,25588,23047,25575
[25/12/2018 06:30],24560,27039,,26086,25588,23986,26470
[25/12/2018 07:00],26040,27756,,30103,28262,25909,27623
[25/12/2018 07:30],27357,28195,,30103,28262,27377,28186
[25/12/2018 08:00],29105,29722,,34262,31993,29357,29957
[25/12/2018 08:30],30944,31557,,34262,31993,31400,32000
[25/12/2018 09:00],32506,33121,,37442,35446,32988,33588
[25/12/2018 09:30],33459,34078,,37442,35446,33480,34080
[25/12/2018 10:00],33995,34699,,38847,37055,34000,34689
[25/12/2018 10:30],34396,35126,,38847,37055,34071,34780
[25/12/2018 11:00],34875,35570,,40086,37925,34582,35273
[25/12/2018 11:30],35356,36041,,40086,37925,35137,35808
[25/12/2018 12:00],35870,36654,,40940,38665,35656,36425
[25/12/2018 12:30],36432,37223,,40940,38665,36100,36874
[25/12/2018 13:00],36463,37293,,40563,37751,35881,36690
[25/12/2018 13:30],35758,36582,,40563,37751,35434,36240
[25/12/2018 14:00],35169,36138,,38611,35547,34680,35638
[25/12/2018 14:30],34194,35181,,38611,35547,33701,34663
[25/12/2018 15:00],33266,34105,,36846,34162,32914,33732
[25/12/2018 15:30],32688,33500,,36846,34162,32500,33289
[25/12/2018 16:00],32507,33182,,35511,33591,32521,33176
[25/12/2018 16:30],32094,32707,,35511,33591,32300,32900
[25/12/2018 17:00],31622,32320,,34948,32697,31873,32563
[25/12/2018 17:30],30907,31637,,34948,32697,31435,32151
[25/12/2018 18:00],30301,30984,,33548,31949,30976,31643
[25/12/2018 18:30],29939,30622,,33548,31949,30608,31277
[25/12/2018 19:00],29573,30186,,33656,31308,30528,31128
[25/12/2018 19:30],29290,29905,,33656,31308,30403,31003
[25/12/2018 20:00],28963,29576,,33056,30535,30202,30802
[25/12/2018 20:30],28476,29087,,33056,30535,29600,30200
[25/12/2018 21:00],27888,28497,,31708,29097,29026,29626
[25/12/2018 21:30],26928,27540,,31708,29097,27592,28192
[25/12/2018 22:00],26103,26792,,29951,27650,27061,27742
[25/12/2018 22:30],25550,26265,,29951,27650,25978,26680
[25/12/2018 23:00],24558,25221,,27886,25901,24858,25491
[25/12/2018 23:30],23825,24445,,27886,25901,24000,24600
[26/12/2018 00:00],23644,24351,,27388,25488,23700,24390
[26/12/2018 00:30],23980,24872,,27388,25488,23800,24673
[26/12/2018 01:00],23619,25040,,26260,24259,23489,24951
[26/12/2018 01:30],22965,24555,,26260,24259,22784,24358
[26/12/2018 02:00],22351,23922,,24812,23291,22266,23856
[26/12/2018 02:30],21972,23615,,24812,23291,21936,23558
[26/12/2018 03:00],21479,23231,,23594,22546,21597,23342
[26/12/2018 03:30],20882,22876,,23594,22546,21126,23096
[26/12/2018 04:00],20478,22729,,22658,22058,20957,23198
[26/12/2018 04:30],20386,22850,,22658,22058,20900,23354
[26/12/2018 05:00],20555,22668,,23026,22589,21071,23172
[26/12/2018 05:30],20850,22783,,23026,22589,21494,23419
[26/12/2018 06:00],21792,23253,,24981,24091,22334,23902
[26/12/2018 06:30],22446,23547,,24981,24091,22952,24148
[26/12/2018 07:00],23444,24059,,26727,25577,23909,24509
[26/12/2018 07:30],24105,24720,,26727,25577,24630,25230
[26/12/2018 08:00],25218,25831,,28865,28225,25877,26477
[26/12/2018 08:30],26635,27249,,28865,28225,27400,28000
[26/12/2018 09:00],28177,28794,,32347,31441,28865,29465
[26/12/2018 09:30],29436,30054,,32347,31441,30177,30777
[26/12/2018 10:00],30369,30989,,35020,33583,31100,31700
[26/12/2018 10:30],30687,31308,,35020,33583,31960,32560
[26/12/2018 11:00],31032,31711,,35846,34766,32225,32884
[26/12/2018 11:30],31346,32089,,35846,34766,32165,32903
[26/12/2018 12:00],31583,32523,,35718,34981,32530,33460
[26/12/2018 12:30],31633,32712,,35718,34981,31504,32573
[26/12/2018 13:00],31555,32828,,35481,34430,31445,32253
[26/12/2018 13:30],31328,32641,,35481,34430,31400,32245
[26/12/2018 14:00],31223,32745,,34797,33877,31492,32553
[26/12/2018 14:30],31240,32777,,34797,33877,31416,32488
[26/12/2018 15:00],31485,33074,,34775,34441,32913,33981
[26/12/2018 15:30],32087,33686,,34775,34441,33792,34922
[26/12/2018 16:00],33251,34854,,36374,37030,34918,36048
[26/12/2018 16:30],34172,35773,,36374,37030,35597,36727
[26/12/2018 17:00],34468,36065,,36720,37205,35794,36924
[26/12/2018 17:30],34358,35954,,36720,37205,35800,36930
[26/12/2018 18:00],33880,35480,,35849,36021,35160,36290
[26/12/2018 18:30],33321,34922,,35849,36021,34424,35554
[26/12/2018 19:00],32855,34452,,35370,34859,33753,34883
[26/12/2018 19:30],32344,33941,,35370,34859,33131,34261
[26/12/2018 20:00],31612,33180,,34148,33437,32592,33696
[26/12/2018 20:30],30804,32376,,34148,33437,30200,31306
[26/12/2018 21:00],29795,31258,,32243,30996,29465,30460
[26/12/2018 21:30],28592,30034,,32243,30996,28392,29387
[26/12/2018 22:00],27508,29089,,29940,28504,27320,28438
[26/12/2018 22:30],26591,28195,,29940,28504,26600,28180
[26/12/2018 23:00],25299,26833,,27765,26098,25009,26514
[26/12/2018 23:30],24356,25924,,27765,26098,24000,25615
[27/12/2018 00:00],24261,26160,,27213,25599,23800,25690
[27/12/2018 00:30],24705,26556,,27213,25599,24100,25934
[27/12/2018 01:00],24224,26424,,26219,24636,23707,25945
[27/12/2018 01:30],23568,25973,,26219,24636,23133,25532
[27/12/2018 02:00],23048,25892,,24512,23996,22655,25583
[27/12/2018 02:30],22652,25594,,24512,23996,22687,25636
[27/12/2018 03:00],22284,25605,,23244,23201,22432,25823
[27/12/2018 03:30],21872,25492,,23244,23201,22101,25790
[27/12/2018 04:00],21702,25493,,22694,22897,21800,25604
[27/12/2018 04:30],21732,25503,,22694,22897,21870,25663
[27/12/2018 05:00],22172,25172,,24542,24113,22290,25232
[27/12/2018 05:30],22932,25014,,24542,24113,23017,25105
[27/12/2018 06:00],24698,25924,,28225,27077,24824,26019
[27/12/2018 06:30],26212,27375,,28225,27077,26117,27274
[27/12/2018 07:00],27859,29180,,29756,29946,27962,29263
[27/12/2018 07:30],28979,30375,,29756,29946,29092,30463
[27/12/2018 08:00],30713,32403,,33070,33424,30907,32611
[27/12/2018 08:30],32233,33949,,33070,33424,32700,34424
[27/12/2018 09:00],33598,35131,,36027,36455,34266,35788
[27/12/2018 09:30],34269,35867,,36027,36455,35152,36732
[27/12/2018 10:00],34733,36331,,37610,37917,35400,36980
[27/12/2018 10:30],34881,36479,,37610,37917,35133,36713
[27/12/2018 11:00],35088,36686,,39271,38865,35367,36947
[27/12/2018 11:30],35116,36715,,39271,38865,35444,37024
[27/12/2018 12:00],35218,36817,,39475,39037,35222,36802
[27/12/2018 12:30],35137,36737,,39475,39037,35300,36880
[27/12/2018 13:00],35053,36652,,39105,38624,35551,37131
[27/12/2018 13:30],34957,36555,,39105,38624,35500,37080
[27/12/2018 14:00],35140,36735,,38688,38100,35632,37212
[27/12/2018 14:30],35381,36977,,38688,38100,35687,37267
[27/12/2018 15:00],35993,37590,,38711,38696,36150,37730
[27/12/2018 15:30],37010,38611,,38711,38696,36943,38523
[27/12/2018 16:00],38528,40134,,41708,41862,38599,40179
[27/12/2018 16:30],39926,41533,,41708,41862,40614,42194
[27/12/2018 17:00],40557,42157,,43170,42649,41500,43080
[27/12/2018 17:30],40503,42103,,43170,42649,41226,42806
[27/12/2018 18:00],40088,41690,,42224,41269,40631,42211
[27/12/2018 18:30],39234,40836,,42224,41269,39515,41095
[27/12/2018 19:00],38486,40084,,40659,39638,38797,40377
[27/12/2018 19:30],37683,39281,,40659,39638,37704,39284
[27/12/2018 20:00],36819,38350,,38821,37421,36833,38346
[27/12/2018 20:30],35363,36787,,38821,37421,35400,36804
[27/12/2018 21:00],33880,35059,,36166,34150,34113,35277
[27/12/2018 21:30],32322,33423,,36166,34150,32573,33665
[27/12/2018 22:00],30659,31981,,32845,30681,30919,32233
[27/12/2018 22:30],29164,30472,,32845,30681,29383,30673
[27/12/2018 23:00],27449,28747,,30169,27707,27716,28992
[27/12/2018 23:30],26447,27601,,30169,27707,26500,27635
[28/12/2018 00:00],25987,27003,,29556,26584,25700,26698
[28/12/2018 00:30],26131,27139,,29556,26584,25900,26893
[28/12/2018 01:00],25653,26815,,28565,25628,25205,26347
[28/12/2018 01:30],24889,26115,,28565,25628,24312,25502
[28/12/2018 02:00],24178,26408,,26119,24990,23565,25773
[28/12/2018 02:30],23789,26514,,26119,24990,22956,25659
[28/12/2018 03:00],23168,25884,,24787,24278,22381,25085
[28/12/2018 03:30],22559,25448,,24787,24278,21774,24656
[28/12/2018 04:00],22141,25098,,23955,23701,21400,24358
[28/12/2018 04:30],22098,25127,,23955,23701,21411,24474
[28/12/2018 05:00],22535,25451,,25137,24734,21819,24759
[28/12/2018 05:30],23318,25939,,25137,24734,22541,25108
[28/12/2018 06:00],25032,26476,,28294,27452,24230,25645
