Date (WET),Derated Margin,Derated Margin (HR M-2),Derated Margin (HR M-4),Derated Margin (HR M-8),Derated Margin (Noon 0),Derated Margin (Noon 1),System Sell Price (SSP),System Buy Price (SBP),STOR Window,LOLP (Noon 0),LOLP (Noon 1),LOLP (HR M-8),LOLP (HR M-4),LOLP (HR M-2),LOLP (Loss of Load Probability),NIV (Net Imbalance Volume),Non-BM STOR Generation
,MW,MW,MW,MW,MW,MW,GBP/MWh,GBP/MWh,,%,%,%,%,%,%,MW,MW
[03/12/2016 00:00],11706.80,11810.29,12057.67,12428.06,12699.27,12584.94,38.57,38.57,0.49,0.00,0.00,0.00,0.00,0.00,0.00,-319.10,17.08
[04/12/2016 00:00],13631.45,13765.00,13973.84,14167.31,13230.48,12887.81,42.08,42.08,0.32,0.00,0.00,0.00,0.00,0.00,0.00,-538.62,15.54
[05/12/2016 00:00],9471.59,9651.78,9820.57,9792.99,9398.19,9565.34,94.86,94.86,0.48,0.00,0.00,0.00,0.00,0.00,0.00,1.16,33.54
[06/12/2016 00:00],10376.56,11579.72,11430.74,11233.45,13667.67,12699.68,62.91,62.91,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-68.46,18.38
[07/12/2016 00:00],13954.76,14318.85,14660.34,15204.46,9692.07,25786.27,38.11,38.11,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-634.26,12.30
[08/12/2016 00:00],10838.30,11185.13,11458.99,11965.82,12474.63,8089.52,36.52,36.52,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-658.60,29.80
[09/12/2016 00:00],13214.27,13321.71,13983.11,14611.46,14132.06,15240.97,35.64,35.63,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-830.70,5.84
[10/12/2016 00:00],12589.94,12779.45,12896.94,12959.45,14359.41,16610.24,51.06,51.06,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-496.60,44.66
[11/12/2016 00:00],13201.50,13346.07,13694.66,13880.20,13988.06,12465.81,42.57,42.57,0.32,0.00,0.00,0.00,0.00,0.00,0.00,-487.14,63.84
[12/12/2016 00:00],9038.73,9273.84,9465.87,9512.99,9962.30,9893.59,65.68,65.68,0.48,0.00,0.00,0.00,0.00,0.00,0.00,81.44,21.42
[13/12/2016 00:00],10775.94,10941.57,11127.35,11383.60,11861.12,12338.73,41.68,41.67,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-574.84,0.00
[14/12/2016 00:00],11124.77,11288.38,11391.96,11348.04,12745.89,13476.97,36.46,36.46,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-839.02,0.12
[15/12/2016 00:00],10815.44,10928.32,10987.05,11075.72,11648.32,13004.22,38.13,38.13,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-588.06,0.08
[16/12/2016 00:00],9949.28,10134.07,10182.58,10269.60,10735.52,10967.18,35.70,35.69,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-666.38,0.00
[17/12/2016 00:00],11704.71,12001.60,12449.49,13074.80,13179.62,12706.34,35.61,35.61,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-633.92,0.00
[18/12/2016 00:00],13201.22,13348.29,13625.53,13936.80,13445.73,10559.14,34.07,34.07,0.32,0.00,0.00,0.00,0.00,0.00,0.00,-599.80,0.00
[19/12/2016 00:00],9886.12,10062.26,10213.89,10241.45,10579.24,9786.18,35.66,35.66,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-800.68,17.50
[20/12/2016 00:00],10839.68,10980.46,11292.63,11876.37,12807.68,15163.28,34.97,34.97,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-621.16,0.08
[21/12/2016 00:00],12510.51,12710.32,12980.70,13074.65,14333.92,15138.29,46.05,46.05,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-229.00,14.08
[22/12/2016 00:00],12437.22,12645.01,13094.20,13669.95,14288.50,14421.31,34.67,34.67,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-672.02,15.76
[23/12/2016 00:00],14357.68,14503.73,14540.29,14524.99,14960.67,15883.48,49.28,49.28,0.48,0.00,0.00,0.00,0.00,0.00,0.00,70.24,0.00
[24/12/2016 00:00],17321.20,17340.50,17404.19,17468.32,17570.31,18099.04,38.89,38.89,0.48,0.00,0.00,0.00,0.00,0.00,0.00,59.66,18.66
[25/12/2016 00:00],18597.39,18622.75,18756.09,19011.90,20587.41,21498.27,35.59,35.59,0.32,0.00,0.00,0.00,0.00,0.00,0.00,-192.00,0.00
[26/12/2016 00:00],17560.14,17606.41,17684.99,18370.05,19056.87,18929.19,49.81,49.81,0.32,0.00,0.00,0.00,0.00,0.00,0.00,210.84,54.70
[27/12/2016 00:00],11015.55,11278.34,11646.93,12304.84,13177.24,11978.79,61.53,61.53,0.32,0.00,0.00,0.00,0.00,0.00,0.00,-22.20,65.76
[28/12/2016 00:00],9995.87,10184.08,10460.66,10416.95,10170.71,8028.62,57.85,57.85,0.48,0.00,0.00,0.00,0.00,0.00,0.00,23.32,16.34
[29/12/2016 00:00],10626.90,10689.02,10652.29,10620.88,10763.58,8492.32,56.57,56.57,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-130.94,13.16
[30/12/2016 00:00],12486.98,12518.88,12425.67,12442.07,12729.84,11901.35,44.64,44.63,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-313.80,0.00
[31/12/2016 00:00],15398.85,15565.78,15943.66,16392.62,16152.94,16010.96,42.96,42.95,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-473.36,8.80
[01/01/2017 00:00],17582.69,17701.88,17913.63,17965.86,18238.74,15510.18,43.75,43.75,0.32,0.00,0.00,0.00,0.00,0.00,0.00,-366.44,10.34
[02/01/2017 00:00],13367.07,13518.51,13919.09,14487.22,14729.82,13251.94,48.04,48.04,0.32,0.00,0.00,0.00,0.00,0.00,0.00,-497.46,19.52
[03/01/2017 00:00],12652.35,12915.23,13328.79,13881.52,13968.29,15034.91,39.17,39.17,0.49,0.00,0.00,0.00,0.00,0.00,0.00,-910.72,10.22
[04/01/2017 00:00],12425.64,12548.97,12573.52,12702.13,14417.98,14055.79,43.15,43.15,0.49,0.00,0.00,0.00,0.00,0.00,0.00,-277.32,14.64
[05/01/2017 00:00],10410.84,10654.27,10742.93,10881.65,11542.85,11851.28,60.35,60.35,0.49,0.00,0.00,0.00,0.00,0.00,0.00,-43.56,37.18
[06/01/2017 00:00],11284.29,11562.56,11783.46,12288.18,12949.12,13367.03,69.47,69.46,0.49,0.00,0.00,0.00,0.00,0.00,0.00,232.30,59.52
[07/01/2017 00:00],11209.18,11439.80,11671.22,11646.57,11805.65,9670.33,61.55,61.55,0.49,0.00,0.00,0.00,0.00,0.00,0.00,-72.82,74.10
[08/01/2017 00:00],12409.50,12631.37,12896.05,13403.79,13685.76,12408.14,47.01,47.01,0.32,0.00,0.00,0.00,0.00,0.00,0.00,-610.14,37.56
[09/01/2017 00:00],13695.60,13614.46,13307.54,13066.95,14971.86,16828.81,43.51,43.51,0.49,0.00,0.00,0.00,0.00,0.00,0.00,-214.60,0.00
[10/01/2017 00:00],13515.79,13821.93,14165.39,14401.53,15719.93,16325.68,47.02,47.02,0.49,0.00,0.00,0.00,0.00,0.00,0.00,-221.22,36.14
[11/01/2017 00:00],14772.68,14819.86,14811.93,14851.97,15281.75,15740.46,50.33,50.33,0.49,0.00,0.00,0.00,0.00,0.00,0.00,50.46,0.00
[12/01/2017 00:00],14274.63,14474.51,14457.35,14370.16,15330.56,15212.45,72.78,72.78,0.49,0.00,0.00,0.00,0.00,0.00,0.00,448.76,92.42
[13/01/2017 00:00],15131.79,15224.94,14780.72,15457.24,16147.70,15792.86,62.19,62.19,0.49,0.00,0.00,0.00,0.00,0.00,0.00,187.36,6.68
[14/01/2017 00:00],13275.84,13346.07,13274.66,12376.27,15172.30,15086.84,61.09,61.09,0.49,0.00,0.00,0.00,0.00,0.00,0.00,147.36,35.48
[15/01/2017 00:00],14468.92,14475.36,14373.36,14168.49,13952.97,12180.52,58.90,58.90,0.32,0.00,0.00,0.00,0.00,0.00,0.00,-142.10,54.76
[16/01/2017 00:00],10949.32,11226.53,11296.15,11400.71,11504.20,10720.43,70.55,70.55,0.49,0.00,0.00,0.00,0.00,0.00,0.00,-359.18,30.22
