Date (WET),Derated Margin,Derated Margin (HR M-2),Derated Margin (HR M-4),Derated Margin (HR M-8),Derated Margin (Noon 0),Derated Margin (Noon 1),System Sell Price (SSP),System Buy Price (SBP),STOR Window,LOLP (Noon 0),LOLP (Noon 1),LOLP (HR M-8),LOLP (HR M-4),LOLP (HR M-2),LOLP (Loss of Load Probability),NIV (Net Imbalance Volume),Non-BM STOR Generation
,MW,MW,MW,MW,MW,MW,GBP/MWh,GBP/MWh,,%,%,%,%,%,%,MW,MW
[16/08/2017 00:00],13905.71,14120.71,14288.38,14715.20,13611.42,12468.88,35.31,35.31,0.50,0.00,0.00,0.00,0.00,0.00,0.00,-456.40,95.42
[17/08/2017 00:00],11897.92,11920.48,12438.08,13025.46,12383.78,11725.26,57.29,57.28,0.50,0.00,0.00,0.00,0.00,0.00,0.00,89.66,103.52
[18/08/2017 00:00],13848.26,13739.99,13972.25,14399.41,14154.27,14254.14,36.35,36.35,0.50,0.00,0.00,0.00,0.00,0.00,0.00,-304.54,0.00
[19/08/2017 00:00],15256.23,15398.89,15733.40,16479.97,15779.20,15291.34,21.20,21.20,0.50,0.00,0.00,0.00,0.00,0.00,0.00,-677.28,29.60
[20/08/2017 00:00],11881.28,11881.23,12077.27,12776.18,11448.17,8151.92,41.16,41.15,0.23,0.00,0.00,0.00,0.00,0.00,0.00,-126.14,51.48
[21/08/2017 00:00],8485.24,8646.98,8766.47,9357.81,8551.27,7408.21,44.17,44.17,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-99.04,26.32
[22/08/2017 00:00],9807.50,9924.05,10040.71,10452.64,10581.13,10052.48,50.93,50.93,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-132.38,47.92
[23/08/2017 00:00],11717.67,11935.34,12134.84,12443.57,11446.03,10695.60,50.25,50.25,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-5.74,38.46
[24/08/2017 00:00],10626.79,10757.20,10933.62,11288.05,10899.22,10376.52,38.20,38.19,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-367.02,0.00
[25/08/2017 00:00],10008.33,10045.76,10052.68,10323.04,10228.47,9657.76,39.53,39.53,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-383.36,0.00
[26/08/2017 00:00],9530.49,9583.86,9779.70,10239.92,9910.29,9518.93,46.05,46.05,0.48,0.00,0.00,0.00,0.00,0.00,0.00,36.96,60.60
[27/08/2017 00:00],11301.44,11119.73,11074.79,11054.04,10511.08,8529.11,39.84,39.83,0.17,0.00,0.00,0.00,0.00,0.00,0.00,-223.42,78.00
[28/08/2017 00:00],13023.86,13058.92,13078.53,13423.10,12655.46,11408.26,37.85,37.84,0.17,0.00,0.00,0.00,0.00,0.00,0.00,-178.68,64.14
[29/08/2017 00:00],10174.62,10295.37,10373.22,10693.87,10031.07,9556.87,60.11,60.10,0.48,0.00,0.00,0.00,0.00,0.00,0.00,109.82,63.94
[30/08/2017 00:00],10382.66,10543.16,10839.15,11453.77,10532.57,9509.20,35.83,35.82,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-477.02,24.22
[31/08/2017 00:00],9937.87,9953.48,9989.83,10114.98,9341.71,8707.31,42.57,42.56,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-191.78,57.10
[01/09/2017 00:00],10575.71,10664.50,10806.66,11079.49,9706.92,8422.21,38.87,38.86,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-363.62,38.68
[02/09/2017 00:00],11686.48,11807.83,12097.05,12774.39,11804.67,11104.64,29.93,29.92,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-513.74,23.00
[03/09/2017 00:00],15126.19,15142.75,15380.06,15861.95,15560.91,13452.64,39.48,39.47,0.18,0.00,0.00,0.00,0.00,0.00,0.00,-168.14,18.56
[04/09/2017 00:00],10693.88,10979.39,11408.85,12233.33,11325.76,11785.20,59.14,59.13,0.48,0.00,0.00,0.00,0.00,0.00,0.00,221.32,63.76
[05/09/2017 00:00],11064.46,11111.85,11221.81,11501.93,11259.20,11648.26,50.24,50.24,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-26.44,35.52
[06/09/2017 00:00],13524.13,13622.00,13873.26,14508.18,13951.61,12459.56,37.42,37.41,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-445.16,1.46
[07/09/2017 00:00],11792.81,11918.84,12208.55,12850.49,12075.46,11506.05,43.27,43.26,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-270.40,7.46
[08/09/2017 00:00],12344.62,12511.08,12766.67,13190.66,12746.80,11923.82,41.09,41.08,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-398.94,45.38
[09/09/2017 00:00],12106.51,12168.11,12372.76,13178.27,12489.35,11247.52,37.71,37.70,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-321.68,0.00
[10/09/2017 00:00],14242.74,14241.64,14384.35,15055.38,14152.21,13104.97,53.02,53.01,0.18,0.00,0.00,0.00,0.00,0.00,0.00,165.50,8.76
[11/09/2017 00:00],13346.72,13462.50,13535.01,14123.65,13248.69,14818.12,32.09,32.08,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-266.66,10.42
[12/09/2017 00:00],10420.98,10561.94,11111.00,11990.20,11335.39,12248.71,53.81,53.80,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-88.16,82.46
[13/09/2017 00:00],10392.58,10403.35,10593.09,11249.66,11534.16,11029.69,54.78,54.77,0.48,0.00,0.00,0.00,0.00,0.00,0.00,68.98,36.18
[14/09/2017 00:00],12149.80,12290.40,12602.03,13443.83,12786.94,11948.15,43.51,43.50,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-326.64,35.48
[15/09/2017 00:00],10137.71,10409.81,10831.76,11725.94,10846.56,11846.35,55.19,55.18,0.48,0.00,0.00,0.00,0.00,0.00,0.00,56.52,42.68
[16/09/2017 00:00],10231.04,10417.51,10632.52,11228.70,10726.79,10026.26,55.32,55.31,0.48,0.00,0.00,0.00,0.00,0.00,0.00,211.46,107.14
[17/09/2017 00:00],10448.84,10598.94,10804.48,11058.19,10167.12,8506.03,56.70,56.70,0.18,0.00,0.00,0.00,0.00,0.00,0.00,143.44,31.96
[18/09/2017 00:00],8917.56,9223.33,9668.74,9949.73,8655.85,7038.50,52.55,52.56,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-128.36,90.52
[19/09/2017 00:00],10179.56,10251.33,10344.50,10609.81,9646.86,8063.71,36.77,36.77,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-470.90,5.76
[20/09/2017 00:00],11691.91,11829.20,11959.88,12239.94,11591.96,10375.58,55.95,55.95,0.48,0.00,0.00,0.00,0.00,0.00,0.00,37.92,59.84
[21/09/2017 00:00],10623.20,10830.11,11129.39,11615.07,11511.45,9869.57,55.34,55.34,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-32.92,41.30
[22/09/2017 00:00],10681.71,10793.11,11104.22,12071.90,11651.69,12352.37,38.62,38.62,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-354.64,52.88
[23/09/2017 00:00],12603.64,12704.51,13042.72,13663.93,13287.59,13718.73,39.54,39.54,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-323.86,37.96
[24/09/2017 00:00],13073.91,13223.86,13330.00,13704.51,13477.87,11130.91,57.19,57.19,0.18,0.00,0.00,0.00,0.00,0.00,0.00,300.52,42.60
[25/09/2017 00:00],9112.19,9276.02,9456.62,9812.04,8496.99,7181.38,53.74,53.74,0.44,0.00,0.00,0.00,0.00,0.00,0.00,84.12,89.64
[26/09/2017 00:00],9998.10,10102.99,10370.84,10955.11,10044.89,10488.38,40.16,40.16,0.44,0.00,0.00,0.00,0.00,0.00,0.00,-292.18,0.00
[27/09/2017 00:00],12670.13,12893.65,13215.34,13753.19,13557.77,14692.81,48.42,48.43,0.44,0.00,0.00,0.00,0.00,0.00,0.00,139.28,159.80
[28/09/2017 00:00],10099.64,10248.75,10538.93,11059.29,10538.19,10957.98,43.94,43.95,0.44,0.00,0.00,0.00,0.00,0.00,0.00,-233.94,43.60
[29/09/2017 00:00],13227.84,13387.42,13713.90,14449.69,13944.22,12927.29,44.36,44.36,0.44,0.00,0.00,0.00,0.00,0.00,0.00,-83.68,101.60
[30/09/2017 00:00],10734.12,10777.38,10934.71,11364.17,11384.09,12187.75,46.19,46.20,0.44,0.00,0.00,0.00,0.00,0.00,0.00,-271.96,21.80
[01/10/2017 00:00],14085.48,14309.29,14891.42,15987.14,15528.43,16018.20,41.22,41.22,0.22,0.00,0.00,0.00,0.00,0.00,0.00,-83.74,30.14
[02/10/2017 00:00],15142.19,15211.59,15187.38,15515.20,15863.28,15728.82,30.43,30.43,0.44,0.00,0.00,0.00,0.00,0.00,0.00,-212.12,47.56
[03/10/2017 00:00],15520.59,15603.96,15804.85,16387.37,16202.46,13896.59,33.16,33.16,0.44,0.00,0.00,0.00,0.00,0.00,0.00,-357.98,30.34
[04/10/2017 00:00],14447.47,14675.34,14882.66,15198.85,14931.57,14626.48,53.79,53.79,0.44,0.00,0.00,0.00,0.00,0.00,0.00,287.16,19.50
[05/10/2017 00:00],16659.85,16759.92,17025.96,17544.87,16163.43,15906.50,50.07,50.07,0.44,0.00,0.00,0.00,0.00,0.00,0.00,51.78,15.98
[06/10/2017 00:00],14192.38,14353.61,14594.87,15074.32,13972.53,12406.40,55.29,55.29,0.44,0.00,0.00,0.00,0.00,0.00,0.00,261.38,142.26
[07/10/2017 00:00],16576.33,16624.36,16800.81,17011.30,17717.05,16935.49,48.60,48.60,0.44,0.00,0.00,0.00,0.00,0.00,0.00,34.00,0.00
[08/10/2017 00:00],13974.82,14029.64,14089.56,14182.42,12945.00,11267.20,49.61,49.61,0.22,0.00,0.00,0.00,0.00,0.00,0.00,38.42,4.06
[09/10/2017 00:00],11027.69,11326.85,11710.11,12253.07,10622.87,9077.27,58.57,58.57,0.44,0.00,0.00,0.00,0.00,0.00,0.00,183.84,77.64
[10/10/2017 00:00],14259.26,14548.78,14798.52,15231.32,14972.71,15059.42,34.29,34.29,0.44,0.00,0.00,0.00,0.00,0.00,0.00,-830.66,9.38
[11/10/2017 00:00],15937.88,16164.70,16361.62,16344.55,16324.20,16139.94,43.06,43.06,0.44,0.00,0.00,0.00,0.00,0.00,0.00,-153.70,14.10
[12/10/2017 00:00],14603.45,14712.56,14801.02,14961.98,19432.85,15410.26,31.98,31.98,0.44,0.00,0.00,0.00,0.00,0.00,0.00,-618.38,104.26
[13/10/2017 00:00],14240.62,14399.98,14662.44,15008.15,10147.41,23019.92,53.05,53.05,0.44,0.00,0.00,0.00,0.00,0.00,0.00,240.38,7.42
[14/10/2017 00:00],13323.08,13455.47,13637.80,14243.23,12745.70,9527.47,40.78,40.78,0.44,0.00,0.00,0.00,0.00,0.00,0.00,-146.28,47.96
[15/10/2017 00:00],15153.62,15272.28,15539.58,16141.19,14194.52,11829.52,48.46,48.46,0.22,0.00,0.00,0.00,0.00,0.00,0.00,-15.80,88.36
[16/10/2017 00:00],12120.73,12278.48,12700.07,13124.33,12018.09,12180.10,60.70,60.70,0.44,0.00,0.00,0.00,0.00,0.00,0.00,198.90,72.76
[17/10/2017 00:00],15183.57,15375.53,15562.24,15724.04,15222.60,11939.38,38.59,38.60,0.44,0.00,0.00,0.00,0.00,0.00,0.00,-432.34,87.98
[18/10/2017 00:00],10673.92,10995.58,11205.13,11590.66,11190.91,11657.13,62.67,62.67,0.44,0.00,0.00,0.00,0.00,0.00,0.00,-31.66,77.94
[19/10/2017 00:00],11723.73,11978.69,12289.75,12892.31,12848.18,14906.68,54.81,54.81,0.44,0.00,0.00,0.00,0.00,0.00,0.00,-45.38,59.72
[20/10/2017 00:00],12168.93,12401.57,12608.86,13172.02,12997.09,14925.32,38.75,38.75,0.44,0.00,0.00,0.00,0.00,0.00,0.00,-500.14,10.00
[21/10/2017 00:00],18224.74,18356.79,18888.77,19969.36,19054.47,19103.45,38.07,38.07,0.44,0.00,0.00,0.00,0.00,0.00,0.00,-418.86,0.00
[22/10/2017 00:00],17801.93,17808.30,17944.93,18749.86,18036.88,17169.56,37.97,37.97,0.22,0.00,0.00,0.00,0.00,0.00,0.00,-252.62,76.48
[23/10/2017 00:00],12021.79,12310.60,12784.90,13677.36,13848.91,13463.41,49.70,49.70,0.44,0.00,0.00,0.00,0.00,0.00,0.00,-100.98,134.94
[24/10/2017 00:00],13145.50,13323.38,13620.29,13982.33,14900.83,17165.89,40.66,40.66,0.44,0.00,0.00,0.00,0.00,0.00,0.00,-326.24,28.18
[25/10/2017 00:00],14028.31,14171.07,14483.52,14735.53,15039.52,15792.63,34.49,34.49,0.44,0.00,0.00,0.00,0.00,0.00,0.00,-840.38,51.44
[26/10/2017 00:00],12080.06,12158.45,12220.52,12421.51,11736.55,11207.65,36.51,36.51,0.44,0.00,0.00,0.00,0.00,0.00,0.00,-453.70,116.72
[27/10/2017 00:00],14113.53,14332.31,14655.62,15011.67,14722.24,14593.12,38.42,38.43,0.44,0.00,0.00,0.00,0.00,0.00,0.00,-654.86,83.10
[28/10/2017 00:00],20313.91,20427.80,20739.76,21423.91,21100.73,21444.15,36.26,36.27,0.44,0.00,0.00,0.00,0.00,0.00,0.00,-490.28,9.88
[29/10/2017 00:00],25288.12,24961.38,25331.52,25612.55,25532.07,25883.61,-53.51,-53.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1935.66,0.00
[30/10/2017 00:00],11197.83,11420.05,11652.18,11965.21,11841.98,10873.56,47.84,47.84,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-214.70,34.56
[31/10/2017 00:00],15198.78,15451.32,15666.67,15893.46,16156.69,16918.96,51.73,51.74,0.48,0.00,0.00,0.00,0.00,0.00,0.00,62.98,60.76
[01/11/2017 00:00],14667.30,14872.68,15324.81,15336.10,15637.85,15526.24,47.27,47.27,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-65.68,109.84
[02/11/2017 00:00],12655.25,12893.00,13119.81,13439.13,11927.03,10910.18,55.79,55.79,0.48,0.00,0.00,0.00,0.00,0.00,0.00,2.26,32.34
[03/11/2017 00:00],12408.43,12594.62,12753.68,12958.92,13772.78,13218.59,40.40,40.40,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-631.68,39.96
[04/11/2017 00:00],18362.42,18442.04,18785.26,19257.45,18166.12,17638.49,41.83,41.84,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-519.64,0.00
[05/11/2017 00:00],18983.58,19117.67,19599.33,20347.87,18746.71,16269.28,36.58,36.58,0.28,0.00,0.00,0.00,0.00,0.00,0.00,-466.88,16.14
[06/11/2017 00:00],14709.16,15137.11,15592.90,16041.76,15853.56,17336.96,38.13,38.13,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-600.98,46.68
[07/11/2017 00:00],14287.89,15204.00,15033.08,15198.14,15398.33,16953.23,52.40,52.40,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-179.04,19.50
[08/11/2017 00:00],13345.52,13529.57,13866.20,14200.76,14390.33,16835.15,44.50,44.51,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-334.66,16.88
[09/11/2017 00:00],15883.59,16155.91,16608.36,17297.56,17699.15,19279.81,46.50,46.50,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-276.32,75.92
[10/11/2017 00:00],18518.22,18516.47,18530.72,18401.98,20184.66,20878.87,43.05,43.05,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-474.08,0.00
[11/11/2017 00:00],14424.57,14582.59,14890.80,15612.35,16484.53,17058.28,52.86,52.86,0.48,0.00,0.00,0.00,0.00,0.00,0.00,97.70,54.76
[12/11/2017 00:00],19698.79,19684.27,19839.70,20065.09,19972.48,19441.94,47.78,47.78,0.28,0.00,0.00,0.00,0.00,0.00,0.00,-176.42,39.34
[13/11/2017 00:00],14480.49,14755.12,14971.56,14626.40,14407.01,15016.50,45.63,45.63,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-307.00,20.26
[14/11/2017 00:00],14317.04,14642.77,15016.11,15149.68,15278.05,13172.83,38.10,38.11,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-670.70,0.00
[15/11/2017 00:00],13882.51,14258.19,14476.76,14423.35,15021.84,14441.30,52.89,52.89,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-181.14,15.84
[16/11/2017 00:00],16608.63,16936.20,17416.87,18612.61,19126.72,19693.73,43.60,43.60,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-349.88,23.30
[17/11/2017 00:00],14395.03,14655.84,14898.87,15210.67,16086.72,17554.81,51.06,51.07,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-36.74,82.34
[18/11/2017 00:00],13559.88,13729.49,13818.26,14053.96,17143.55,16479.07,50.37,50.37,0.48,0.00,0.00,0.00,0.00,0.00,0.00,194.26,241.84
[19/11/2017 00:00],13549.61,13657.68,13828.00,13782.65,14545.28,13476.48,48.99,49.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00,-73.64,31.26
[20/11/2017 00:00],13244.92,13553.44,13847.06,14177.67,15123.78,14910.83,46.81,46.82,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-253.64,0.08
[21/11/2017 00:00],14853.52,15038.10,15298.05,15502.03,16043.37,17885.22,45.94,45.94,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-451.06,78.04
[22/11/2017 00:00],15962.35,16292.37,16539.00,17124.52,18608.55,20059.48,59.17,59.17,0.48,0.00,0.00,0.00,0.00,0.00,0.00,284.08,29.84
[23/11/2017 00:00],16458.31,16584.32,16912.92,17750.09,19136.39,20592.62,49.67,49.68,0.48,0.00,0.00,0.00,0.00,0.00,0.00,66.26,70.34
[24/11/2017 00:00],13391.15,13655.28,13984.43,14485.06,13538.06,14207.92,45.70,45.71,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-183.14,61.26
[25/11/2017 00:00],18372.65,18413.25,18550.60,18891.73,18882.00,19314.30,52.01,52.02,0.48,0.00,0.00,0.00,0.00,0.00,0.00,44.66,5.92
[26/11/2017 00:00],20424.64,20564.44,20684.88,20969.83,20802.73,19379.34,58.50,58.51,0.28,0.00,0.00,0.00,0.00,0.00,0.00,292.82,66.22
[27/11/2017 00:00],18424.22,18566.52,18651.63,18179.56,18827.84,18039.60,48.37,48.38,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-174.58,33.58
[28/11/2017 00:00],16893.77,17154.16,17402.17,17583.10,17610.50,16017.48,54.87,54.88,0.48,0.00,0.00,0.00,0.00,0.00,0.00,219.70,155.30
[29/11/2017 00:00],15781.40,16063.96,16327.37,16330.93,17543.68,16815.44,58.20,58.21,0.48,0.00,0.00,0.00,0.00,0.00,0.00,233.60,21.42
[30/11/2017 00:00],16042.74,16185.77,16372.82,16520.76,17452.43,18103.82,56.63,56.63,0.48,0.00,0.00,0.00,0.00,0.00,0.00,192.30,20.14
[01/12/2017 00:00],12890.23,13475.79,13628.76,13712.30,15082.75,15263.96,56.35,56.36,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-45.22,3.68
[02/12/2017 00:00],13608.54,13751.46,14025.42,14682.91,15808.86,15991.11,54.23,54.24,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-52.92,51.88
[03/12/2017 00:00],16134.09,16399.86,16646.95,16950.04,17629.71,17232.98,59.42,59.42,0.28,0.00,0.00,0.00,0.00,0.00,0.00,343.94,114.60
[04/12/2017 00:00],13238.41,13568.24,13894.94,14112.27,15717.80,16505.13,51.36,51.37,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-412.82,43.76
[05/12/2017 00:00],16262.48,16483.69,16644.48,16767.44,18540.33,20785.02,53.65,53.66,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-103.12,66.26
[06/12/2017 00:00],18724.48,19000.02,19269.22,19208.96,19594.85,20202.11,51.39,51.40,0.48,0.00,0.00,0.00,0.00,0.00,0.00,78.42,82.70
[07/12/2017 00:00],19082.66,19278.11,19461.99,19715.52,20583.82,19080.28,51.75,51.75,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-106.32,89.66
[08/12/2017 00:00],17450.28,17623.26,18016.43,18851.85,19299.62,19508.13,59.78,59.78,0.48,0.00,0.00,0.00,0.00,0.00,0.00,295.42,93.76
[09/12/2017 00:00],14860.87,15227.15,15694.05,16070.48,17156.75,16912.26,64.44,64.45,0.48,0.00,0.00,0.00,0.00,0.00,0.00,345.20,80.58
[10/12/2017 00:00],14144.29,14416.37,14703.30,15131.45,14842.09,12810.51,67.60,67.60,0.28,0.00,0.00,0.00,0.00,0.00,0.00,423.34,87.76
[11/12/2017 00:00],11959.00,12169.54,12204.20,12001.25,11439.19,10994.71,66.82,66.83,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-122.20,68.50
[12/12/2017 00:00],12103.76,12302.24,12450.99,12222.12,12224.76,12524.23,76.40,76.41,0.48,0.00,0.00,0.00,0.00,0.00,0.00,197.22,93.66
[13/12/2017 00:00],16762.13,17081.00,17324.37,17622.81,17655.02,17219.89,75.69,75.70,0.48,0.00,0.00,0.00,0.00,0.00,0.00,584.84,71.04
[14/12/2017 00:00],15684.85,15894.37,16306.89,17034.57,17345.97,15598.81,49.90,49.90,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-395.26,10.50
[15/12/2017 00:00],16137.19,16342.47,16521.87,16825.31,16322.08,16515.51,53.42,53.42,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-271.84,26.20
[16/12/2017 00:00],15230.83,15401.27,15634.36,15840.12,15850.92,15679.79,68.54,68.55,0.48,0.00,0.00,0.00,0.00,0.00,0.00,398.64,75.74
[17/12/2017 00:00],18240.93,18380.51,18672.47,19076.68,18591.32,17967.22,61.02,61.03,0.28,0.00,0.00,0.00,0.00,0.00,0.00,212.10,11.04
[18/12/2017 00:00],13510.35,13709.75,13746.05,13772.63,12962.33,11873.54,68.28,68.29,0.48,0.00,0.00,0.00,0.00,0.00,0.00,175.64,75.54
[19/12/2017 00:00],14654.44,14818.26,14952.72,14776.01,15141.54,15089.53,57.54,57.55,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-26.72,14.84
[20/12/2017 00:00],13230.33,13428.93,13537.23,13757.36,14418.97,15596.41,56.50,56.51,0.48,0.00,0.00,0.00,0.00,0.00,0.00,222.48,72.08
[21/12/2017 00:00],12615.36,12821.17,12925.16,13222.94,13576.14,15172.56,51.42,51.43,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-282.96,0.12
[22/12/2017 00:00],15890.83,16119.28,16442.62,17087.46,17098.60,18895.32,48.07,48.08,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-462.92,64.96
[23/12/2017 00:00],19311.87,19457.03,19909.00,20511.96,21148.84,22328.41,49.37,49.38,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-44.58,99.50
[24/12/2017 00:00],19171.98,19163.75,19280.70,19770.56,20450.36,20391.08,42.49,42.49,0.28,0.00,0.00,0.00,0.00,0.00,0.00,-412.26,0.00
[25/12/2017 00:00],18261.20,18455.91,18565.55,18916.31,18395.00,17357.10,43.76,43.77,0.28,0.00,0.00,0.00,0.00,0.00,0.00,-264.38,10.96
[26/12/2017 00:00],17068.24,17240.28,17471.36,17770.35,17759.50,14873.16,55.35,55.35,0.28,0.00,0.00,0.00,0.00,0.00,0.00,19.00,54.12
[27/12/2017 00:00],16087.50,16257.49,16635.61,17437.47,16774.00,15519.85,55.26,55.26,0.48,0.00,0.00,0.00,0.00,0.00,0.00,61.18,100.46
[28/12/2017 00:00],13710.83,13888.53,14207.60,14469.69,13700.63,11715.03,61.41,61.41,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-132.02,51.92
[29/12/2017 00:00],15491.46,15602.43,15656.66,15700.74,13731.41,11602.40,61.50,61.50,0.48,0.00,0.00,0.00,0.00,0.00,0.00,190.08,30.16
[30/12/2017 00:00],18058.49,18196.09,18540.45,19304.02,17311.81,16507.75,58.32,58.32,0.48,0.00,0.00,0.00,0.00,0.00,0.00,486.94,39.88
[31/12/2017 00:00],19300.09,19367.24,19571.12,19817.61,20352.98,19490.13,29.47,29.47,0.28,0.00,0.00,0.00,0.00,0.00,0.00,-376.70,88.88
[01/01/2018 00:00],19136.46,19363.19,19644.31,20071.83,19087.55,18187.49,51.03,51.04,0.28,0.00,0.00,0.00,0.00,0.00,0.00,15.64,69.88
[02/01/2018 00:00],14367.43,14374.58,14481.56,14939.28,14634.46,14477.98,47.86,47.87,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-571.86,26.26
[03/01/2018 00:00],13721.15,13935.03,14407.55,14904.30,14895.91,15523.20,49.90,49.91,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-391.36,0.06
[04/01/2018 00:00],11868.60,12123.43,12494.26,13077.61,10932.67,12508.48,44.45,44.46,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-470.42,15.68
[05/01/2018 00:00],10881.83,11004.71,11292.43,11536.54,9807.36,7769.27,61.21,61.22,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-172.26,40.92
[06/01/2018 00:00],13617.24,13635.98,13784.32,14138.25,14855.13,12444.01,51.33,51.35,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-87.24,37.10
[07/01/2018 00:00],14137.82,14112.80,13870.76,13852.70,13353.88,11050.20,51.65,51.66,0.28,0.00,0.00,0.00,0.00,0.00,0.00,-157.02,25.64
[08/01/2018 00:00],15640.45,16161.85,16736.76,17136.87,15250.54,14234.08,64.31,64.32,0.48,0.00,0.00,0.00,0.00,0.00,0.00,59.66,138.26
[09/01/2018 00:00],13931.96,14297.44,14683.49,15066.23,13673.84,11932.99,57.40,57.40,0.48,0.00,0.00,0.00,0.00,0.00,0.00,69.98,30.96
[10/01/2018 00:00],13079.19,13295.38,13492.39,13651.35,12783.95,10607.10,44.27,44.28,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-599.18,17.26
[11/01/2018 00:00],11480.75,11717.20,11883.09,12232.70,11148.27,10261.49,57.54,57.55,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-232.04,30.34
[12/01/2018 00:00],12584.94,12863.22,13153.86,13726.64,13372.88,15930.02,41.74,41.75,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-459.78,26.18
[13/01/2018 00:00],14975.81,15279.72,15670.68,16122.51,15746.98,18575.83,46.76,46.77,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-307.82,92.34
[14/01/2018 00:00],15059.44,15345.01,15816.82,16194.33,15341.86,14972.98,33.07,33.09,0.28,0.00,0.00,0.00,0.00,0.00,0.00,-696.60,74.26
[15/01/2018 00:00],16807.46,17232.35,17630.18,17917.29,17795.22,17168.92,55.51,55.52,0.48,0.00,0.00,0.00,0.00,0.00,0.00,201.10,78.60
[16/01/2018 00:00],18157.42,18400.76,18700.50,18977.75,18738.64,17054.40,61.00,61.01,0.48,0.00,0.00,0.00,0.00,0.00,0.00,407.46,7.88
[17/01/2018 00:00],16834.04,16938.62,17170.75,17644.60,15994.52,15876.98,53.45,53.46,0.48,0.00,0.00,0.00,0.00,0.00,0.00,90.66,37.02
[18/01/2018 00:00],14483.64,14618.21,14873.64,15310.20,13611.32,12503.86,62.26,62.27,0.48,0.00,0.00,0.00,0.00,0.00,0.00,316.18,116.14
[19/01/2018 00:00],14815.83,15117.09,15522.24,16231.23,14428.39,14721.52,53.27,53.28,0.48,0.00,0.00,0.00,0.00,0.00,0.00,2.94,57.04
[20/01/2018 00:00],11774.25,11880.65,11884.80,12267.63,10977.78,11094.86,56.57,56.57,0.48,0.00,0.00,0.00,0.00,0.00,0.00,-85.86,55.68
