Date (WET),Capacity,Total Accepted Balancing Level,Wind Outturn,National Grid Forecast,EnAppSys Forecast Trend-Adjusted,EnAppSys Forecast Unadjusted
,MW,MW,MW,MW,MW,MW
[19/12/2020 04:30],17983.0,0.0,10855.0,11800.0,10525.2,8743.8
[19/12/2020 05:00],17983.0,0.0,11176.0,11991.0,10631.3,8814.6
[19/12/2020 05:30],17983.0,63.2,11188.0,11991.0,10875.2,8922.2
[19/12/2020 06:00],17983.0,278.9,11358.0,12242.0,11087.5,8279.0
[19/12/2020 06:30],17983.0,287.9,11433.0,12242.0,10976.0,8273.9
[19/12/2020 07:00],17983.0,252.3,11534.0,12428.0,11106.5,8227.9
[19/12/2020 07:30],17983.0,232.6,11813.0,12428.0,11185.2,8161.8
[19/12/2020 08:00],17983.0,306.8,11621.0,12668.0,11426.7,8125.1
[19/12/2020 08:30],17983.0,26.7,11909.0,12668.0,11298.8,8075.1
[19/12/2020 09:00],17983.0,0.0,12288.0,12773.0,11358.6,8020.9
[19/12/2020 09:30],17983.0,0.0,12348.0,12773.0,11972.9,8140.8
[19/12/2020 10:00],17983.0,0.0,12628.0,12953.0,12399.6,8523.0
[19/12/2020 10:30],17983.0,0.0,12698.0,12953.0,12453.9,8897.4
[19/12/2020 11:00],17983.0,31.0,12997.0,13005.0,12586.9,9163.4
[19/12/2020 11:30],17983.0,329.9,12585.0,13005.0,12876.8,9732.3
[19/12/2020 12:00],17983.0,347.5,12550.0,13074.0,12609.2,9966.3
[19/12/2020 12:30],17983.0,410.6,12729.0,13074.0,12462.9,10156.5
[19/12/2020 13:00],17983.0,660.5,12901.0,13124.0,12686.2,10335.5
[19/12/2020 13:30],17983.0,707.1,12657.0,13124.0,12775.1,10556.6
[19/12/2020 14:00],17983.0,644.5,12907.0,13202.0,12705.5,10693.6
[19/12/2020 14:30],17983.0,566.7,12965.0,13202.0,12853.3,10903.6
