Date (WET),Capacity,Total Accepted Balancing Level,Wind Outturn,National Grid Forecast,EnAppSys Forecast Trend-Adjusted,EnAppSys Forecast Unadjusted
,MW,MW,MW,MW,MW,MW
[18/10/2018 07:00],12051.0,0.0,2078.5,2394.0,1946.5,1145.0
[18/10/2018 07:30],12051.0,0.0,2135.3,2394.0,1987.9,1137.3
[18/10/2018 08:00],12051.0,0.0,2135.7,2295.0,1995.7,1105.6
[18/10/2018 08:30],12051.0,0.0,1877.7,2295.0,2008.6,1088.4
[18/10/2018 09:00],12051.0,0.0,1743.2,2225.0,1753.2,1079.8
[18/10/2018 09:30],12051.0,0.0,1691.7,2225.0,1646.8,1069.7
[18/10/2018 10:00],12051.0,0.0,1138.0,2111.0,1643.3,1071.6
[18/10/2018 10:30],12051.0,0.0,0.0,2111.0,1555.5,1052.9
[18/10/2018 11:00],12051.0,0.0,276.0,1950.0,1438.2,997.6
[18/10/2018 11:30],12051.0,0.0,1637.0,1950.0,1336.5,961.8
[18/10/2018 12:00],12051.0,0.0,1604.5,1811.0,1386.7,943.2
[18/10/2018 12:30],12051.0,0.0,1548.0,1811.0,1235.4,924.2
[18/10/2018 13:00],12051.0,0.0,1566.2,1698.0,1162.6,906.9
[18/10/2018 13:30],12051.0,0.0,1530.7,1698.0,1100.5,878.6
[18/10/2018 14:00],12051.0,0.0,1499.8,1645.0,1452.6,864.5
[18/10/2018 14:30],12051.0,0.0,1449.7,1645.0,1347.5,837.5
[18/10/2018 15:00],12051.0,0.0,1299.0,1603.0,1378.5,820.0
[18/10/2018 15:30],12051.0,0.0,1330.5,1603.0,1220.9,799.3
[18/10/2018 16:00],12051.0,0.0,1432.0,1521.0,1280.1,781.8
[18/10/2018 16:30],12051.0,0.0,1520.8,1521.0,1390.2,775.2
[18/10/2018 17:00],12051.0,0.0,1458.5,1511.0,1442.2,774.5
[18/10/2018 17:30],12051.0,0.0,1401.2,1511.0,1371.1,777.3
[18/10/2018 18:00],12051.0,0.0,1383.8,1571.0,1336.7,718.2
[18/10/2018 18:30],12051.0,0.0,1386.8,1571.0,1334.9,725.0
[18/10/2018 19:00],12051.0,0.0,1379.8,1646.0,1347.8,732.0
[18/10/2018 19:30],12051.0,0.0,1395.7,1646.0,1300.2,737.6
[18/10/2018 20:00],12051.0,0.0,1406.7,1726.0,1350.9,748.0
[18/10/2018 20:30],12051.0,0.0,1478.3,1726.0,1371.2,763.2
[18/10/2018 21:00],12051.0,0.0,1498.2,1572.0,1447.7,779.2
[18/10/2018 21:30],12051.0,0.0,1510.0,1572.0,1486.9,802.3
[18/10/2018 22:00],12051.0,0.0,1652.8,1633.0,1485.4,824.8
[18/10/2018 22:30],12051.0,0.0,1841.0,1633.0,1474.3,842.0
[18/10/2018 23:00],12051.0,0.0,1918.0,1732.0,1791.0,899.1
[18/10/2018 23:30],12051.0,0.0,2025.3,1732.0,1903.8,938.8
[19/10/2018 00:00],12051.0,1.9,2234.2,1891.0,1976.0,967.8
[19/10/2018 00:30],12051.0,10.0,2316.0,1891.0,2248.9,1146.7
[19/10/2018 01:00],12051.0,10.5,2530.5,2122.0,2280.3,1186.5
[19/10/2018 01:30],12051.0,11.0,2598.8,2122.0,2505.8,1231.3
[19/10/2018 02:00],12051.0,12.0,2565.5,2420.0,2564.5,1284.5
[19/10/2018 02:30],12051.0,13.0,2552.8,2420.0,2571.5,1357.6
[19/10/2018 03:00],12051.0,13.0,2579.8,2618.0,2506.8,1400.9
[19/10/2018 03:30],12051.0,14.0,2655.3,2618.0,2600.9,1488.0
[19/10/2018 04:00],12051.0,8.4,2556.0,2741.0,2614.0,1549.3
[19/10/2018 04:30],12051.0,14.5,2617.7,2741.0,2601.0,1664.3
[19/10/2018 05:00],12051.0,15.0,2738.7,2772.0,2751.1,1836.2
[19/10/2018 05:30],12051.0,15.0,2898.3,2772.0,2848.4,2054.2
[19/10/2018 06:00],12051.0,15.5,2955.7,2973.0,2976.2,2241.6
[19/10/2018 06:30],12051.0,14.1,3200.0,2973.0,3091.5,1995.7
[19/10/2018 07:00],12051.0,0.0,3702.8,3160.0,3261.8,2158.8
[19/10/2018 07:30],12051.0,0.0,3800.7,3160.0,3851.3,2321.8
[19/10/2018 08:00],12051.0,0.0,3937.8,3325.0,3787.0,2436.1
[19/10/2018 08:30],12051.0,0.0,3744.5,3325.0,4056.4,2591.3
[19/10/2018 09:00],12051.0,0.0,3461.3,3431.0,3735.1,2675.4
[19/10/2018 09:30],12051.0,0.0,3415.5,3431.0,3899.0,2859.9
[19/10/2018 10:00],12051.0,0.0,3579.7,3668.0,3539.0,3016.8
[19/10/2018 10:30],12051.0,0.0,3693.2,3668.0,3639.9,3069.9
[19/10/2018 11:00],12051.0,0.0,3848.8,3849.0,3605.7,2992.4
[19/10/2018 11:30],12051.0,0.0,3776.7,3849.0,3856.7,2945.4
[19/10/2018 12:00],12051.0,0.0,3616.0,3796.0,3762.6,2924.5
[19/10/2018 12:30],12051.0,0.0,3419.5,3796.0,3631.0,3235.0
[19/10/2018 13:00],12051.0,0.0,3427.0,3718.0,3475.0,3287.0
[19/10/2018 13:30],12051.0,0.0,3505.0,3718.0,3411.3,3213.2
[19/10/2018 14:00],12051.0,0.0,3499.2,3568.0,3339.5,2985.8
[19/10/2018 14:30],12051.0,0.0,3357.0,3568.0,3258.7,2739.4
[19/10/2018 15:00],12051.0,0.0,3237.2,3098.0,3163.2,2564.0
[19/10/2018 15:30],12051.0,0.0,3203.3,3098.0,2943.2,2305.5
[19/10/2018 16:00],12051.0,0.0,2867.8,2620.0,2963.1,2118.3
[19/10/2018 16:30],12051.0,0.0,2460.2,2620.0,2621.9,1940.0
[19/10/2018 17:00],12051.0,0.0,2298.0,2050.0,2104.2,1689.3
[19/10/2018 17:30],12051.0,0.0,1832.8,2050.0,1945.3,1414.3
[19/10/2018 18:00],12051.0,0.0,1663.5,1636.0,1581.7,1230.3
[19/10/2018 18:30],12051.0,0.0,1480.5,1636.0,1385.8,1068.0
[19/10/2018 19:00],12051.0,0.0,1196.3,1366.0,1221.7,885.7
[19/10/2018 19:30],12051.0,0.0,976.8,1366.0,1043.4,790.8
[19/10/2018 20:00],12051.0,0.0,917.0,1297.0,937.8,775.6
[19/10/2018 20:30],12051.0,0.0,981.0,1297.0,872.8,733.7
[19/10/2018 21:00],12051.0,0.0,1080.8,1076.0,881.9,711.8
[19/10/2018 21:30],12051.0,0.0,1025.3,1076.0,892.8,688.3
[19/10/2018 22:00],12051.0,0.0,1042.2,1081.0,871.2,676.3
[19/10/2018 22:30],12051.0,0.0,1077.0,1081.0,931.9,684.0
[19/10/2018 23:00],12051.0,0.0,1112.7,1106.0,1013.1,725.5
[19/10/2018 23:30],12051.0,0.0,1147.8,1106.0,1053.5,773.3
[20/10/2018 00:00],12051.0,0.0,1164.5,1202.0,1096.9,708.3
[20/10/2018 00:30],12051.0,0.0,1296.8,1202.0,1142.2,765.4
[20/10/2018 01:00],12051.0,0.0,1357.2,1358.0,1320.7,810.0
[20/10/2018 01:30],12051.0,0.0,1599.7,1358.0,1369.2,821.8
[20/10/2018 02:00],12051.0,0.0,1867.3,1578.0,1595.8,821.0
[20/10/2018 02:30],12051.0,0.0,2039.5,1578.0,1878.7,849.7
[20/10/2018 03:00],12051.0,0.0,2224.3,1911.0,1999.3,856.8
[20/10/2018 03:30],12051.0,3.8,2294.0,1911.0,2217.0,886.2
[20/10/2018 04:00],12051.0,8.0,2388.7,2172.0,2167.8,907.4
[20/10/2018 04:30],12051.0,7.2,2482.7,2172.0,2374.8,980.8
[20/10/2018 05:00],12051.0,8.0,2677.7,2400.0,2463.5,1054.3
[20/10/2018 05:30],12051.0,8.5,2739.3,2400.0,2747.2,1206.6
[20/10/2018 06:00],12051.0,8.7,2886.0,2740.0,2723.6,1307.3
[20/10/2018 06:30],12051.0,7.3,2884.3,2740.0,2961.5,1666.7
[20/10/2018 07:00],12051.0,7.5,3135.7,3152.0,2935.6,1831.5
[20/10/2018 07:30],12051.0,9.5,3268.0,3152.0,3144.5,1939.5
[20/10/2018 08:00],12051.0,10.0,3426.7,3444.0,3259.6,2032.7
[20/10/2018 08:30],12051.0,10.0,3718.0,3444.0,3422.4,2170.8
[20/10/2018 09:00],12051.0,9.0,3783.7,3646.0,3730.4,2289.8
[20/10/2018 09:30],12051.0,5.3,3766.0,3646.0,3755.6,2434.8
[20/10/2018 10:00],12051.0,0.0,3839.8,3829.0,3801.9,2544.1
[20/10/2018 10:30],12051.0,0.0,3878.5,3829.0,3839.5,2666.1
[20/10/2018 11:00],12051.0,0.0,4000.3,3938.0,3880.2,2799.6
[20/10/2018 11:30],12051.0,0.0,4151.2,3938.0,4075.4,2926.8
[20/10/2018 12:00],12051.0,0.0,4408.8,4051.0,4175.6,3037.4
[20/10/2018 12:30],12051.0,0.0,4380.2,4051.0,4502.6,3142.0
[20/10/2018 13:00],12051.0,0.0,4218.8,4160.0,4420.6,3258.7
[20/10/2018 13:30],12051.0,0.0,4176.5,4160.0,4460.9,3338.3
[20/10/2018 14:00],12051.0,0.0,4286.0,4174.0,4146.6,3359.3
[20/10/2018 14:30],12051.0,0.0,4342.5,4174.0,4309.7,3415.5
[20/10/2018 15:00],12051.0,0.0,4313.8,4242.0,4335.7,3409.8
[20/10/2018 15:30],12051.0,0.0,4158.0,4242.0,4347.2,3468.4
[20/10/2018 16:00],12051.0,0.0,3980.7,4324.0,4178.0,3523.8
[20/10/2018 16:30],12051.0,0.0,3740.2,4324.0,3974.8,3539.3
[20/10/2018 17:00],12051.0,0.0,3752.2,4264.0,3705.7,3484.6
[20/10/2018 17:30],12051.0,0.0,3664.7,4264.0,3775.3,3445.6
[20/10/2018 18:00],12051.0,0.0,3482.0,4177.0,3676.1,3415.5
[20/10/2018 18:30],12051.0,0.0,3470.5,4177.0,3513.1,3291.8
[20/10/2018 19:00],12051.0,0.0,3628.2,4121.0,3546.2,3336.6
[20/10/2018 19:30],12051.0,0.0,3666.2,4121.0,3643.7,3296.9
[20/10/2018 20:00],12051.0,0.0,3697.3,4051.0,3490.2,3146.8
[20/10/2018 20:30],12051.0,0.0,3758.5,4051.0,3553.8,3000.3
[20/10/2018 21:00],12051.0,0.0,3826.8,3565.0,3649.9,2909.3
[20/10/2018 21:30],12051.0,0.0,3840.0,3565.0,3641.2,2767.2
[20/10/2018 22:00],12051.0,0.0,3791.7,3700.0,3654.2,2650.5
[20/10/2018 22:30],12051.0,0.0,3564.3,3700.0,3642.8,2594.7
[20/10/2018 23:00],12051.0,0.0,3607.0,3806.0,3482.0,2627.1
[20/10/2018 23:30],12051.0,3.7,3712.3,3806.0,3565.4,2636.2
[21/10/2018 00:00],12051.0,69.7,3639.0,3853.0,3505.2,2657.5
[21/10/2018 00:30],12051.0,19.3,3497.2,3853.0,3578.3,2680.5
[21/10/2018 01:00],12051.0,0.0,3585.3,3896.0,3421.3,2679.8
[21/10/2018 01:30],12051.0,0.0,3798.7,3896.0,3544.7,2695.8
[21/10/2018 02:00],12051.0,0.0,3819.2,3852.0,3891.3,2822.7
[21/10/2018 02:30],12051.0,0.0,3940.0,3852.0,3888.9,2957.0
[21/10/2018 03:00],12051.0,0.0,4150.7,3972.0,3934.5,3037.7
[21/10/2018 03:30],12051.0,0.0,4294.2,3972.0,4028.7,3180.7
[21/10/2018 04:00],12051.0,0.0,4348.8,4154.0,4319.6,3248.4
[21/10/2018 04:30],12051.0,0.0,4431.5,4154.0,4406.2,3381.5
[21/10/2018 05:00],12051.0,0.0,4585.5,4187.0,4520.7,3544.5
[21/10/2018 05:30],12051.0,0.0,4598.0,4187.0,4712.8,3781.8
[21/10/2018 06:00],12051.0,0.0,4749.3,4212.0,4657.5,3944.6
[21/10/2018 06:30],12051.0,0.0,4777.3,4212.0,4943.6,4014.2
[21/10/2018 07:00],12051.0,0.0,4837.0,4353.0,4918.5,4231.8
[21/10/2018 07:30],12051.0,0.0,4925.0,4353.0,5120.7,4471.3
[21/10/2018 08:00],12051.0,0.0,5217.5,4481.0,5015.2,4594.3
[21/10/2018 08:30],12051.0,0.0,5367.8,4481.0,5415.0,4864.1
[21/10/2018 09:00],12051.0,0.0,5541.5,4700.0,5487.1,4987.3
[21/10/2018 09:30],12051.0,0.0,5616.7,4700.0,5710.4,5135.7
[21/10/2018 10:00],12051.0,0.0,5429.8,4711.0,5752.1,5252.4
[21/10/2018 10:30],12051.0,0.0,5399.8,4711.0,5500.8,5322.0
[21/10/2018 11:00],12051.0,0.0,5595.0,4832.0,5570.3,5324.7
[21/10/2018 11:30],12051.0,0.0,6063.8,4832.0,5861.1,5375.2
[21/10/2018 12:00],12051.0,0.0,6096.3,4976.0,6260.0,5439.2
[21/10/2018 12:30],12051.0,0.0,6229.7,4976.0,6318.4,5543.9
[21/10/2018 13:00],12051.0,0.0,6321.2,5292.0,6463.8,5751.0
[21/10/2018 13:30],12051.0,0.0,6506.5,5292.0,6398.6,5820.3
[21/10/2018 14:00],12051.0,0.0,6171.0,5626.0,6568.7,5843.1
[21/10/2018 14:30],12051.0,0.0,6365.3,5626.0,6610.3,5858.5
[21/10/2018 15:00],12051.0,40.3,6239.7,5552.0,6428.0,5880.6
[21/10/2018 15:30],12051.0,36.0,6428.5,5552.0,6284.9,5917.3
[21/10/2018 16:00],12051.0,0.0,6717.8,5636.0,6471.4,5923.2
[21/10/2018 16:30],12051.0,42.2,6719.2,5636.0,6771.7,5964.1
[21/10/2018 17:00],12051.0,5.5,6785.5,5920.0,6763.7,6047.7
[21/10/2018 17:30],12051.0,7.0,7190.5,5920.0,6805.5,6116.2
[21/10/2018 18:00],12051.0,41.1,7221.5,6033.0,7203.9,6151.8
[21/10/2018 18:30],12051.0,72.8,6921.7,6033.0,7184.8,5977.3
[21/10/2018 19:00],12051.0,74.0,7046.3,6204.0,7128.1,5992.0
[21/10/2018 19:30],12051.0,82.0,7492.5,6204.0,7058.9,6060.0
[21/10/2018 20:00],12051.0,122.7,7343.3,6481.0,7635.1,6236.2
[21/10/2018 20:30],12051.0,130.0,7787.0,6481.0,7460.8,6401.8
[21/10/2018 21:00],12051.0,189.4,8029.5,7307.0,7926.7,6560.6
[21/10/2018 21:30],12051.0,264.0,7890.8,7307.0,8166.3,6767.0
[21/10/2018 22:00],12051.0,267.9,8126.2,7436.0,7926.6,6881.7
[21/10/2018 22:30],12051.0,224.6,8750.5,7436.0,8254.3,7060.4
[21/10/2018 23:00],12051.0,224.0,8581.5,7863.0,8299.7,7162.2
[21/10/2018 23:30],12051.0,240.2,8762.0,7863.0,8618.7,7316.1
[22/10/2018 00:00],12051.0,259.9,9142.3,8310.0,8838.6,7471.1
[22/10/2018 00:30],12051.0,283.3,8824.8,8310.0,9192.4,7683.6
[22/10/2018 01:00],12051.0,314.4,8875.2,8342.0,8840.4,7803.4
[22/10/2018 01:30],12051.0,321.0,8861.0,8342.0,8804.9,7788.0
[22/10/2018 02:00],12051.0,317.9,8778.3,8150.0,8592.9,7543.8
[22/10/2018 02:30],12051.0,302.3,8562.0,8150.0,8476.5,7305.0
[22/10/2018 03:00],12051.0,267.4,8552.8,7931.0,8333.8,7171.5
[22/10/2018 03:30],12051.0,255.0,8420.2,7931.0,7976.1,6928.7
[22/10/2018 04:00],12051.0,234.2,8415.5,7645.0,8100.2,6715.0
[22/10/2018 04:30],12051.0,252.5,8199.3,7645.0,8123.7,6535.9
[22/10/2018 05:00],12051.0,126.9,8054.7,7421.0,7746.9,6350.8
[22/10/2018 05:30],12051.0,137.0,7797.0,7421.0,7714.2,6109.2
[22/10/2018 06:00],12051.0,81.8,7334.5,7086.0,7576.6,5945.2
[22/10/2018 06:30],12051.0,3.6,7397.0,7086.0,6992.6,5788.1
[22/10/2018 07:00],12051.0,0.0,7019.3,6864.0,7115.2,5600.2
[22/10/2018 07:30],12051.0,0.0,6778.8,6864.0,6866.8,5520.4
[22/10/2018 08:00],12051.0,0.0,6992.5,6635.0,6677.6,5498.9
[22/10/2018 08:30],12051.0,0.0,6574.3,6635.0,6898.5,5451.3
[22/10/2018 09:00],12051.0,0.0,6151.2,6564.0,6437.8,5385.7
[22/10/2018 09:30],12051.0,0.0,5849.0,6564.0,6101.1,5323.9
[22/10/2018 10:00],12051.0,0.0,6142.5,6327.0,5762.0,5252.9
[22/10/2018 10:30],12051.0,89.1,6073.5,6327.0,5771.0,5210.4
[22/10/2018 11:00],12051.0,147.1,6156.2,6391.0,6071.9,5201.6
[22/10/2018 11:30],12051.0,184.1,6215.7,6391.0,6026.8,5156.4
[22/10/2018 12:00],12051.0,188.7,6387.5,6504.0,6235.4,5202.9
[22/10/2018 12:30],12051.0,258.3,6430.7,6504.0,6206.3,5152.5
[22/10/2018 13:00],12051.0,315.6,6254.8,6574.0,6419.6,5383.4
[22/10/2018 13:30],12051.0,160.0,6111.5,6574.0,6248.8,5399.9
[22/10/2018 14:00],12051.0,71.0,6243.3,6614.0,6131.4,5445.8
[22/10/2018 14:30],12051.0,30.6,6243.3,6614.0,6200.6,5496.7
[22/10/2018 15:00],12051.0,0.0,6419.3,6471.0,6261.4,5519.1
[22/10/2018 15:30],12051.0,0.0,6547.2,6471.0,6400.0,5538.8
[22/10/2018 16:00],12051.0,0.0,6486.3,6412.0,6459.4,5474.3
[22/10/2018 16:30],12051.0,0.0,6729.5,6412.0,6465.3,5491.8
[22/10/2018 17:00],12051.0,0.0,7052.8,6727.0,6906.7,5697.0
[22/10/2018 17:30],12051.0,0.0,7539.0,6727.0,7308.5,5905.1
[22/10/2018 18:00],12051.0,0.0,7832.0,7017.0,7535.4,6161.1
[22/10/2018 18:30],12051.0,0.0,8229.3,7017.0,8131.3,6735.1
[22/10/2018 19:00],12051.0,0.0,8616.2,7436.0,8439.7,6970.3
[22/10/2018 19:30],12051.0,0.0,8908.7,7436.0,8769.1,7343.8
[22/10/2018 20:00],12051.0,14.4,9221.0,7933.0,8995.5,7522.4
[22/10/2018 20:30],12051.0,243.1,9175.2,7933.0,9150.4,7727.7
[22/10/2018 21:00],12051.0,482.0,9217.3,8019.0,9207.9,7835.7
[22/10/2018 21:30],12051.0,807.8,8963.3,8019.0,9348.8,8029.8
[22/10/2018 22:00],12051.0,1018.3,8808.5,8210.0,9050.8,8203.2
[22/10/2018 22:30],12051.0,1279.7,8725.5,8210.0,8891.7,8311.7
[22/10/2018 23:00],12051.0,1671.7,8815.0,8555.0,8824.0,8396.2
[22/10/2018 23:30],12051.0,2145.7,8537.7,8555.0,8987.3,8525.6
[23/10/2018 00:00],12051.0,2471.5,8336.3,9247.0,8648.0,8602.0
[23/10/2018 00:30],12051.0,2728.8,8163.7,9247.0,8520.2,8901.3
[23/10/2018 01:00],12051.0,2749.0,8361.0,9643.0,8391.4,9002.5
[23/10/2018 01:30],12051.0,2818.0,8432.3,9643.0,8705.7,9024.5
[23/10/2018 02:00],12051.0,3037.2,8260.5,9927.0,8655.1,9087.6
[23/10/2018 02:30],12051.0,3102.3,8363.8,9927.0,8492.7,9243.0
[23/10/2018 03:00],12051.0,3055.6,8458.0,10146.0,8609.4,9318.2
[23/10/2018 03:30],12051.0,3059.5,8434.5,10146.0,8713.7,9406.4
[23/10/2018 04:00],12051.0,2990.0,8533.0,10147.0,8661.2,9457.1
[23/10/2018 04:30],12051.0,2867.4,8658.3,10147.0,8785.5,9537.4
[23/10/2018 05:00],12051.0,2984.0,8524.5,10151.0,8875.6,9554.4
[23/10/2018 05:30],12051.0,2844.6,8691.0,10151.0,9116.8,9583.7
[23/10/2018 06:00],12051.0,2373.6,9100.8,10062.0,8919.4,9584.7
[23/10/2018 06:30],12051.0,2062.5,9461.2,10062.0,9334.8,9583.6
[23/10/2018 07:00],12051.0,1892.2,9399.7,10201.0,9612.1,9716.7
[23/10/2018 07:30],12051.0,1807.1,9423.0,10201.0,9512.7,9709.8
[23/10/2018 08:00],12051.0,1670.5,9424.0,10236.0,9542.9,9702.7
[23/10/2018 08:30],12051.0,1230.1,9654.8,10236.0,9541.4,9700.9
[23/10/2018 09:00],12051.0,802.8,10018.8,10185.0,9687.7,9694.1
[23/10/2018 09:30],12051.0,957.2,10016.3,10185.0,10117.1,9684.1
[23/10/2018 10:00],12051.0,875.4,10113.5,10138.0,10064.0,9678.4
[23/10/2018 10:30],12051.0,651.8,10248.7,10138.0,10124.2,9667.6
[23/10/2018 11:00],12051.0,642.0,10320.0,10316.0,10171.6,9644.1
[23/10/2018 11:30],12051.0,656.3,9990.3,10316.0,10197.0,9611.1
[23/10/2018 12:00],12051.0,644.8,10227.5,10333.0,9964.5,9593.4
[23/10/2018 12:30],12051.0,568.4,10283.0,10333.0,10228.5,9550.7
[23/10/2018 13:00],12051.0,332.6,10433.0,10422.0,10240.6,9393.2
[23/10/2018 13:30],12051.0,114.7,10518.0,10422.0,10214.7,9372.7
[23/10/2018 14:00],12051.0,106.0,10567.8,10436.0,10505.7,9379.9
[23/10/2018 14:30],12051.0,174.9,10550.0,10436.0,10450.0,9362.3
[23/10/2018 15:00],12051.0,336.1,10451.0,10400.0,10393.6,9332.5
[23/10/2018 15:30],12051.0,359.4,10544.7,10400.0,10369.0,9288.1
[23/10/2018 16:00],12051.0,295.9,10500.7,10302.0,10460.8,9232.7
[23/10/2018 16:30],12051.0,146.0,10511.2,10302.0,10401.7,9236.9
[23/10/2018 17:00],12051.0,65.3,10734.2,10213.0,10535.5,9304.0
[23/10/2018 17:30],12051.0,0.0,10873.7,10213.0,10774.0,9369.7
[23/10/2018 18:00],12051.0,0.0,10850.2,10158.0,10870.7,9405.2
[23/10/2018 18:30],12051.0,0.0,10731.0,10158.0,10843.6,9628.0
[23/10/2018 19:00],12051.0,0.0,10787.7,10133.0,10841.6,9661.3
[23/10/2018 19:30],12051.0,0.0,10959.0,10133.0,10774.4,9666.4
[23/10/2018 20:00],12051.0,0.0,11038.2,10143.0,10855.9,9590.8
[23/10/2018 20:30],12051.0,102.0,10985.8,10143.0,10934.4,9526.2
[23/10/2018 21:00],12051.0,474.2,10366.3,10126.0,10874.6,9476.7
[23/10/2018 21:30],12051.0,891.3,9935.3,10126.0,10211.4,9382.8
[23/10/2018 22:00],12051.0,1015.3,9740.7,10040.0,9860.7,9323.8
[23/10/2018 22:30],12051.0,925.4,9755.0,10040.0,9721.7,9272.4
[23/10/2018 23:00],12051.0,1066.0,9652.7,9853.0,9694.2,9200.7
[23/10/2018 23:30],12051.0,1331.8,9307.3,9853.0,9595.6,9087.7
[24/10/2018 00:00],12051.0,1351.9,9050.5,9734.0,9278.8,9015.0
[24/10/2018 00:30],12051.0,1148.7,9042.5,9734.0,9225.5,8916.6
[24/10/2018 01:00],12051.0,994.8,8838.5,9585.0,9171.2,8796.6
[24/10/2018 01:30],12051.0,923.4,8807.5,9585.0,9074.8,8649.0
[24/10/2018 02:00],12051.0,777.9,8861.7,9362.0,8990.4,8519.3
[24/10/2018 02:30],12051.0,732.2,8674.5,9362.0,8752.5,8311.7
[24/10/2018 03:00],12051.0,410.5,8579.7,9133.0,8585.7,8179.8
[24/10/2018 03:30],12051.0,63.8,8912.5,9133.0,8361.9,7929.6
[24/10/2018 04:00],12051.0,19.8,8926.3,8853.0,8165.3,7715.1
[24/10/2018 04:30],12051.0,79.0,8716.2,8853.0,8061.3,7585.9
[24/10/2018 05:00],12051.0,232.2,8414.2,8614.0,8569.8,7505.8
[24/10/2018 05:30],12051.0,7.5,8383.2,8614.0,8342.1,7363.6
[24/10/2018 06:00],12051.0,0.0,8149.5,8412.0,8241.1,7204.9
[24/10/2018 06:30],12051.0,0.0,7814.3,8412.0,7933.6,7050.0
[24/10/2018 07:00],12051.0,0.0,7979.3,8176.0,7599.6,6870.2
[24/10/2018 07:30],12051.0,0.0,7724.5,8176.0,7446.3,6747.9
[24/10/2018 08:00],12051.0,0.0,7565.2,7831.0,7556.2,6605.4
[24/10/2018 08:30],12051.0,0.0,7393.3,7831.0,7371.9,6438.9
[24/10/2018 09:00],12051.0,0.0,7229.7,7525.0,7192.0,6262.9
[24/10/2018 09:30],12051.0,0.0,7314.7,7525.0,6922.9,6057.8
[24/10/2018 10:00],12051.0,0.0,7319.5,7249.0,7123.0,5911.1
[24/10/2018 10:30],12051.0,0.0,7125.0,7249.0,7083.4,5737.7
[24/10/2018 11:00],12051.0,0.0,6861.2,6970.0,6932.2,5605.3
[24/10/2018 11:30],12051.0,0.0,6707.8,6970.0,6581.7,5410.0
[24/10/2018 12:00],12051.0,0.0,6584.8,6645.0,6490.3,5272.7
[24/10/2018 12:30],12051.0,0.0,6642.0,6645.0,6341.7,4976.8
[24/10/2018 13:00],12051.0,0.0,6563.0,6451.0,6406.3,4843.4
[24/10/2018 13:30],12051.0,40.8,6499.2,6451.0,6410.8,4770.0
[24/10/2018 14:00],12051.0,123.5,6182.3,6438.0,6246.0,4741.7
[24/10/2018 14:30],12051.0,119.8,5998.7,6438.0,6015.7,4707.1
[24/10/2018 15:00],12051.0,157.5,5893.5,6389.0,5878.4,4676.9
[24/10/2018 15:30],12051.0,180.8,5849.7,6389.0,5780.1,4551.3
[24/10/2018 16:00],12051.0,348.0,5833.2,6465.0,5707.2,4465.3
[24/10/2018 16:30],12051.0,261.8,5965.5,6465.0,5807.0,4504.3
[24/10/2018 17:00],12051.0,118.1,6250.0,6682.0,5863.6,4603.7
[24/10/2018 17:30],12051.0,100.9,6352.2,6682.0,6334.0,4764.0
[24/10/2018 18:00],12051.0,78.2,6591.8,6955.0,6323.1,4810.5
[24/10/2018 18:30],12051.0,93.5,6809.0,6955.0,6654.2,5200.8
[24/10/2018 19:00],12051.0,92.0,7067.0,7178.0,6821.8,5309.2
[24/10/2018 19:30],12051.0,99.7,7224.5,7178.0,6796.9,5379.1
[24/10/2018 20:00],12051.0,104.0,7408.2,7204.0,6722.7,5570.5
[24/10/2018 20:30],12051.0,78.6,7382.5,7204.0,6685.2,5610.4
[24/10/2018 21:00],12051.0,32.1,7363.5,7322.0,6644.7,5638.5
[24/10/2018 21:30],12051.0,59.8,7597.2,7322.0,7240.7,5680.5
[24/10/2018 22:00],12051.0,118.5,7990.2,7278.0,7127.6,5725.1
[24/10/2018 22:30],12051.0,117.5,8028.5,7278.0,7794.1,5713.1
[24/10/2018 23:00],12051.0,118.0,7754.5,7198.0,7763.9,5553.7
[24/10/2018 23:30],12051.0,89.1,7563.8,7198.0,7525.4,5443.3
[25/10/2018 00:00],12051.0,142.3,7452.0,6839.0,7360.8,5425.5
[25/10/2018 00:30],12051.0,249.5,7232.2,6839.0,7192.7,5525.8
[25/10/2018 01:00],12051.0,228.1,6959.8,6432.0,7063.2,5547.6
[25/10/2018 01:30],12051.0,82.9,6892.2,6432.0,6877.6,5505.0
[25/10/2018 02:00],12051.0,27.0,6879.7,6165.0,6689.6,5381.3
[25/10/2018 02:30],12051.0,25.5,6914.7,6165.0,6651.3,5233.6
[25/10/2018 03:00],12051.0,6.7,6835.0,6013.0,6426.6,5322.0
[25/10/2018 03:30],12051.0,0.0,6743.8,6013.0,6163.1,5170.6
[25/10/2018 04:00],12051.0,0.0,6790.8,5892.0,6512.9,5051.9
[25/10/2018 04:30],12051.0,0.0,6650.2,5892.0,6236.6,4943.9
[25/10/2018 05:00],12051.0,0.0,6280.3,5704.0,6382.4,4829.0
[25/10/2018 05:30],12051.0,0.0,5960.8,5704.0,6004.7,4669.5
[25/10/2018 06:00],12051.0,0.0,5733.2,5518.0,5756.9,4532.8
[25/10/2018 06:30],12051.0,0.0,5590.7,5518.0,5415.3,4376.9
[25/10/2018 07:00],12051.0,0.0,5410.7,5415.0,5332.0,4247.2
[25/10/2018 07:30],12051.0,0.0,5434.5,5415.0,5013.3,3897.6
[25/10/2018 08:00],12051.0,0.0,5301.3,5207.0,4774.0,3792.9
