Date (WET),BELGIUM (BE),FRANCE (FR),ISEM (ISEM),NETHERLANDS (NL),NORWAY (NO)
,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh
[26/01/2019 10:00],5.24,1.08,11.97,6.52,6.52
[26/01/2019 10:30],5.24,1.08,11.97,6.52,6.52
[26/01/2019 11:00],4.81,1.03,7.34,6.38,6.38
[26/01/2019 11:30],4.81,1.03,7.34,6.38,6.38
[26/01/2019 12:00],3.63,3.63,2.51,3.63,4.74
[26/01/2019 12:30],3.63,3.63,2.51,3.63,4.74
[26/01/2019 13:00],4.85,4.85,2.85,4.85,3.73
[26/01/2019 13:30],4.85,4.85,2.85,4.85,3.73
[26/01/2019 14:00],2.01,2.01,1.79,2.01,0.88
[26/01/2019 14:30],2.01,2.01,1.79,2.01,0.88
[26/01/2019 15:00],2.38,2.38,1.84,2.38,0.87
[26/01/2019 15:30],2.38,2.38,1.84,2.38,0.87
[26/01/2019 16:00],10.32,10.32,2.71,10.32,10.32
[26/01/2019 16:30],10.32,10.32,2.71,10.32,10.32
[26/01/2019 17:00],29.93,29.93,-1.95,29.93,31.55
[26/01/2019 17:30],29.93,29.93,-1.95,29.93,31.55
[26/01/2019 18:00],28.96,26.81,-1.81,29.11,27.05
[26/01/2019 18:30],28.96,26.81,-1.81,29.11,27.05
[26/01/2019 19:00],23.63,22.42,5.20,23.71,18.79
[26/01/2019 19:30],23.63,22.42,5.20,23.71,18.79
[26/01/2019 20:00],12.43,12.43,4.11,12.43,5.96
[26/01/2019 20:30],12.43,12.43,4.11,12.43,5.96
[26/01/2019 21:00],12.68,7.61,7.53,13.19,6.33
[26/01/2019 21:30],12.68,7.61,7.53,13.19,6.33
[26/01/2019 22:00],12.53,0.89,14.20,12.82,3.48
[26/01/2019 22:30],12.53,0.89,14.20,12.82,3.48
[26/01/2019 23:00],16.98,9.86,55.00,15.85,10.21
[26/01/2019 23:30],16.98,9.86,55.00,15.85,10.21
[27/01/2019 00:00],14.37,18.39,51.00,9.24,6.61
[27/01/2019 00:30],14.37,18.39,51.00,9.24,6.61
[27/01/2019 01:00],18.00,17.24,43.98,5.18,-0.14
[27/01/2019 01:30],18.00,17.24,43.98,5.18,-0.14
[27/01/2019 02:00],11.92,12.89,35.01,1.07,-9.16
[27/01/2019 02:30],11.92,12.89,35.01,1.07,-9.16
[27/01/2019 03:00],11.09,11.59,30.02,0.71,-14.24
[27/01/2019 03:30],11.09,11.59,30.02,0.71,-14.24
[27/01/2019 04:00],0.03,0.28,16.89,-0.52,-27.44
[27/01/2019 04:30],0.03,0.28,16.89,-0.52,-27.44
[27/01/2019 05:00],3.11,4.63,21.90,-0.82,-22.92
[27/01/2019 05:30],3.11,4.63,21.90,-0.82,-22.92
[27/01/2019 06:00],5.56,6.56,31.36,-1.18,-13.41
[27/01/2019 06:30],5.56,6.56,31.36,-1.18,-13.41
[27/01/2019 07:00],-0.38,0.49,29.32,-1.10,-15.44
[27/01/2019 07:30],-0.38,0.49,29.32,-1.10,-15.44
[27/01/2019 08:00],-1.57,0.60,27.53,-1.37,-8.81
[27/01/2019 08:30],-1.57,0.60,27.53,-1.37,-8.81
[27/01/2019 09:00],6.42,9.60,5.23,1.15,2.66
[27/01/2019 09:30],6.42,9.60,5.23,1.15,2.66
[27/01/2019 10:00],17.00,19.51,17.40,12.75,14.80
[27/01/2019 10:30],17.00,19.51,17.40,12.75,14.80
[27/01/2019 11:00],9.14,9.14,5.00,9.14,4.54
[27/01/2019 11:30],9.14,9.14,5.00,9.14,4.54
[27/01/2019 12:00],19.28,19.28,22.30,19.27,11.63
[27/01/2019 12:30],19.28,19.28,22.30,19.27,11.63
[27/01/2019 13:00],18.06,18.06,4.70,18.11,8.72
[27/01/2019 13:30],18.06,18.06,4.70,18.11,8.72
[27/01/2019 14:00],9.77,9.77,-0.10,9.62,-0.39
[27/01/2019 14:30],9.77,9.77,-0.10,9.62,-0.39
[27/01/2019 15:00],7.26,7.26,-2.01,7.19,-3.45
[27/01/2019 15:30],7.26,7.26,-2.01,7.19,-3.45
[27/01/2019 16:00],14.35,14.37,-1.37,14.32,8.18
[27/01/2019 16:30],14.35,14.37,-1.37,14.32,8.18
[27/01/2019 17:00],36.99,36.99,-4.11,36.99,35.48
[27/01/2019 17:30],36.99,36.99,-4.11,36.99,35.48
[27/01/2019 18:00],24.77,28.58,-23.92,34.00,32.87
[27/01/2019 18:30],24.77,28.58,-23.92,34.00,32.87
[27/01/2019 19:00],25.12,25.12,-18.60,25.12,22.36
[27/01/2019 19:30],25.12,25.12,-18.60,25.12,22.36
[27/01/2019 20:00],16.43,16.43,-9.40,16.43,12.06
[27/01/2019 20:30],16.43,16.43,-9.40,16.43,12.06
[27/01/2019 21:00],3.89,3.89,-4.60,3.89,2.43
[27/01/2019 21:30],3.89,3.89,-4.60,3.89,2.43
[27/01/2019 22:00],4.79,2.85,-11.67,8.91,3.10
[27/01/2019 22:30],4.79,2.85,-11.67,8.91,3.10
[27/01/2019 23:00],2.13,5.99,-11.61,2.46,1.04
[27/01/2019 23:30],2.13,5.99,-11.61,2.46,1.04
[28/01/2019 00:00],12.35,12.35,-2.35,12.35,4.05
[28/01/2019 00:30],12.35,12.35,-2.35,12.35,4.05
[28/01/2019 01:00],13.30,13.30,-1.17,13.30,4.69
[28/01/2019 01:30],13.30,13.30,-1.17,13.30,4.69
[28/01/2019 02:00],14.11,14.11,-1.14,14.11,3.16
[28/01/2019 02:30],14.11,14.11,-1.14,14.11,3.16
[28/01/2019 03:00],13.38,13.38,-1.12,13.38,2.18
[28/01/2019 03:30],13.38,13.38,-1.12,13.38,2.18
[28/01/2019 04:00],10.20,10.20,-1.13,10.20,-0.02
[28/01/2019 04:30],10.20,10.20,-1.13,10.20,-0.02
[28/01/2019 05:00],6.04,6.05,2.45,6.04,4.26
[28/01/2019 05:30],6.04,6.05,2.45,6.04,4.26
[28/01/2019 06:00],1.89,1.89,3.15,1.89,3.67
[28/01/2019 06:30],1.89,1.89,3.15,1.89,3.67
[28/01/2019 07:00],0.94,0.96,-1.39,1.35,1.15
[28/01/2019 07:30],0.94,0.96,-1.39,1.35,1.15
[28/01/2019 08:00],-0.35,0.96,-1.39,5.38,3.66
[28/01/2019 08:30],-0.35,0.96,-1.39,5.38,3.66
[28/01/2019 09:00],5.01,5.01,-1.47,14.18,10.33
[28/01/2019 09:30],5.01,5.01,-1.47,14.18,10.33
[28/01/2019 10:00],14.37,13.68,-1.54,15.12,14.28
[28/01/2019 10:30],14.37,13.68,-1.54,15.12,14.28
[28/01/2019 11:00],8.10,6.17,-2.78,9.80,8.25
[28/01/2019 11:30],8.10,6.17,-2.78,9.80,8.25
[28/01/2019 12:00],14.39,12.19,-2.95,16.50,11.76
[28/01/2019 12:30],14.39,12.19,-2.95,16.50,11.76
[28/01/2019 13:00],13.92,12.17,-2.83,15.07,9.60
[28/01/2019 13:30],13.92,12.17,-2.83,15.07,9.60
[28/01/2019 14:00],18.32,16.30,-1.48,19.86,13.13
[28/01/2019 14:30],18.32,16.30,-1.48,19.86,13.13
[28/01/2019 15:00],5.19,3.25,-5.98,5.19,1.99
[28/01/2019 15:30],5.19,3.25,-5.98,5.19,1.99
[28/01/2019 16:00],20.14,19.81,-3.64,20.14,21.37
[28/01/2019 16:30],20.14,19.81,-3.64,20.14,21.37
[28/01/2019 17:00],23.30,29.79,-35.57,39.89,40.24
[28/01/2019 17:30],23.30,29.79,-35.57,39.89,40.24
[28/01/2019 18:00],22.88,25.09,-45.24,39.15,37.60
[28/01/2019 18:30],22.88,25.09,-45.24,39.15,37.60
[28/01/2019 19:00],21.16,17.06,-27.24,33.38,28.79
[28/01/2019 19:30],21.16,17.06,-27.24,33.38,28.79
[28/01/2019 20:00],6.63,8.17,-6.49,19.80,15.93
[28/01/2019 20:30],6.63,8.17,-6.49,19.80,15.93
[28/01/2019 21:00],4.23,0.96,-2.79,16.56,10.19
[28/01/2019 21:30],4.23,0.96,-2.79,16.56,10.19
[28/01/2019 22:00],7.65,0.85,-10.46,11.48,4.99
[28/01/2019 22:30],7.65,0.85,-10.46,11.48,4.99
[28/01/2019 23:00],-0.10,0.97,-7.48,7.41,4.18
[28/01/2019 23:30],-0.10,0.97,-7.48,7.41,4.18
[29/01/2019 00:00],6.41,5.78,-2.39,7.08,5.31
[29/01/2019 00:30],6.41,5.78,-2.39,7.08,5.31
[29/01/2019 01:00],5.63,5.00,-2.40,6.56,4.39
[29/01/2019 01:30],5.63,5.00,-2.40,6.56,4.39
[29/01/2019 02:00],6.99,6.18,-2.36,8.10,3.07
[29/01/2019 02:30],6.99,6.18,-2.36,8.10,3.07
[29/01/2019 03:00],7.41,7.41,-2.30,7.41,2.54
[29/01/2019 03:30],7.41,7.41,-2.30,7.41,2.54
[29/01/2019 04:00],5.85,4.71,-2.30,6.16,0.26
[29/01/2019 04:30],5.85,4.71,-2.30,6.16,0.26
[29/01/2019 05:00],1.52,1.00,-2.49,1.85,1.29
[29/01/2019 05:30],1.52,1.00,-2.49,1.85,1.29
[29/01/2019 06:00],-2.48,-1.58,1.75,1.02,-0.62
[29/01/2019 06:30],-2.48,-1.58,1.75,1.02,-0.62
[29/01/2019 07:00],1.55,1.61,-3.16,1.75,1.90
[29/01/2019 07:30],1.55,1.61,-3.16,1.75,1.90
[29/01/2019 08:00],0.73,1.28,-1.62,1.74,3.43
[29/01/2019 08:30],0.73,1.28,-1.62,1.74,3.43
[29/01/2019 09:00],3.46,3.68,-1.65,5.07,5.92
[29/01/2019 09:30],3.46,3.68,-1.65,5.07,5.92
[29/01/2019 10:00],2.23,3.14,-1.60,4.98,7.27
[29/01/2019 10:30],2.23,3.14,-1.60,4.98,7.27
[29/01/2019 11:00],2.41,2.88,-1.54,6.35,8.05
[29/01/2019 11:30],2.41,2.88,-1.54,6.35,8.05
[29/01/2019 12:00],1.00,1.98,-1.50,3.91,6.46
[29/01/2019 12:30],1.00,1.98,-1.50,3.91,6.46
[29/01/2019 13:00],1.59,1.59,-1.40,1.59,1.59
[29/01/2019 13:30],1.59,1.59,-1.40,1.59,1.59
[29/01/2019 14:00],1.58,1.58,-1.40,1.58,1.58
[29/01/2019 14:30],1.58,1.58,-1.40,1.58,1.58
[29/01/2019 15:00],1.65,1.65,-1.53,1.65,1.65
[29/01/2019 15:30],1.65,1.65,-1.53,1.65,1.65
[29/01/2019 16:00],8.84,8.84,-1.70,8.84,8.84
[29/01/2019 16:30],8.84,8.84,-1.70,8.84,8.84
[29/01/2019 17:00],12.93,12.93,-3.72,12.93,12.93
[29/01/2019 17:30],12.93,12.93,-3.72,12.93,12.93
[29/01/2019 18:00],10.63,10.63,-3.54,10.63,12.08
[29/01/2019 18:30],10.63,10.63,-3.54,10.63,12.08
[29/01/2019 19:00],14.45,10.71,-1.61,19.08,17.46
[29/01/2019 19:30],14.45,10.71,-1.61,19.08,17.46
[29/01/2019 20:00],10.57,11.67,-1.50,14.78,12.81
[29/01/2019 20:30],10.57,11.67,-1.50,14.78,12.81
[29/01/2019 21:00],-1.32,2.62,-1.30,14.85,7.17
[29/01/2019 21:30],-1.32,2.62,-1.30,14.85,7.17
[29/01/2019 22:00],1.68,4.92,-1.19,8.95,4.91
[29/01/2019 22:30],1.68,4.92,-1.19,8.95,4.91
[29/01/2019 23:00],3.44,5.11,-2.29,9.90,2.54
[29/01/2019 23:30],3.44,5.11,-2.29,9.90,2.54
[30/01/2019 00:00],8.27,8.27,-1.20,8.27,4.13
[30/01/2019 00:30],8.27,8.27,-1.20,8.27,4.13
[30/01/2019 01:00],8.72,8.72,-1.14,8.72,3.86
[30/01/2019 01:30],8.72,8.72,-1.14,8.72,3.86
[30/01/2019 02:00],9.92,9.92,-1.10,9.92,2.99
[30/01/2019 02:30],9.92,9.92,-1.10,9.92,2.99
[30/01/2019 03:00],9.82,9.82,-1.10,9.82,2.22
[30/01/2019 03:30],9.82,9.82,-1.10,9.82,2.22
[30/01/2019 04:00],6.68,6.68,-1.10,6.68,0.05
[30/01/2019 04:30],6.68,6.68,-1.10,6.68,0.05
[30/01/2019 05:00],2.18,1.95,-2.03,2.23,-1.23
[30/01/2019 05:30],2.18,1.95,-2.03,2.23,-1.23
[30/01/2019 06:00],1.30,1.30,3.74,1.30,4.98
[30/01/2019 06:30],1.30,1.30,3.74,1.30,4.98
[30/01/2019 07:00],1.36,1.36,-4.83,1.36,1.36
[30/01/2019 07:30],1.36,1.36,-4.83,1.36,1.36
[30/01/2019 08:00],4.05,5.22,-3.15,1.90,8.22
[30/01/2019 08:30],4.05,5.22,-3.15,1.90,8.22
[30/01/2019 09:00],10.40,15.70,-3.68,2.19,24.67
[30/01/2019 09:30],10.40,15.70,-3.68,2.19,24.67
[30/01/2019 10:00],1.99,10.99,-3.40,-1.86,21.58
[30/01/2019 10:30],1.99,10.99,-3.40,-1.86,21.58
[30/01/2019 11:00],8.46,14.13,-3.50,-2.26,23.95
[30/01/2019 11:30],8.46,14.13,-3.50,-2.26,23.95
[30/01/2019 12:00],9.06,16.62,-3.50,-2.28,25.07
[30/01/2019 12:30],9.06,16.62,-3.50,-2.28,25.07
[30/01/2019 13:00],10.67,14.25,-5.24,1.96,20.03
[30/01/2019 13:30],10.67,14.25,-5.24,1.96,20.03
[30/01/2019 14:00],15.24,19.90,-3.48,2.06,23.83
[30/01/2019 14:30],15.24,19.90,-3.48,2.06,23.83
[30/01/2019 15:00],12.95,16.80,-16.90,3.51,22.06
[30/01/2019 15:30],12.95,16.80,-16.90,3.51,22.06
[30/01/2019 16:00],30.34,32.47,-41.80,25.52,39.31
[30/01/2019 16:30],30.34,32.47,-41.80,25.52,39.31
[30/01/2019 17:00],51.78,57.49,-127.80,37.71,70.64
[30/01/2019 17:30],51.78,57.49,-127.80,37.71,70.64
[30/01/2019 18:00],63.95,58.98,-124.40,67.80,72.64
[30/01/2019 18:30],63.95,58.98,-124.40,67.80,72.64
[30/01/2019 19:00],41.54,43.24,-37.50,49.54,53.26
[30/01/2019 19:30],41.54,43.24,-37.50,49.54,53.26
[30/01/2019 20:00],21.39,23.23,-10.90,27.18,29.68
[30/01/2019 20:30],21.39,23.23,-10.90,27.18,29.68
[30/01/2019 21:00],7.14,9.08,-4.60,15.41,13.77
[30/01/2019 21:30],7.14,9.08,-4.60,15.41,13.77
[30/01/2019 22:00],4.11,1.17,-11.97,11.15,7.88
[30/01/2019 22:30],4.11,1.17,-11.97,11.15,7.88
[30/01/2019 23:00],1.50,4.06,-8.80,14.01,7.83
[30/01/2019 23:30],1.50,4.06,-8.80,14.01,7.83
[31/01/2019 00:00],8.64,9.32,-3.91,11.74,8.51
[31/01/2019 00:30],8.64,9.32,-3.91,11.74,8.51
[31/01/2019 01:00],9.77,10.42,-1.24,12.76,9.55
[31/01/2019 01:30],9.77,10.42,-1.24,12.76,9.55
[31/01/2019 02:00],10.37,10.37,-1.20,10.37,7.15
[31/01/2019 02:30],10.37,10.37,-1.20,10.37,7.15
[31/01/2019 03:00],10.77,10.77,1.99,10.77,5.69
[31/01/2019 03:30],10.77,10.77,1.99,10.77,5.69
[31/01/2019 04:00],6.17,6.17,1.14,6.17,1.78
[31/01/2019 04:30],6.17,6.17,1.14,6.17,1.78
[31/01/2019 05:00],1.60,1.44,8.00,1.83,8.42
[31/01/2019 05:30],1.60,1.44,8.00,1.83,8.42
[31/01/2019 06:00],1.64,1.64,16.02,1.64,15.17
[31/01/2019 06:30],1.64,1.64,16.02,1.64,15.17
[31/01/2019 07:00],2.00,2.00,5.69,2.00,21.23
[31/01/2019 07:30],2.00,2.00,5.69,2.00,21.23
[31/01/2019 08:00],2.04,5.62,3.37,2.33,22.37
[31/01/2019 08:30],2.04,5.62,3.37,2.33,22.37
[31/01/2019 09:00],2.02,7.77,3.90,2.27,21.14
[31/01/2019 09:30],2.02,7.77,3.90,2.27,21.14
[31/01/2019 10:00],2.00,3.98,2.38,2.10,15.58
[31/01/2019 10:30],2.00,3.98,2.38,2.10,15.58
[31/01/2019 11:00],1.96,1.96,0.68,1.96,11.29
[31/01/2019 11:30],1.96,1.96,0.68,1.96,11.29
[31/01/2019 12:00],1.94,1.94,1.45,1.94,10.63
[31/01/2019 12:30],1.94,1.94,1.45,1.94,10.63
[31/01/2019 13:00],1.69,1.69,1.35,1.69,10.45
[31/01/2019 13:30],1.69,1.69,1.35,1.69,10.45
[31/01/2019 14:00],1.51,1.51,1.37,1.51,10.42
[31/01/2019 14:30],1.51,1.51,1.37,1.51,10.42
[31/01/2019 15:00],1.50,1.50,1.35,1.50,9.23
[31/01/2019 15:30],1.50,1.50,1.35,1.50,9.23
[31/01/2019 16:00],1.95,1.95,-1.14,1.95,10.10
[31/01/2019 16:30],1.95,1.95,-1.14,1.95,10.10
[31/01/2019 17:00],4.45,4.45,-1.88,4.45,13.18
[31/01/2019 17:30],4.45,4.45,-1.88,4.45,13.18
[31/01/2019 18:00],1.91,1.91,-2.89,1.91,9.76
[31/01/2019 18:30],1.91,1.91,-2.89,1.91,9.76
[31/01/2019 19:00],11.89,11.89,-0.10,11.89,15.79
[31/01/2019 19:30],11.89,11.89,-0.10,11.89,15.79
[31/01/2019 20:00],10.03,10.03,1.70,10.03,8.78
[31/01/2019 20:30],10.03,10.03,1.70,10.03,8.78
[31/01/2019 21:00],10.32,10.32,4.50,10.32,9.22
[31/01/2019 21:30],10.32,10.32,4.50,10.32,9.22
[31/01/2019 22:00],5.63,4.84,0.30,6.10,2.53
[31/01/2019 22:30],5.63,4.84,0.30,6.10,2.53
[31/01/2019 23:00],1.53,5.06,2.16,7.65,1.37
[31/01/2019 23:30],1.53,5.06,2.16,7.65,1.37
[01/02/2019 00:00],6.02,6.02,2.15,6.02,1.62
[01/02/2019 00:30],6.02,6.02,2.15,6.02,1.62
[01/02/2019 01:00],8.13,8.13,2.16,8.13,2.03
[01/02/2019 01:30],8.13,8.13,2.16,8.13,2.03
[01/02/2019 02:00],9.27,9.27,2.13,9.27,1.35
[01/02/2019 02:30],9.27,9.27,2.13,9.27,1.35
[01/02/2019 03:00],8.45,8.45,2.10,8.45,0.35
[01/02/2019 03:30],8.45,8.45,2.10,8.45,0.35
[01/02/2019 04:00],4.69,4.69,2.11,4.69,-1.29
[01/02/2019 04:30],4.69,4.69,2.11,4.69,-1.29
[01/02/2019 05:00],1.04,2.75,2.21,1.22,-0.13
[01/02/2019 05:30],1.04,2.75,2.21,1.22,-0.13
[01/02/2019 06:00],-5.42,1.32,5.30,1.56,11.37
[01/02/2019 06:30],-5.42,1.32,5.30,1.56,11.37
[01/02/2019 07:00],-1.92,1.39,1.46,-2.19,12.14
[01/02/2019 07:30],-1.92,1.39,1.46,-2.19,12.14
[01/02/2019 08:00],-0.35,7.80,1.65,-4.33,20.59
[01/02/2019 08:30],-0.35,7.80,1.65,-4.33,20.59
[01/02/2019 09:00],0.24,7.38,-1.73,-2.51,22.39
[01/02/2019 09:30],0.24,7.38,-1.73,-2.51,22.39
[01/02/2019 10:00],1.57,9.49,-1.73,-2.52,21.85
[01/02/2019 10:30],1.57,9.49,-1.73,-2.52,21.85
[01/02/2019 11:00],1.50,5.95,-3.36,-2.41,19.10
[01/02/2019 11:30],1.50,5.95,-3.36,-2.41,19.10
[01/02/2019 12:00],4.95,6.97,-3.26,-2.35,17.89
[01/02/2019 12:30],4.95,6.97,-3.26,-2.35,17.89
[01/02/2019 13:00],1.29,1.40,-2.91,1.04,9.72
[01/02/2019 13:30],1.29,1.40,-2.91,1.04,9.72
[01/02/2019 14:00],1.28,1.28,-2.85,1.28,9.16
[01/02/2019 14:30],1.28,1.28,-2.85,1.28,9.16
[01/02/2019 15:00],1.26,1.26,-2.82,1.26,8.20
[01/02/2019 15:30],1.26,1.26,-2.82,1.26,8.20
[01/02/2019 16:00],1.59,1.59,-3.01,1.59,11.11
[01/02/2019 16:30],1.59,1.59,-3.01,1.59,11.11
[01/02/2019 17:00],6.17,6.32,-3.84,6.18,18.47
[01/02/2019 17:30],6.17,6.32,-3.84,6.18,18.47
[01/02/2019 18:00],3.51,4.87,-3.19,3.49,16.53
[01/02/2019 18:30],3.51,4.87,-3.19,3.49,16.53
[01/02/2019 19:00],5.57,5.57,-3.00,5.57,13.32
[01/02/2019 19:30],5.57,5.57,-3.00,5.57,13.32
[01/02/2019 20:00],5.82,4.95,-2.72,6.05,7.86
[01/02/2019 20:30],5.82,4.95,-2.72,6.05,7.86
[01/02/2019 21:00],9.87,9.87,-1.39,9.87,11.02
[01/02/2019 21:30],9.87,9.87,-1.39,9.87,11.02
[01/02/2019 22:00],2.27,2.27,-2.87,2.27,2.27
[01/02/2019 22:30],2.27,2.27,-2.87,2.27,2.27
[01/02/2019 23:00],7.16,7.60,2.44,8.79,8.05
[01/02/2019 23:30],7.16,7.60,2.44,8.79,8.05
[02/02/2019 00:00],12.58,12.58,2.53,12.58,11.12
[02/02/2019 00:30],12.58,12.58,2.53,12.58,11.12
[02/02/2019 01:00],11.69,11.69,2.43,11.69,9.11
[02/02/2019 01:30],11.69,11.69,2.43,11.69,9.11
[02/02/2019 02:00],10.14,10.14,1.50,10.14,5.35
[02/02/2019 02:30],10.14,10.14,1.50,10.14,5.35
[02/02/2019 03:00],7.76,7.76,1.07,7.76,2.58
[02/02/2019 03:30],7.76,7.76,1.07,7.76,2.58
[02/02/2019 04:00],7.41,7.41,1.06,7.41,1.72
[02/02/2019 04:30],7.41,7.41,1.06,7.41,1.72
[02/02/2019 05:00],5.34,5.34,1.03,5.34,0.29
[02/02/2019 05:30],5.34,5.34,1.03,5.34,0.29
[02/02/2019 06:00],3.64,3.64,-0.08,3.64,1.88
[02/02/2019 06:30],3.64,3.64,-0.08,3.64,1.88
[02/02/2019 07:00],1.37,1.37,-2.14,1.37,1.37
[02/02/2019 07:30],1.37,1.37,-2.14,1.37,1.37
[02/02/2019 08:00],1.26,1.26,-2.47,1.26,3.47
[02/02/2019 08:30],1.26,1.26,-2.47,1.26,3.47
[02/02/2019 09:00],6.30,6.30,-2.88,6.30,11.05
[02/02/2019 09:30],6.30,6.30,-2.88,6.30,11.05
[02/02/2019 10:00],7.45,7.45,-2.92,7.45,12.09
[02/02/2019 10:30],7.45,7.45,-2.92,7.45,12.09
[02/02/2019 11:00],3.55,3.55,-13.92,3.55,5.86
[02/02/2019 11:30],3.55,3.55,-13.92,3.55,5.86
[02/02/2019 12:00],6.81,6.81,-15.06,6.81,5.22
[02/02/2019 12:30],6.81,6.81,-15.06,6.81,5.22
[02/02/2019 13:00],5.80,5.80,-13.85,5.80,4.15
[02/02/2019 13:30],5.80,5.80,-13.85,5.80,4.15
[02/02/2019 14:00],5.21,5.21,-13.80,5.21,3.06
[02/02/2019 14:30],5.21,5.21,-13.80,5.21,3.06
[02/02/2019 15:00],6.54,6.54,-11.75,6.54,4.07
[02/02/2019 15:30],6.54,6.54,-11.75,6.54,4.07
[02/02/2019 16:00],6.96,6.96,-15.53,6.96,9.43
[02/02/2019 16:30],6.96,6.96,-15.53,6.96,9.43
[02/02/2019 17:00],27.94,27.94,-47.71,27.94,30.52
[02/02/2019 17:30],27.94,27.94,-47.71,27.94,30.52
[02/02/2019 18:00],30.65,30.65,-61.30,30.65,31.80
[02/02/2019 18:30],30.65,30.65,-61.30,30.65,31.80
[02/02/2019 19:00],19.32,19.32,-36.30,19.32,18.24
[02/02/2019 19:30],19.32,19.32,-36.30,19.32,18.24
[02/02/2019 20:00],18.34,18.34,-5.82,18.34,17.09
[02/02/2019 20:30],18.34,18.34,-5.82,18.34,17.09
[02/02/2019 21:00],11.33,11.33,-3.15,11.33,10.48
[02/02/2019 21:30],11.33,11.33,-3.15,11.33,10.48
[02/02/2019 22:00],11.47,11.47,-10.07,11.47,8.67
[02/02/2019 22:30],11.47,11.47,-10.07,11.47,8.67
[02/02/2019 23:00],9.35,10.68,-2.84,14.28,8.69
[02/02/2019 23:30],9.35,10.68,-2.84,14.28,8.69
[03/02/2019 00:00],19.89,19.89,-1.36,19.89,13.60
[03/02/2019 00:30],19.89,19.89,-1.36,19.89,13.60
[03/02/2019 01:00],19.31,19.31,-1.33,19.31,12.38
[03/02/2019 01:30],19.31,19.31,-1.33,19.31,12.38
[03/02/2019 02:00],14.60,14.60,-1.18,14.60,6.44
[03/02/2019 02:30],14.60,14.60,-1.18,14.60,6.44
[03/02/2019 03:00],10.33,10.33,1.05,10.33,2.09
[03/02/2019 03:30],10.33,10.33,1.05,10.33,2.09
[03/02/2019 04:00],10.05,10.05,2.06,10.05,1.33
[03/02/2019 04:30],10.05,10.05,2.06,10.05,1.33
[03/02/2019 05:00],8.81,8.81,2.71,8.81,1.11
[03/02/2019 05:30],8.81,8.81,2.71,8.81,1.11
[03/02/2019 06:00],7.85,7.85,2.77,7.85,1.18
[03/02/2019 06:30],7.85,7.85,2.77,7.85,1.18
[03/02/2019 07:00],5.46,5.46,3.02,5.46,0.98
[03/02/2019 07:30],5.46,5.46,3.02,5.46,0.98
[03/02/2019 08:00],3.44,3.44,3.83,3.44,0.96
[03/02/2019 08:30],3.44,3.44,3.83,3.44,0.96
[03/02/2019 09:00],7.13,7.13,2.36,7.13,6.06
[03/02/2019 09:30],7.13,7.13,2.36,7.13,6.06
[03/02/2019 10:00],7.43,7.43,2.45,7.43,7.43
[03/02/2019 10:30],7.43,7.43,2.45,7.43,7.43
[03/02/2019 11:00],7.19,7.19,-1.25,7.19,6.86
[03/02/2019 11:30],7.19,7.19,-1.25,7.19,6.86
[03/02/2019 12:00],14.44,14.44,-1.35,14.44,11.50
[03/02/2019 12:30],14.44,14.44,-1.35,14.44,11.50
[03/02/2019 13:00],16.16,16.16,-1.35,16.16,11.63
[03/02/2019 13:30],16.16,16.16,-1.35,16.16,11.63
[03/02/2019 14:00],16.93,16.93,-1.35,16.93,11.49
[03/02/2019 14:30],16.93,16.93,-1.35,16.93,11.49
[03/02/2019 15:00],10.58,10.58,-1.23,10.58,5.46
[03/02/2019 15:30],10.58,10.58,-1.23,10.58,5.46
[03/02/2019 16:00],19.39,19.39,1.54,19.39,18.08
[03/02/2019 16:30],19.39,19.39,1.54,19.39,18.08
[03/02/2019 17:00],32.10,32.10,3.96,32.10,35.82
[03/02/2019 17:30],32.10,32.10,3.96,32.10,35.82
[03/02/2019 18:00],20.37,19.64,3.55,22.51,27.38
[03/02/2019 18:30],20.37,19.64,3.55,22.51,27.38
[03/02/2019 19:00],1.48,1.09,2.67,6.50,10.04
[03/02/2019 19:30],1.48,1.09,2.67,6.50,10.04
[03/02/2019 20:00],2.12,4.72,4.99,7.46,7.46
[03/02/2019 20:30],2.12,4.72,4.99,7.46,7.46
[03/02/2019 21:00],-1.49,0.96,2.27,7.76,3.54
[03/02/2019 21:30],-1.49,0.96,2.27,7.76,3.54
[03/02/2019 22:00],-1.49,0.89,1.04,7.52,0.75
[03/02/2019 22:30],-1.49,0.89,1.04,7.52,0.75
[03/02/2019 23:00],2.21,4.15,2.09,9.35,0.39
[03/02/2019 23:30],2.21,4.15,2.09,9.35,0.39
[04/02/2019 00:00],6.76,7.43,2.06,9.19,0.55
[04/02/2019 00:30],6.76,7.43,2.06,9.19,0.55
[04/02/2019 01:00],7.66,8.23,2.06,9.73,0.69
[04/02/2019 01:30],7.66,8.23,2.06,9.73,0.69
[04/02/2019 02:00],3.34,3.34,1.75,3.34,-6.05
[04/02/2019 02:30],3.34,3.34,1.75,3.34,-6.05
[04/02/2019 03:00],1.29,1.29,1.63,1.29,-9.16
[04/02/2019 03:30],1.29,1.29,1.63,1.29,-9.16
[04/02/2019 04:00],1.21,1.26,1.72,1.36,-8.64
[04/02/2019 04:30],1.21,1.26,1.72,1.36,-8.64
[04/02/2019 05:00],1.35,1.35,2.09,3.48,-2.17
