Date (WET),BELGIUM (BE),FRANCE (FR),ISEM (ISEM),NETHERLANDS (NL),NORWAY (NO)
,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh
[20/10/2018 06:00],5.28,5.28,2.56,5.28,19.14
[20/10/2018 06:30],5.28,5.28,2.56,5.28,19.14
[20/10/2018 07:00],4.55,4.55,1.39,4.55,23.37
[20/10/2018 07:30],4.55,4.55,1.39,4.55,23.37
[20/10/2018 08:00],11.58,11.58,3.50,11.58,37.81
[20/10/2018 08:30],11.58,11.58,3.50,11.58,37.81
[20/10/2018 09:00],21.50,21.50,3.74,21.50,43.72
[20/10/2018 09:30],21.50,21.50,3.74,21.50,43.72
[20/10/2018 10:00],18.90,18.93,1.73,18.98,37.08
[20/10/2018 10:30],18.90,18.93,1.73,18.98,37.08
[20/10/2018 11:00],16.72,14.50,1.57,17.16,30.48
[20/10/2018 11:30],16.72,14.50,1.57,17.16,30.48
[20/10/2018 12:00],2.22,8.33,-1.42,13.52,22.83
[20/10/2018 12:30],2.22,8.33,-1.42,13.52,22.83
[20/10/2018 13:00],8.05,5.89,-1.31,8.45,18.62
[20/10/2018 13:30],8.05,5.89,-1.31,8.45,18.62
[20/10/2018 14:00],6.57,6.12,-1.28,6.69,17.19
[20/10/2018 14:30],6.57,6.12,-1.28,6.69,17.19
[20/10/2018 15:00],6.50,6.50,-1.33,6.50,19.40
[20/10/2018 15:30],6.50,6.50,-1.33,6.50,19.40
[20/10/2018 16:00],1.56,1.56,-1.34,1.56,19.01
[20/10/2018 16:30],1.56,1.56,-1.34,1.56,19.01
[20/10/2018 17:00],6.91,6.91,-1.78,6.91,36.99
[20/10/2018 17:30],6.91,6.91,-1.78,6.91,36.99
[20/10/2018 18:00],29.64,29.64,-2.42,29.64,63.39
[20/10/2018 18:30],29.64,29.64,-2.42,29.64,63.39
[20/10/2018 19:00],19.81,19.81,-4.07,19.81,46.47
[20/10/2018 19:30],19.81,19.81,-4.07,19.81,46.47
[20/10/2018 20:00],17.18,17.18,-1.74,17.18,35.72
[20/10/2018 20:30],17.18,17.18,-1.74,17.18,35.72
[20/10/2018 21:00],10.19,10.19,-1.52,10.19,26.88
[20/10/2018 21:30],10.19,10.19,-1.52,10.19,26.88
[20/10/2018 22:00],-4.04,1.16,-2.04,7.64,19.73
[20/10/2018 22:30],-4.04,1.16,-2.04,7.64,19.73
[20/10/2018 23:00],21.81,23.60,-1.70,25.13,34.67
[20/10/2018 23:30],21.81,23.60,-1.70,25.13,34.67
[21/10/2018 00:00],15.01,19.24,-1.63,10.03,29.79
[21/10/2018 00:30],15.01,19.24,-1.63,10.03,29.79
[21/10/2018 01:00],20.30,22.67,0.32,17.51,32.40
[21/10/2018 01:30],20.30,22.67,0.32,17.51,32.40
[21/10/2018 02:00],16.44,16.44,1.48,16.44,26.18
[21/10/2018 02:30],16.44,16.44,1.48,16.44,26.18
[21/10/2018 03:00],9.51,9.51,1.30,9.51,19.15
[21/10/2018 03:30],9.51,9.51,1.30,9.51,19.15
[21/10/2018 04:00],5.47,5.47,1.21,5.47,14.71
[21/10/2018 04:30],5.47,5.47,1.21,5.47,14.71
[21/10/2018 05:00],4.29,4.29,1.47,4.29,14.90
[21/10/2018 05:30],4.29,4.29,1.47,4.29,14.90
[21/10/2018 06:00],4.69,4.69,2.50,4.69,19.28
[21/10/2018 06:30],4.69,4.69,2.50,4.69,19.28
[21/10/2018 07:00],2.38,2.38,1.30,2.38,18.67
[21/10/2018 07:30],2.38,2.38,1.30,2.38,18.67
[21/10/2018 08:00],11.32,11.32,1.53,11.32,28.36
[21/10/2018 08:30],11.32,11.32,1.53,11.32,28.36
[21/10/2018 09:00],10.10,10.10,3.03,10.10,26.69
[21/10/2018 09:30],10.10,10.10,3.03,10.10,26.69
[21/10/2018 10:00],16.20,16.20,1.60,16.20,32.63
[21/10/2018 10:30],16.20,16.20,1.60,16.20,32.63
[21/10/2018 11:00],8.73,13.04,1.46,2.17,27.05
[21/10/2018 11:30],8.73,13.04,1.46,2.17,27.05
[21/10/2018 12:00],14.48,17.34,1.50,9.99,26.81
[21/10/2018 12:30],14.48,17.34,1.50,9.99,26.81
[21/10/2018 13:00],12.41,12.76,-1.30,11.88,19.90
[21/10/2018 13:30],12.41,12.76,-1.30,11.88,19.90
[21/10/2018 14:00],14.23,14.23,1.30,14.23,19.01
[21/10/2018 14:30],14.23,14.23,1.30,14.23,19.01
[21/10/2018 15:00],13.52,13.52,2.73,13.52,24.02
[21/10/2018 15:30],13.52,13.52,2.73,13.52,24.02
[21/10/2018 16:00],8.65,8.65,2.80,8.65,23.20
[21/10/2018 16:30],8.65,8.65,2.80,8.65,23.20
[21/10/2018 17:00],13.32,13.32,3.50,13.32,36.70
[21/10/2018 17:30],13.32,13.32,3.50,13.32,36.70
[21/10/2018 18:00],33.98,33.98,4.53,33.98,62.76
[21/10/2018 18:30],33.98,33.98,4.53,33.98,62.76
[21/10/2018 19:00],22.88,25.18,-4.32,27.29,52.40
[21/10/2018 19:30],22.88,25.18,-4.32,27.29,52.40
[21/10/2018 20:00],15.01,15.01,-1.60,15.01,30.45
[21/10/2018 20:30],15.01,15.01,-1.60,15.01,30.45
[21/10/2018 21:00],6.29,6.29,-1.40,6.29,25.28
[21/10/2018 21:30],6.29,6.29,-1.40,6.29,25.28
[21/10/2018 22:00],-7.77,1.47,-2.70,10.09,23.13
[21/10/2018 22:30],-7.77,1.47,-2.70,10.09,23.13
[21/10/2018 23:00],-10.44,4.18,-1.40,14.64,35.66
[21/10/2018 23:30],-10.44,4.18,-1.40,14.64,35.66
[22/10/2018 00:00],3.11,6.74,-2.46,9.67,32.07
[22/10/2018 00:30],3.11,6.74,-2.46,9.67,32.07
[22/10/2018 01:00],5.52,9.01,-2.45,11.89,32.49
[22/10/2018 01:30],5.52,9.01,-2.45,11.89,32.49
[22/10/2018 02:00],18.19,18.22,-1.30,18.11,34.62
[22/10/2018 02:30],18.19,18.22,-1.30,18.11,34.62
[22/10/2018 03:00],15.05,15.07,-1.24,15.05,29.63
[22/10/2018 03:30],15.05,15.07,-1.24,15.05,29.63
[22/10/2018 04:00],12.27,14.82,-1.40,16.90,22.36
[22/10/2018 04:30],12.27,14.82,-1.40,16.90,22.36
[22/10/2018 05:00],6.04,6.15,-1.45,6.75,22.32
[22/10/2018 05:30],6.04,6.15,-1.45,6.75,22.32
[22/10/2018 06:00],1.53,1.86,0.29,2.33,30.11
[22/10/2018 06:30],1.53,1.86,0.29,2.33,30.11
[22/10/2018 07:00],1.60,1.90,-3.30,2.37,30.79
[22/10/2018 07:30],1.60,1.90,-3.30,2.37,30.79
[22/10/2018 08:00],13.88,15.88,-11.34,18.45,41.52
[22/10/2018 08:30],13.88,15.88,-11.34,18.45,41.52
[22/10/2018 09:00],11.52,16.38,-10.31,24.43,40.92
[22/10/2018 09:30],11.52,16.38,-10.31,24.43,40.92
[22/10/2018 10:00],-1.87,6.25,-11.50,15.29,30.60
[22/10/2018 10:30],-1.87,6.25,-11.50,15.29,30.60
[22/10/2018 11:00],-0.09,1.68,-10.85,14.33,24.82
[22/10/2018 11:30],-0.09,1.68,-10.85,14.33,24.82
[22/10/2018 12:00],-2.02,1.53,-2.76,9.60,19.55
[22/10/2018 12:30],-2.02,1.53,-2.76,9.60,19.55
[22/10/2018 13:00],-7.12,1.76,-2.60,8.62,17.17
[22/10/2018 13:30],-7.12,1.76,-2.60,8.62,17.17
[22/10/2018 14:00],-5.55,2.05,-2.61,8.21,16.51
[22/10/2018 14:30],-5.55,2.05,-2.61,8.21,16.51
[22/10/2018 15:00],3.32,3.61,-2.66,3.32,17.46
[22/10/2018 15:30],3.32,3.61,-2.66,3.32,17.46
[22/10/2018 16:00],3.48,4.40,-1.54,2.85,25.01
[22/10/2018 16:30],3.48,4.40,-1.54,2.85,25.01
[22/10/2018 17:00],10.84,10.84,-1.92,10.84,41.89
[22/10/2018 17:30],10.84,10.84,-1.92,10.84,41.89
[22/10/2018 18:00],24.22,27.16,-2.40,28.84,62.73
[22/10/2018 18:30],24.22,27.16,-2.40,28.84,62.73
[22/10/2018 19:00],13.57,19.45,-4.13,25.29,46.38
[22/10/2018 19:30],13.57,19.45,-4.13,25.29,46.38
[22/10/2018 20:00],-12.97,1.67,-1.49,12.71,24.50
[22/10/2018 20:30],-12.97,1.67,-1.49,12.71,24.50
[22/10/2018 21:00],-7.32,1.47,-1.28,8.96,19.32
[22/10/2018 21:30],-7.32,1.47,-1.28,8.96,19.32
[22/10/2018 22:00],-15.72,-0.97,-1.50,4.74,18.99
[22/10/2018 22:30],-15.72,-0.97,-1.50,4.74,18.99
[22/10/2018 23:00],-3.76,2.28,2.34,1.64,23.28
[22/10/2018 23:30],-3.76,2.28,2.34,1.64,23.28
[23/10/2018 00:00],-16.96,1.24,2.24,11.18,32.50
[23/10/2018 00:30],-16.96,1.24,2.24,11.18,32.50
[23/10/2018 01:00],-16.05,1.17,2.12,8.68,34.64
[23/10/2018 01:30],-16.05,1.17,2.12,8.68,34.64
[23/10/2018 02:00],-7.72,1.06,1.91,3.46,29.46
[23/10/2018 02:30],-7.72,1.06,1.91,3.46,29.46
[23/10/2018 03:00],-10.89,0.92,0.84,1.17,16.57
[23/10/2018 03:30],-10.89,0.92,0.84,1.17,16.57
[23/10/2018 04:00],-17.06,1.00,2.90,8.46,13.55
[23/10/2018 04:30],-17.06,1.00,2.90,8.46,13.55
[23/10/2018 05:00],-10.40,1.27,7.64,11.17,12.88
[23/10/2018 05:30],-10.40,1.27,7.64,11.17,12.88
[23/10/2018 06:00],-23.40,0.59,7.93,24.12,26.98
[23/10/2018 06:30],-23.40,0.59,7.93,24.12,26.98
[23/10/2018 07:00],-19.37,-1.44,4.92,2.27,30.91
[23/10/2018 07:30],-19.37,-1.44,4.92,2.27,30.91
[23/10/2018 08:00],-16.09,1.86,1.70,2.36,34.07
[23/10/2018 08:30],-16.09,1.86,1.70,2.36,34.07
